"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.bard_darkbeat","Maestro do Mosh Pit"
"heroes.name_fancy.bard_dunnar_hart","Tamboreiro Magmático"
"heroes.name_fancy.bard_garyas","Bardo da Alegria"
"heroes.name_fancy.bard_lyria","Instrumentalista Dedicada"
"heroes.name_fancy.bard_merith","Violinista Serpentina"
"heroes.name_fancy.bard_narcisa","Barda do Glamur"
"heroes.name_fancy.bard_ogima","Bardo dos Espíritos"
"heroes.name_fancy.bard_phenexa","Barda dos Sussurros"
"heroes.name_fancy.bard_rhys","Bardo da Bravura"
"heroes.name_fancy.bard_winifred","Barda da Criação"
"heroes.name_fancy.bard_zarel","Bardo do Conhecimento"
"heroes.name_fancy.bard_zhabog","Bardo da Eloquência"
"heroes.name_fancy.beachparty_andy_jay","Folião Litorâneo"
"heroes.name_fancy.beachparty_brebarg","Especialista em Castelos de Areia"
"heroes.name_fancy.beachparty_davey_wavey","Tubarão Aprendiz"
"heroes.name_fancy.beachparty_dillo","Tatu Encharcado"
"heroes.name_fancy.beachparty_dolrak","Anão Bronzeado"
"heroes.name_fancy.beachparty_flip","Foca Salva-Vidas"
"heroes.name_fancy.beachparty_flip_costume_donut","Vendedor de Rosquinhas"
"heroes.name_fancy.beachparty_itham","Professor de Natação Élfico"
"heroes.name_fancy.beachparty_mazoga","Orc Atirador de Água"
"heroes.name_fancy.beachparty_misty","Gnomo Mergulhador"
"heroes.name_fancy.beachparty_mortimer","Surfista Élfico"
"heroes.name_fancy.beachparty_serena","Socialite do Litoral"
"heroes.name_fancy.beachparty_zenukwa","Fã de Sorvetes"
"heroes.name_fancy.beauty_beast_cerissa","Fada graciosa do Castelo Enfeitiçado"
"heroes.name_fancy.beauty_beast_chandel","Iluminadora do Castelo Enfeitiçado"
"heroes.name_fancy.beauty_beast_dominique","Protetor Leal"
"heroes.name_fancy.beauty_beast_laurent","Guarda petrificado do Castelo Enfeitiçado"
"heroes.name_fancy.beauty_beast_lucas","Irmãozinho de Dominique"
"heroes.name_fancy.beauty_beast_rose_de_flo","Floração do Castelo Enfeitiçado"
"heroes.name_fancy.beauty_beast_the_beast","Príncipe solitário do Castelo Enfeitiçado"
"heroes.name_fancy.beowulf_aeschere","Saga dos Escildingos"
"heroes.name_fancy.beowulf_beowulf","Espada dos Gautas"
"heroes.name_fancy.beowulf_breca","Trunfo Companheiro"
"heroes.name_fancy.beowulf_ecgtheow","Líder de Guerra Feroz"
"heroes.name_fancy.beowulf_freawaru","Negociadora da Paz"
"heroes.name_fancy.beowulf_grendel","Brutamontes Quebrador de Espadas"
"heroes.name_fancy.beowulf_grendels_mother","Bruxa Aterrorizante do Lago"
"heroes.name_fancy.beowulf_hrothgar","Mestre do Hidromel"
"heroes.name_fancy.beowulf_hygd","Rainha dos Gautas"
"heroes.name_fancy.beowulf_modthryth","Donzela Escudeira Desapiedada"
"heroes.name_fancy.beowulf_nithgaest","Maldição de Beowulf"
"heroes.name_fancy.beowulf_unferth","Portador de Hrunting"
"heroes.name_fancy.beowulf_wealhtheow","Coração Real"
"heroes.name_fancy.beowulf_weland","Ferreira Habilidosa"
"heroes.name_fancy.beowulf_wiglaf","Filho de Weohstan"
"heroes.name_fancy.blackguard_commander","Duque pesaroso"
"heroes.name_fancy.blackguard_commander_costume_cute","Fofura Lamuriosa"
"heroes.name_fancy.blackguard_commander_costume_feather","Duque Lamurioso"
"heroes.name_fancy.blackguard_commander_costume_glass","Vitral Lamurioso"
"heroes.name_fancy.blackguard_commander_costume_metal","Duque da rocha"
"heroes.name_fancy.blackguard_female_archer","Arqueiro aspirante"
"heroes.name_fancy.blackguard_female_captain","Supervisor resoluto"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Fofura Resoluta"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Vitral Resoluta"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Supervisor Resoluto"
"heroes.name_fancy.blackguard_knight","Cavaleiro nobre"
"heroes.name_fancy.blackguard_knight_costume_cute","Cavaleiro Fofo"
"heroes.name_fancy.blackguard_knight_costume_elegant","Nobre Elegante"
"heroes.name_fancy.blackguard_knight_costume_glass","Cavaleiro de Vidro"
"heroes.name_fancy.blackguard_knight_costume_healer","Nobre Curandeiro"
"heroes.name_fancy.blackguard_scout","Fugitivo morgoviano"
"heroes.name_fancy.blackguard_skulker","Assassino desvairado"
"heroes.name_fancy.blackguard_skulker_costume_cute","Fofura Desequilibrada"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Cirurgião Perturbado"
"heroes.name_fancy.blackguard_skulker_costume_glass","Assassino de Vidro"
"heroes.name_fancy.castle_bear_armel","Embaixador Ártico"
"heroes.name_fancy.castle_bear_bearnadette","Retratista"
"heroes.name_fancy.castle_bear_humbert","Defensor das Terras Altas"
"heroes.name_fancy.castle_bear_koda","Cavaleiro da Floresta de Ameixas"
"heroes.name_fancy.castle_bear_teddy","Coração Puro"
"heroes.name_fancy.castle_bear_torben","Senhor das Terras Altas"
"heroes.name_fancy.castle_bear_winnie","Armoreira Ursina"
"heroes.name_fancy.castle_bear_yona","Boba da Corte das Terras Altas"
"heroes.name_fancy.castle_raven_aderyn","Paramédica do Castelo"
"heroes.name_fancy.castle_raven_eloise","Encantadora do Castelo"
"heroes.name_fancy.castle_raven_franz","Protetor do Castelo"
"heroes.name_fancy.castle_raven_lewena","Atiradora do Castelo"
"heroes.name_fancy.castle_raven_quintin","Ladino do Castelo"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Caçador dos Corvos"
"heroes.name_fancy.castle_raven_rayne","Capitã do Castelo"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Capitã dos Corvos"
"heroes.name_fancy.castle_raven_wren","Batedor do Castelo"
"heroes.name_fancy.castle_stag_alvar","O Pioneiro"
"heroes.name_fancy.castle_stag_cecilia","Abençoada pelo Crepúsculo"
"heroes.name_fancy.castle_stag_daemon","Vingador dos Mortos"
"heroes.name_fancy.castle_stag_fawn","Escudeira Devotada"
"heroes.name_fancy.castle_stag_lysanor","Profeta do Sonho de Safira"
"heroes.name_fancy.castle_stag_raleigh","Estudioso da Floresta Esmeralda"
"heroes.name_fancy.castle_stag_siofra","Pagadora de Promessas"
"heroes.name_fancy.castle_stag_xiamara","Guardiã da Floresta Esmeralda"
"heroes.name_fancy.castle_wolf_bertulf","Chef do Castelo"
"heroes.name_fancy.castle_wolf_esme","Arquimaga do Castelo"
"heroes.name_fancy.castle_wolf_ferant","Guardião do Castelo"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Guardião dos Lobos"
"heroes.name_fancy.castle_wolf_ludwig","Defensor do Castelo"
"heroes.name_fancy.castle_wolf_quenell","Campeã do Castelo"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Heroína dos Lobos"
"heroes.name_fancy.castle_wolf_wolfgang","Comandante do Castelo"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Comandante dos Lobos"
"heroes.name_fancy.champions_lazara","Campeã de Beisebol"
"heroes.name_fancy.champions_mistra","Campeã de Arremesso de Disco"
"heroes.name_fancy.champions_nogu","Campeão de Arremesso de Dardo"
"heroes.name_fancy.champions_norman","Campeão de Justa"
"heroes.name_fancy.champions_ramona","Montadora de Carneiros"
"heroes.name_fancy.champions_satori","Campeão de Sumô"
"heroes.name_fancy.christmas_albin","Sommelier de Chocolate Quente"
"heroes.name_fancy.christmas_augustus","Gnomo Ancião"
"heroes.name_fancy.christmas_buster","Gnomo de Jardim Rabugento"
"heroes.name_fancy.christmas_carol","Ajudante do Papai Noel"
"heroes.name_fancy.christmas_cookie","Gnomo Cientista"
"heroes.name_fancy.christmas_dizzy","Gnomo Artista"
"heroes.name_fancy.christmas_elf","Ajudante do Papai Noel"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Contador do Papai Noel"
"heroes.name_fancy.christmas_florencia","Guardiã da Neve"
"heroes.name_fancy.christmas_frosty","Sentinela do Norte"
"heroes.name_fancy.christmas_ginger","Gnomo exploradora"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnomo mestre dos presentes"
"heroes.name_fancy.christmas_holly","Gnomo cozinheiro"
"heroes.name_fancy.christmas_jolly","Gnomo lenhador"
"heroes.name_fancy.christmas_krampus","Ghoul festivo"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Travesso natalino"
"heroes.name_fancy.christmas_mr_pengi","Capitão da Guarda do Papai Noel"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Capitão da Equipe de Snowboard"
"heroes.name_fancy.christmas_mrs_claus","Chef do Norte"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Entusiasta de suéter natalino"
"heroes.name_fancy.christmas_noel","Marreteiro jubiloso"
"heroes.name_fancy.christmas_ottilia","Gnomo decoradora"
"heroes.name_fancy.christmas_peppermint","Gnomo alquimista"
"heroes.name_fancy.christmas_reindeer","Corcel leal do Papai Noel"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Corcel do Papai Noel"
"heroes.name_fancy.christmas_santa","Portador de presentes"
"heroes.name_fancy.christmas_santa_costume_metal","Papai Noel do rock"
"heroes.name_fancy.christmas_tinsel","Gnomo engenhoqueiro"
"heroes.name_fancy.christmas_zappa","Gnomo bruxo"
"heroes.name_fancy.circus_bobo","Yeti de coração grande"
"heroes.name_fancy.circus_candy","Folgazona divertida"
"heroes.name_fancy.circus_dandre","Malabarista profissional"
"heroes.name_fancy.circus_director_zuri","Diretora do circo"
"heroes.name_fancy.circus_director_zuri_costume_clown","Mestra dos Palhaços"
"heroes.name_fancy.circus_eichbelborg","Bodybuilder orgulhoso"
"heroes.name_fancy.circus_eiora_and_fluffy","Dupla dinâmica"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Dupla Sombria"
"heroes.name_fancy.circus_emilio","Domador de Fênices"
"heroes.name_fancy.circus_emilio_costume_frog","Domador de Sapos"
"heroes.name_fancy.circus_faline","Acrobata assombrosa"
"heroes.name_fancy.circus_marcel","Mímico matreiro"
"heroes.name_fancy.circus_theobald","Urso das facas"
"heroes.name_fancy.circus_whacker","Socador sensacional"
"heroes.name_fancy.construct_arzen","Construto Supervisor Perverso"
"heroes.name_fancy.construct_blue_mage","Construto de Mago Estelar"
"heroes.name_fancy.construct_bonechill","Construto de Gelo"
"heroes.name_fancy.construct_brimstone","Construto Infernal"
"heroes.name_fancy.construct_carta","Construto Cartógrafo"
"heroes.name_fancy.construct_dancrag","Construto Colossal"
"heroes.name_fancy.construct_ferrus","Construto Pirata"
"heroes.name_fancy.construct_frond","Construto Élfico"
"heroes.name_fancy.construct_glacivolt","Construto Gelado"
"heroes.name_fancy.construct_gwynn","Construto de Fluxo de Energia"
"heroes.name_fancy.construct_halwinter","Construto Blindado"
"heroes.name_fancy.construct_haulstone","Construto Carrega-Tudo"
"heroes.name_fancy.construct_hornfel","Construto de Minotauro"
"heroes.name_fancy.construct_hotspin","Construto de Ciclone Flamejante"
"heroes.name_fancy.construct_ironheart","Construto Guardião Sagrado"
"heroes.name_fancy.construct_ironvein","Construto Aprendiz Sagrado"
"heroes.name_fancy.construct_japanese_doll","Construto de Boneca de Porcelana"
"heroes.name_fancy.construct_nautica","Construto Navegador"
"heroes.name_fancy.construct_nocturne","Construto de Tanque Vazio"
"heroes.name_fancy.construct_rhineglow","Construto Supercapacitador"
"heroes.name_fancy.construct_rustbeak","Construto de Coruja"
"heroes.name_fancy.construct_scoria","Construto Flamejante"
"heroes.name_fancy.construct_shaal","Construto de Clérigo"
"heroes.name_fancy.construct_shacklebolt","Construto Aprisionado"
"heroes.name_fancy.construct_sizzleomatic","Construto Chef Entusiástico"
"heroes.name_fancy.construct_skarn","Construto de Fardoneve"
"heroes.name_fancy.construct_sylosis","Construto Artista Marcial"
"heroes.name_fancy.construct_tenebrae","Construto de Princesa das Trevas"
"heroes.name_fancy.construct_zavok","Construto Mago Caótico"
"heroes.name_fancy.cultist_female_poisoner","Ladino rebelde"
"heroes.name_fancy.cultist_inventor","Cientista louco"
"heroes.name_fancy.cultist_inventor_costume_cute","Fofura CIentista"
"heroes.name_fancy.cultist_inventor_costume_glass","Cientista de Vidro"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Dr. Love"
"heroes.name_fancy.cultist_inventor_costume_steam","Eletrocientista"
"heroes.name_fancy.cultist_mage","Mago apavorante"
"heroes.name_fancy.cultist_mage_costume_cute","Mágico Fofo"
"heroes.name_fancy.cultist_mage_costume_glass","Mágico do Vidro"
"heroes.name_fancy.cultist_mage_costume_voodoo","Mago Morto-vivo"
"heroes.name_fancy.cultist_sorceress","Executor de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Executora Fofa"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitral de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monstra de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Cobra de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Executora estilosa"
"heroes.name_fancy.cultist_thief","Ladrão com grandes planos"
"heroes.name_fancy.dark_god_aeron","Juiz firme"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Juiz de Peruca"
"heroes.name_fancy.dark_god_akilius","Aniquilador Desonesto"
"heroes.name_fancy.dark_god_anoushka","Vidente Reclusa"
"heroes.name_fancy.dark_god_arfanias","Assassino das Sombras"
"heroes.name_fancy.dark_god_chakkoszrot","Alto-Sacerdote do Povo Lagarto"
"heroes.name_fancy.dark_god_clarissa","Canalizador Impetuoso"
"heroes.name_fancy.dark_god_eldwren","Pai do Rebanho"
"heroes.name_fancy.dark_god_grimble","Gnomo montador de cabras"
"heroes.name_fancy.dark_god_hel","Celestial da escuridão"
"heroes.name_fancy.dark_god_hel_costume_cute","Celestial da escuridão fofa"
"heroes.name_fancy.dark_god_hel_costume_omen","Presságio da Escuridão"
"heroes.name_fancy.dark_god_kunchen","Errante místico"
"heroes.name_fancy.dark_god_malicna","Lector do Mal"
"heroes.name_fancy.dark_god_morax","Maldição do Submundo"
"heroes.name_fancy.dark_god_september","Assassino de miragem"
"heroes.name_fancy.dark_god_september_costume_engineer","Engenheira Milagrosa"
"heroes.name_fancy.dark_god_seshat","Caçadora reanimada"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Arqueiro Espectral"
"heroes.name_fancy.dark_god_sir_casmir","Guardião Errante"
"heroes.name_fancy.dark_god_turgruk","Rastreador Perverso"
"heroes.name_fancy.dark_god_uthragan","Abominação Tóxica"
"heroes.name_fancy.dark_god_viscaro","Druida corrompido"
"heroes.name_fancy.dark_god_zed","Lanceiro Imperial"
"heroes.name_fancy.dark_god_zulag","Valorosa"
"heroes.name_fancy.dwarven_guard","Defensor forte"
"heroes.name_fancy.dwarven_guard_costume_cute","Defensor Fofo"
"heroes.name_fancy.dwarven_guard_costume_glass","Defensor de Vidro"
"heroes.name_fancy.dwarven_guard_costume_ram","Defensor Pesado"
"heroes.name_fancy.dwarven_guard_costume_tavern","Defensor da Taberna"
"heroes.name_fancy.dwarven_scout","Combatente veterano"
"heroes.name_fancy.dwarven_smasher","Sangue-Quente"
"heroes.name_fancy.dwarven_smasher_costume_cute","Fofura de Sangue-Quente"
"heroes.name_fancy.dwarven_smasher_costume_glass","Vitral de Sangue-Quente"
"heroes.name_fancy.dwarven_smasher_costume_smith","Esquentado"
"heroes.name_fancy.dwarwen_brewmaster","Mestre da infusão"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Cervejeiro Fofo"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Vitral Cervejeiro"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Trituradora Principal"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Mestre Entalhador"
"heroes.name_fancy.easter_archie","Trovador Errante"
"heroes.name_fancy.easter_archie_costume_gallant","Trovador Galanteador"
"heroes.name_fancy.easter_chick_jr","Escudeiro de Springvale"
"heroes.name_fancy.easter_jasper","Touro Florista"
"heroes.name_fancy.easter_jasper_costume_fisherman","Touro Pescador"
"heroes.name_fancy.easter_killhare","Protetor selvagem de Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Fazendeiro Supremo"
"heroes.name_fancy.easter_lady_woolerton","Reparador de Springvale"
"heroes.name_fancy.easter_miss_ethel","Defensora de Springvale"
"heroes.name_fancy.easter_sadie","Pata Malandra"
"heroes.name_fancy.easter_sir_roostley","Cavaleiro Poderoso de Springvale"
"heroes.name_fancy.easter_timothy","Porquinho Valente"
"heroes.name_fancy.easter_viscount_cluckwood","Ocultista de Springvale"
"heroes.name_fancy.elemental_aconia","Cyberladino"
"heroes.name_fancy.elemental_aconia_costume_courier","Mensageira Cibernética"
"heroes.name_fancy.elemental_alfie","Bobo da Corte Elemental"
"heroes.name_fancy.elemental_anzia","Salvadora Galáctica"
"heroes.name_fancy.elemental_anzia_costume_jailer","Carcereira Galáctica"
"heroes.name_fancy.elemental_ash","Caçador de Recompensas Feroz"
"heroes.name_fancy.elemental_ash_costume_savage","Caçadora de Recompensas Selvagem"
"heroes.name_fancy.elemental_craum","Xamã Elemental"
"heroes.name_fancy.elemental_craum_costume_occultist","Ocultista Elemental"
"heroes.name_fancy.elemental_desmond","Alquimista com Lâmina"
"heroes.name_fancy.elemental_desmond_costume_assassin","Assassina da Lâmina"
"heroes.name_fancy.elemental_doxan","Lâmina de Plasma Exilada"
"heroes.name_fancy.elemental_doxan_costume_hacker","Hacker de Plasma Exilado"
"heroes.name_fancy.elemental_farrah","Lâmina Supersônica"
"heroes.name_fancy.elemental_farrah_costume_cyber","Mestra da Lâmina Cibernética"
"heroes.name_fancy.elemental_gastille","Perigo Multidimensional"
"heroes.name_fancy.elemental_gastille_costume_sporty","Perigo Esportivo"
"heroes.name_fancy.elemental_griffex","Modificador da Realidade"
"heroes.name_fancy.elemental_griffex_costume_camera","Modificador de Obscura"
"heroes.name_fancy.elemental_grilka","Intendente Simpática"
"heroes.name_fancy.elemental_grilka_costume_treasure","Intendente Estimada"
"heroes.name_fancy.elemental_ignazio","Condutor das Chamas"
"heroes.name_fancy.elemental_ignazio_costume_medic","Cirurgião das Chamas"
"heroes.name_fancy.elemental_ironmaw","Senhor da Guerra dos Orcs"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Senhor da Guerra da Legião"
"heroes.name_fancy.elemental_jequn","Enigma Cósmico"
"heroes.name_fancy.elemental_jequn_costume_gilded","Enigma Dourado"
"heroes.name_fancy.elemental_jolt","Navegadora Elétrica"
"heroes.name_fancy.elemental_jolt_costume_mythic","Navegadora Mítica"
"heroes.name_fancy.elemental_lexi","Artesã da Energia Elemental"
"heroes.name_fancy.elemental_linus","Condenado Despreocupado"
"heroes.name_fancy.elemental_niki","Mestra da Foice do Mar das Trevas"
"heroes.name_fancy.elemental_niki_costume_music","Mestra da Foice da Música"
"heroes.name_fancy.elemental_nova","Colecionadora de Espírito do Fogo"
"heroes.name_fancy.elemental_nylora","Assassina a Sangue Frio"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Assassina Cravejada"
"heroes.name_fancy.elemental_quinn","Chef Cósmico"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Alquimista Cósmico"
"heroes.name_fancy.elemental_roz","Atiradora Nata"
"heroes.name_fancy.elemental_roz_costume_disco","Atiradora da Discoteca"
"heroes.name_fancy.elemental_vander","Capitão Ciborgue"
"heroes.name_fancy.elemental_vander_costume_clown","Capitão Palhaço"
"heroes.name_fancy.elemental_xandrella","Mestra de Criações Elementais"
"heroes.name_fancy.elemental_xandrella_costume_idol","Ídolo de Criações Elementais"
"heroes.name_fancy.elemental_xavier","Especialista em Lâminas Duplas"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Artrópode das Lâminas Duplas"
"heroes.name_fancy.elemental_zandria","Defensor do Espaço-Tempo"
"heroes.name_fancy.elemental_zandria_costume_planet","Defensora das Galáxias"
"heroes.name_fancy.elemental_zaria","Vidente de Três Olhos"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Encantadora de Três Olhos"
"heroes.name_fancy.elemental_zengar","Fera Universal"
"heroes.name_fancy.elemental_zengar_costume_farmer","Fera da Colheita"
"heroes.name_fancy.elemental_zione","Especialista em Entregas Mecanizadas"
"heroes.name_fancy.elemental_zuni","Duende de Hoverboard"
"heroes.name_fancy.elemental_zuni_costume_mage","Maga do Hoverboard"
"heroes.name_fancy.elven_archer","Coração Nobre"
"heroes.name_fancy.elven_archer_costume_cute","Fofura Nobre"
"heroes.name_fancy.elven_archer_costume_glass","Vitral Nobre"
"heroes.name_fancy.elven_archer_costume_moon","Nobre Guardião"
"heroes.name_fancy.elven_archer_costume_raven","Corvo Nobre"
"heroes.name_fancy.elven_captain","Elfo Veterano"
"heroes.name_fancy.elven_captain_costume_cavalier","Cavaleiro Élfico"
"heroes.name_fancy.elven_captain_costume_cute","Elfo Fofo"
"heroes.name_fancy.elven_captain_costume_glass","Vitral Élfico"
"heroes.name_fancy.elven_captain_costume_mask","Vingador dos Elfos"
"heroes.name_fancy.elven_captain_costume_stylish","Elfo estiloso"
"heroes.name_fancy.exalted_female_statue","Ancestral de Pedra"
"heroes.name_fancy.exalted_female_statue_costume_cute","Fofura de Pedra"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitral de Pedra"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Ancestral do Sol"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Ancestral de Espinhos"
"heroes.name_fancy.exalted_warrior","Ancestral de Gelo"
"heroes.name_fancy.exalted_warrior_costume_cute","Gelo Fofo"
"heroes.name_fancy.exalted_warrior_costume_glass","Vitral de Gelo"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolito de Gelo"
"heroes.name_fancy.exalted_warrior_costume_underworld","Ancestral do Submundo"
"heroes.name_fancy.fables_boss_wolf","Governador de Grimforest"
"heroes.name_fancy.fables_cinderella","Gata Borralheira de Grimforest"
"heroes.name_fancy.fables_frog_prince","Herdeiro do Trono"
"heroes.name_fancy.fables_gnomer","Sentinela de Grimforest"
"heroes.name_fancy.fables_gretel","Exterminador de bruxas de Grimforest"
"heroes.name_fancy.fables_hansel","Caçador de Bruxas de Grimforest"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Caçador de Vampiros de Grimforest"
"heroes.name_fancy.fables_pixie","Espírito de Grimforest"
"heroes.name_fancy.fables_puss_in_boots","Gato de Grimforest"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Gato Escaldado"
"heroes.name_fancy.fables_red_hood","Protetor de Grimforest"
"heroes.name_fancy.fables_rumpelstiltskin","Bobo de Grimforest"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Eterno Trapaceiro"
"heroes.name_fancy.fables_snow_white","Princesa de Grimforest"
"heroes.name_fancy.fables_snow_white_costume_slayer","Matador de Neve"
"heroes.name_fancy.faun_araminta","Guerreira Fauna Temível"
"heroes.name_fancy.faun_ascian","Áugure Fauno"
"heroes.name_fancy.faun_bramble","Jardineiro Fauno Gentil"
"heroes.name_fancy.faun_gideon","Comandante Fauno Corajoso"
"heroes.name_fancy.faun_isidore","Campeão Fauno Carismático"
"heroes.name_fancy.faun_jolyon","Engenhoqueiro Fauno Pensativo"
"heroes.name_fancy.faun_maud","Alquimista Fauna Ambiciosa"
"heroes.name_fancy.faun_myrtle","Herborista Fauna Ansiosa"
