"herocard.passive_skill.description.addmana.all.allies","Tous les alliés reçoivent une petite quantité de mana."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Quand ce personnage commence un tour avec une santé basse pour la première fois du combat, il récupère {HEALTH} % de santé et reçoit {MANA} % de mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Lorsqu'un effet ou cumul négatif doit infliger des dégâts à ce personnage, il récupère la quantité équivalente de santé à la place."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Lorsqu'un effet ou cumul négatif doit infliger des dégâts à ce personnage, il récupère de la santé à hauteur de {MULTIPLIER} % des dégâts à la place."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % de chances de coup critique."
"herocard.passive_skill.description.damage.all.enemies","Inflige {DAMAGE} % de dégâts à tous les ennemis."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Inflige {DAMAGEPERTURN} points de dégâts à tous les sbires et méga sbires ennemis tous les {TURNS} tours."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Inflige {DAMAGEPERTURN} points de dégâts à tous les sbires et méga sbires ennemis au début de chaque tour."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Inflige {DAMAGEPERTURN} points de dégâts à tous les sbires et méga sbires ennemis au début de chaque tour."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Les dégâts des attaques normales et des compétences spéciales de ce personnage augmentent de {DAMAGEINCREASEPERSTEP} % pour chaque tranche de {INSANITYPERSTEP} points de folie sur le personnage, jusqu'à un maximum de {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Tous les dégâts infligés par les attaques normales et les compétences spéciales de ce personnage sont augmentés de {MODIFIER} % pour chaque cumul de lys de sang sur la cible."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Si des alliés sont en train de danser, la compétence spéciale de ce personnage inflige {MODIFIERCHANGE} % de dégâts supplémentaires."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Les troupes de ce personnage infligent des dégâts supplémentaires à l'élément faible.

Dégâts supplémentaires infligés : +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Les dégâts infligés par les effets et cumuls négatifs sont réduits de {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Les dégâts infligés par les effets et cumuls négatifs sont réduits de {DAMAGEREDUCTION} % pour ce personnage."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Le noyau de golem de ce personnage est un noyau destructeur.

Le noyau destructeur s'active à chaque fois que la compétence spéciale de ce personnage est utilisée :

 Avec un noyau destructeur chargé au maximum, inflige {CHARGEDPOWER1} % de dégâts à tous les ennemis. 
 Les dégâts sont proportionnels à la charge du noyau. Toute la charge est consommée lors de l'activation du noyau."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Les effets négatifs du personnage sont dissipés lorsqu'un de ses sbires est éliminé."
"herocard.passive_skill.description.dodgespecialdamage","Ce personnage a {CHANCE} % de chances d'esquiver les compétences spéciales infligeant des dégâts."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Quand ce personnage utilise sa compétence spéciale, tous ses démons sont détruits."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Tous les {TURNS} tours, consomme tous les sbires d'un ennemi aléatoire et obtient une petite quantité de mana pour chacun d'entre eux."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Quand ce personnage réalise un coup critique avec sa compétence spéciale, il purifie de façon sûre l'effet négatif purifiable le plus récent de chaque allié. Cet effet peut s'activer une fois par tour."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Quand ce personnage réalise un coup critique avec sa compétence spéciale, la santé de tous ses alliés est boostée de {HEALTHBOOST} %. Cet effet peut s'activer une fois par tour."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Quand la compétence spéciale de ce personnage touche un personnage qui a plus de PV, sa santé est boostée de {PASSIVESKILL1HEALTHBOOST} %.
 Quand ce personnage est touché par la compétence spéciale d'un personnage qui a plus de PV, il reçoit {PASSIVESKILL2POWER} % de mana.
Chacun de ces effets peut s'activer une fois par tour."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Quand ce personnage subit des dégâts de compétence spéciale, il reçoit {POWER} % de mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Quand ce personnage subit des dégâts directs de compétence spéciale ou d'attaque normale, il reçoit une petite quantité de mana.
 Maximum : {MAXMANAGAINPERTURN} % par tour."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Lorsque ce personnage subit des dégâts de compétence spéciale ou encaisse les dégâts d'un allié à couvert, il a {CHANCE} % de chances d'infliger {POWER} % des dégâts subis à tous les ennemis."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Quand ce personnage reçoit des dégâts de compétences spéciales, il reçoit un cumul de {STATUSEFFECT1ATTACK} % d'attaque (maximum : {STATUSEFFECT1MAXSTACK}). Le personnage peut gagner un cumul par tour."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Quand ce personnage reçoit des dégâts de compétences spéciales, il reçoit un cumul de {STATUSEFFECT1ATTACK} % d'attaque (maximum : {STATUSEFFECT1MAXSTACK}). Le personnage peut gagner un cumul par tour."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Quand un allié essaie de purifier à l'aide d'une compétence spéciale, la santé de tous les alliés est boostée de {POWER}. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Quand un ennemi essaie de purifier à l'aide d'une compétence spéciale, tous les ennemis subissent {POWER} points de dégâts. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Ce personnage reçoit {POWER} % de mana à chaque fois qu'un de ses bonus est dissipé. Cet effet ne s'active qu'une fois par tour."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Ce personnage reçoit {POWER} % de santé à chaque fois qu'un de ses effets négatifs expire ou est purifié, supprimé ou transféré. Cet effet ne s'active qu'une fois par tour."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Ce personnage a {CHANCE} % de chances de recevoir {POWER} % de santé à chaque fois qu'un de ses effets négatifs expire ou est purifié, supprimé ou transféré. Cet effet ne s'active qu'une fois par tour."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","La santé de ce personnage est boostée de {POWER} à chaque fois qu'un de ses bonus est dissipé. Cet effet ne s'active qu'une fois par tour."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Chaque coup des sbires du personnage inflige {DAMAGE} points de dégâts de givre sur {TURNS} tours."
"herocard.passive_skill.description.effectonheal.addmana","Ce personnage reçoit {POWER} % de mana à chaque fois qu'il récupère de la santé."
"herocard.passive_skill.description.effectonheal.heal","Ce personnage reçoit {POWER} % de santé à chaque fois qu'il récupère de la santé."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Ce personnage reçoit {POWER} % de santé à chaque fois qu'il récupère de la santé."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Ce personnage reçoit {HEALTHBOOST} % de santé boostée et {MANA} % de mana lors d'une résistance réussie."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Le personnage reçoit {POWER} % de mana à chaque fois qu'un ennemi utilise une compétence spéciale qui booste directement la santé."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","La santé de ce personnage est boostée de {POWER} à chaque fois qu'un ennemi utilise une compétence spéciale qui booste directement la santé."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % de chances de réaliser les actions suivantes lorsque ce personnage utilise sa compétence spéciale :"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Quand ce personnage réalise un coup critique avec sa compétence spéciale, il purifie de façon sûre l'effet négatif purifiable le plus récent de chaque allié."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Quand ce personnage réalise un coup critique avec sa compétence spéciale, la santé de tous ses alliés est boostée de {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Quand ce personnage réalise un coup critique avec sa compétence spéciale, la santé de tous ses alliés est boostée de {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Lorsqu'un ennemi utilise sa compétence spéciale, la santé de ce personnage a {CHANCE} % de chances d'être boostée de {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances d'octroyer {POWER} % de mana à tous les alliés. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances d'octroyer {POWER} % de mana à tous les alliés qui ne sont pas de l'élément Glace. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Quand ce personnage utilise sa compétence spéciale, il dissipe le bonus le plus récent de tous les ennemis."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Quand ce personnage utilise sa compétence spéciale, il purifie l'effet négatif le plus récent de tous les alliés."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances d'infliger {POWER} % de dégâts à tous les ennemis. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances d'infliger {POWER} % de dégâts à tous les ennemis qui ne sont pas de l'élément Ténèbres. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances d'infliger {POWER} % de dégâts à tous les ennemis qui ne sont pas de l'élément Feu. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances de rendre {POWER} % de PV à tous les alliés. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances de rendre {POWER} % de PV à tous les alliés qui ne sont pas de l'élément Nature. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances de rendre {POWER} % de PV à tous les alliés qui ne sont pas de l'élément Feu. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Avec une compétence spéciale chargée au maximum, ce héros a {CHANCE} % de chances de rendre {POWER} % de PV à tous les alliés qui ne sont pas de l'élément Sacré. Si la compétence spéciale est chargée au maximum, les chances passent à {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Quand ce personnage utilise sa compétence spéciale, il booste la santé de tous ses alliés de {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Si un ennemi dont la vitesse de mana est au moins moyenne lance une compétence spéciale, tous les ennemis subissent {DAMAGE} points de dégâts. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","À chaque fois qu'un ennemi est provoqué, le mana de ce personnage augmente de {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Le personnage obtient {POWER} % de mana quand un ennemi reçoit un bonus qui affecte la défense. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Ce personne gagne {POWER} % de mana lorsqu'il reçoit un bonus ou un cumul positif."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Ce personnage gagne {POWER} % de mana lorsqu'il reçoit un effet ou un cumul négatif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Ce personnage récupère {POWER} % de santé lorsqu'il reçoit un bonus ou un cumul positif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Ce personnage récupère {POWER} % de santé lorsqu'il subit un effet ou un cumul négatif."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Ce personnage récupère {POWER} de PV lorsqu'il subit un effet ou un cumul négatif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Ce personnage a {CHANCE} % de chances d'obtenir {POWER} % de mana lorsqu'il reçoit un bonus ou un cumul positif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Ce personnage a {CHANCE} % de chances de récupérer {POWER} % de santé lorsqu'il reçoit un bonus ou un cumul positif."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Ce personnage a {CHANCE} % de chances de récupérer {POWER} % de santé lorsqu'il reçoit un bonus ou un cumul positif."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Tous les {TURNS} tours, ressuscite les alliés proches vaincus avec {POWER} % de PV."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Au début de chaque tour, octroie une petite quantité de mana pour chaque bonus actif dont bénéficie l'équipe ennemie ({MAXSTATUSEFFECTCOUNT} bonus au maximum)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","La santé de ce personnage et des alliés proches est boostée de {INCREMENTPERSTATUSEFFECT1} % pour chaque ennemi qui est sous l'effet du poison au début de chaque tour. Le maximum de PV peut être dépassé."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Lorsqu'un sbire est invoqué pour un allié, ce personnage reçoit {POWER} % de mana. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Lorsqu'un sbire est invoqué pour un allié, ce personnage reçoit {HEALTH} % de santé et {MANA} % de mana. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Lorsqu'un démon est invoqué pour un ennemi, ce personnage reçoit {POWER} % de mana. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Lorsqu'un démon est invoqué pour un ennemi, ce personnage inflige {DAMAGE} % de dégâts à tous les ennemis. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Lorsqu'un démon est invoqué pour un ennemi, la santé de ce personnage est boostée de {POWER}. Cet effet ne peut s'activer qu'une fois par tour."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % de chances de réaliser des actions supplémentaires lorsque ce personnage utilise sa compétence spéciale :"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Tous les sbires ennemis ont {MINIONMODIFIER} % de précision.
Tous les méga sbires ennemis ont {MEGAMINIONMODIFIER} % de précision."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Le noyau de golem de ce personnage est un noyau sbire.

Le noyau sbire s'active à chaque fois que le personnage utilise sa compétence spéciale :

 Avec un noyau sbire entièrement chargé, chaque allié reçoit un sbire robot tueur avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités du lanceur.
 Les PV et l'attaque hérités sont proportionnels à la charge du noyau. Toute la charge est dépensée lorsque le noyau est activé.
 Avant de frapper une cible, le sbire robot tueur détruit tous ses sbires et inflige des dégâts aux méga sbires."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Les méga sbires ennemis ont {HEALTHMODIFIER} % de PV."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Les sbires ennemis ont {HEALTHMODIFIER} % de PV."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Les méga sbires ennemis ne peuvent pas attaquer ou utiliser leurs compétences."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Les sbires ennemis ne peuvent pas attaquer ou utiliser leurs compétences."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Ce personnage reçoit {POWER} % de mana à chaque fois qu'un ennemi subit des dégâts de gel."
"herocard.passive_skill.description.growth","L'attaque et la défense de base de ce héros augmentent de {STATINCREASE} à chaque tour pendant {MAXACTIVATIONCOUNT} tours."
"herocard.passive_skill.description.guaranteedeffectonspecial","Quand ce personnage utilise sa compétence spéciale, ses compétences passives octroyant des effets secondaires lors de leur déclenchement s'activent à coup sûr."
"herocard.passive_skill.description.heal.all.allies","Restaure {HEALTH} % de la santé de tous les alliés."
"herocard.passive_skill.description.healmodifier","Soins reçus augmentés de {HEALMULTIPLIER} %"
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Tous les ennemis reçoivent {HEALMULTIPLIER} % de soins."
"herocard.passive_skill.description.healmodifier.decrease","Soins reçus réduits de {HEALMULTIPLIER} %"
"herocard.passive_skill.description.healonheal.can_stack.heal","Ce personnage reçoit {POWER} % de santé à chaque fois qu'il récupère de la santé."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Ce personnage récupère {HEALTH} PV lorsqu'un de ses sbires est vaincu."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","La santé de ce personnage est boostée de {HEALTH} lorsqu'un de ses sbires est vaincu."
"herocard.passive_skill.description.healthboost.all.allies","Booste la santé de tous les alliés de {HEALTHBOOST} %. Le maximum de PV peut être dépassé."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Au début de chaque combat, l'attaque de ce personnage augmente de {ATTACK} % pour chaque ennemi dont l'élément n'est pas la nature. Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","L'attaque de ce personnage augmente de {ATTACK} % pour chaque ennemi en vie dont l'élément n'est pas la nature. L'effet est réinitialisé au début de chaque vague. Effet actuel : {CURRENTMODIFIER} %."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Au début de chaque combat, l'attaque de ce personnage augmente de {ATTACK} % pour chaque ennemi dont l'élément n'est pas le feu. Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","L'attaque de ce personnage augmente de {ATTACK} % pour chaque ennemi en vie dont l'élément n'est pas le feu. L'effet est réinitialisé au début de chaque vague. Effet actuel : {CURRENTMODIFIER} %."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Inflige {DAMAGEMULTIPLIER} % de dégâts supplémentaires aux sbires."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Ce personnage inflige {DAMAGEMULTIPLIER} % de dégâts aux sbires et aux méga sbires."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","La puissance des coups de la compétence spéciale de ce personnage augmente de {POWERADDITION} % si la cible est sous l'effet d'une provocation."
"herocard.passive_skill.description.increasespecialdamage","Les {MAXACTIVATIONCOUNT} premières fois que ce personnage lance une compétence spéciale qui inflige des dégâts, la puissance de celle-ci augmente de {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamage.usable_once","La première fois que ce personnage lance une compétence spéciale qui inflige des dégâts, la puissance de celle-ci augmente de {POWERADDITION} %."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","À chaque fois que ce personnage lance une compétence spéciale qui inflige des dégâts, la puissance de celle-ci augmente de {POWERADDITION} %."
"herocard.passive_skill.description.insanitydamagereduction","Tous les dégâts subis par ce personnage sont réduits de {DAMAGEREDUCTION} % pour chaque tranche de {DISPLAYSCALE} point(s) de folie, jusqu'à un maximum de {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Quand ce personnage utilise sa compétence spéciale, ses compétences passives octroyant des effets secondaires lors de leur déclenchement ont {APPLYCOUNT} de chances de s'activer."
"herocard.passive_skill.description.league.featured_family","Ce héros fait partie d'une famille à la une !"
"herocard.passive_skill.description.league.non_featured_family","Ce héros ne fait pas partie d'une famille à la une !"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % de précision face aux héros des familles à la une."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","L'efficacité des soins affectant des membres des familles à la une est de {POWERMULTIPLIER} %."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % de dégâts reçus des familles qui ne sont pas à la une."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % de génération de mana."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Réduit la quantité de mana octroyée par les compétences spéciales de {MODIFIER} %. Cet effet s'applique à tous les ennemis."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Réduit de {MODIFIER} % la quantité de mana octroyée par les compétences spéciales, les compétences passives, les bonus de famille et les effets appliqués. Cet effet s'applique à tous les ennemis."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Réduit de {MODIFIER} % la quantité de mana octroyée par les compétences spéciales, les compétences passives, les bonus de famille et les effets appliqués. Cet effet s'applique à tous les ennemis."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Ce personnage gagne un faible montant de mana lorsqu'un de ses sbires est vaincu."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Ce persone a la capacité innée de mémoriser tout sbire ou démon invoqué par les compétences spéciales des ennemis. Le dernier sbire ou démon invoqué reste en mémoire jusqu'à l'utilisation de la compétence spéciale."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Ce persone a la capacité innée de mémoriser tout sbire ou démon invoqué par les compétences spéciales des ennemis. Les {0} derniers sbires ou démons invoqués restent en mémoire jusqu'à l'utilisation de la compétence spéciale."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Ce personnage a la capacité innée de mémoriser les effets négatifs. Le dernier effet négatif lancé contre lui reste en mémoire jusqu'à l'utilisation de la compétence spéciale. Seuls les effets négatifs possédant une durée peuvent être mémorisés."
"herocard.passive_skill.description.memorizestatuseffects#2","Ce personnage a la capacité innée de mémoriser les effets négatifs. Les {0} derniers effets négatifs qui ont été lancés contre lui restent en mémoire jusqu'à l'utilisation de la compétence spéciale. Seuls les effets négatifs possédant une durée peuvent être mémorisés."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted","Chaque imposteur unique dans votre équipe peut vous rapporter du butin supplémentaire en terminant des étape. Cet imposteur octroie une chance d'obtenir le butin supplémentaire suivant :"
