"herocard.family.title.abyss","アンダーワイルドファミリー"
"herocard.family.title.journey.short","旅人"
"herocard.family.title.jungle_hunter","密林ハンターファミリー"
"herocard.family.title.jungle_hunter.short","密林ハンター"
"herocard.family.title.kalevala","カレワラファミリー"
"herocard.family.title.kalevala.short","カレワラ"
"herocard.family.title.kingdom","王国ファミリー"
"herocard.family.title.kingdom.short","王国"
"herocard.family.title.knight","アヴァロンファミリー"
"herocard.family.title.knight.short","アヴァロン"
"herocard.family.title.lagoon","ラグーンファミリー"
"herocard.family.title.lagoon.short","ラグーン"
"herocard.family.title.magic","マジックファミリー"
"herocard.family.title.magic.short","マジック"
"herocard.family.title.magic_carpet","魔法の絨毯ファミリー"
"herocard.family.title.magic_carpet.short","魔法の絨毯"
"herocard.family.title.mahayoddha","マハヨッダファミリー"
"herocard.family.title.mahayoddha.short","マハヨッダ"
"herocard.family.title.masquerade","仮面の神ファミリー"
"herocard.family.title.masquerade.short","仮面の神"
"herocard.family.title.masquerade_pve","仮面の神ファミリー"
"herocard.family.title.masquerade_pve.short","仮面の神"
"herocard.family.title.midgard","ミッドガルド領域"
"herocard.family.title.midgard.short","ミッドガルド"
"herocard.family.title.mighty_pet","マイティペットファミリー"
"herocard.family.title.mighty_pet.short","マイティペット"
"herocard.family.title.mimic","ミミックファミリー"
"herocard.family.title.mimic.short","ミミック"
"herocard.family.title.moon","ムーンファミリー"
"herocard.family.title.moon.short","ムーン"
"herocard.family.title.moths","蛾ファミリー"
"herocard.family.title.moths.short","蛾"
"herocard.family.title.musketeer","銃士ファミリー"
"herocard.family.title.musketeer.short","銃士"
"herocard.family.title.muspelheim","ムスペルヘイム領域"
"herocard.family.title.muspelheim.short","ムスペルヘイム"
"herocard.family.title.myrkheim","ミアークヘイム"
"herocard.family.title.myrkheim.short","ミアークヘイム"
"herocard.family.title.mystery","ミステリー ファミリー"
"herocard.family.title.mystery.short","ミステリー"
"herocard.family.title.nidavellir","ニザヴェリルの領域"
"herocard.family.title.nidavellir.short","ニザヴェリル"
"herocard.family.title.niflheim","ニヴルヘイム領域"
"herocard.family.title.niflheim.short","ニヴルヘイム"
"herocard.family.title.ninja","ニンジャファミリー"
"herocard.family.title.ninja.short","ニンジャ"
"herocard.family.title.ninja2","ニンジャファミリー"
"herocard.family.title.ninja2.short","ニンジャ"
"herocard.family.title.opera","オペラファミリー"
"herocard.family.title.opera.short","オペラ"
"herocard.family.title.outlaw","梁山ファミリーの無法者"
"herocard.family.title.outlaw.short","梁山の無法者"
"herocard.family.title.owl","オウルファミリー"
"herocard.family.title.owl.short","オウル"
"herocard.family.title.pirate","海賊ファミリー"
"herocard.family.title.pirate.short","海賊"
"herocard.family.title.plains_hunter","平原のハンターファミリー"
"herocard.family.title.plains_hunter.short","平原のハンター"
"herocard.family.title.raven","鴉ファミリー"
"herocard.family.title.raven.short","鴉"
"herocard.family.title.raven_pve.short","鴉"
"herocard.family.title.sand","砂の国ファミリー"
"herocard.family.title.sand.short","砂の国"
"herocard.family.title.shady_scoundrels","怪しい悪党ファミリー"
"herocard.family.title.shady_scoundrels.short","怪しい悪党"
"herocard.family.title.slayers","スレイヤーファミリー"
"herocard.family.title.slayers.short","スレイヤー"
"herocard.family.title.slime","スライムファミリー"
"herocard.family.title.slime.short","スライム"
"herocard.family.title.stag","オジカファミリー"
"herocard.family.title.stag.short","オジカ"
"herocard.family.title.stag_pve.short","オジカ"
"herocard.family.title.styx","ステュクスファミリー"
"herocard.family.title.styx.short","ステュクス"
"herocard.family.title.sun","サンファミリー"
"herocard.family.title.sun.short","サン"
"herocard.family.title.super_elemental","スーパーエレメントファミリー"
"herocard.family.title.super_elemental.short","スーパーエレメント"
"herocard.family.title.svartalfheim","スヴァルトアールヴヘイム領域"
"herocard.family.title.svartalfheim.short","スヴァルトアールヴヘイム"
"herocard.family.title.tales1_baddies","アトランティスの悪夢ファミリー"
"herocard.family.title.tales1_baddies.short","アトランティスの悪夢"
"herocard.family.title.tales1_goodies","アトランティスの守護者ファミリー"
"herocard.family.title.tales1_goodies.short","アトランティスの守護者"
"herocard.family.title.vanaheim","ヴァナヘイム領域"
"herocard.family.title.vanaheim.short","ヴァナヘイム"
"herocard.family.title.vegetable","勇猛な野菜ファミリー"
"herocard.family.title.vegetable.short","勇猛な野菜"
"herocard.family.title.villains","悪役ファミリー"
"herocard.family.title.villains.short","悪役"
"herocard.family.title.wild_cat","ヤマネコファミリー"
"herocard.family.title.wild_cat.short","ヤマネコ"
"herocard.family.title.winter","冬ファミリー"
"herocard.family.title.winter.short","冬"
"herocard.family.title.wolf","オオカミファミリー"
"herocard.family.title.wolf.short","オオカミ"
"herocard.family.title.wolf_pve.short","オオカミ"
"herocard.family.title.wonderland","不思議の国ファミリー"
"herocard.family.title.wonderland.short","不思議の国"
"herocard.family.title.zodiac","旧正月ファミリー"
"herocard.family.title.zodiac.short","旧正月"
