"herocard.passive_skill.description.addmana.all.allies","Alle allierte får en liten mengde mana."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Denne figuren har en {CHANCE} % sjanse til å få {POWER} % helse hver gang en statuslidelse utløper eller renses, fjernes eller flyttes fra dem. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Denne figuren mottar {POWER} økt helse hver gang en økning fjernes fra denne figuren. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Hvert treff fra undersåttene eid av figuren påfører {DAMAGE} frostskade i {TURNS} runder"
"herocard.passive_skill.description.effectonheal.addmana","Denne figuren får {POWER} % mana hver gang dens får tilbake helse."
"herocard.passive_skill.description.effectonheal.heal","Denne figuren får {POWER} % helse hver gang den får tilbake helse."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Denne figuren får {POWER} % helse hver gang den får tilbake helse."
"herocard.passive_skill.description.effectonownerdeath.damage.single.enemies.specialskill.targetattackerside","Når denne figuren beseires av en spesialferdighet, utfører den følgende handlinger:
Angriperen tar {DAMAGE} % skade.
Angriperen tar {STATUSEFFECT1DAMAGE} blødeskade i {TURNS} runder."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Denne figuren får {HEALTHBOOST} % økt helse og {MANA} % mana når den motstår vellykket."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Denne figuren får {POWER} % mana hver gang fienden bruker en spesialferdighet som direkte øker helsen."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Denne figuren får {POWER} økt helse hver gang fienden bruker en spesialferdighet som direkte øker helsen."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % sjanse til å utføre følgende handlinger når denne figuren bruker spesialferdigheten sin:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Når denne figuren får et kritisk treff med spesialferdigheten, renser figuren den siste rensbare statuslidelsen fra alle allierte."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Når denne figuren får et kritisk treff med spesialferdigheten sin, øker den helsen til alle sine allierte med {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Når denne figuren får et kritisk treff med spesialferdigheten sin, øker den helsen til alle sine allierte med {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.random.enemies.directeffect1_statuseffects.defensemodifier.always","Når en alliert bruker spesialferdigheten sin, påfører denne figuren {POWER} % skade og gir {DIRECTEFFECT1STATUSEFFECT1DEFENSE} % forsvar i {DIRECTEFFECT1STATUSEFFECT1TURNS} runder til en tilfeldig fiende."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Når en fiende bruker spesialferdigheten sin, har denne figuren {CHANCE} % sjanse til å booste denne figurens helse med {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å gi {POWER} % mana til alle allierte. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å gi {POWER} % mana til alle allierte som ikke er av iselement. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Når denne figuren bruker spesialferdigheten sin, fjernes den nyeste statuseffektøkningen fra alle fiender."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Når denne figuren bruker spesialferdigheten sin, renses den nyeste statuslidelsen fra alle allierte."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å påføre {POWER} % skade til alle fiender. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å påføre {POWER} % skade til alle fiender som ikke er av mørkt element. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å påføre {POWER} % skade til alle fiender som ikke er av brannelement. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å få tilbake {POWER} % helse for alle allierte. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å få tilbake {POWER} % helse for alle allierte som ikke er av naturelement. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å få tilbake {POWER} % helse for alle allierte som ikke er av brannelement. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Med en fullt ladet spesialferdighet har denne helten en {CHANCE} % sjanse til å få tilbake {POWER} % helse for alle allierte som ikke er av hellig element. Hvis spesialferdigheten er fulladet, er sjansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Når denne figuren bruker spesialferdigheten sin, øker den helsen til alle sine allierte med {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Hvis en fiende med gjennomsnittlig manahastighet eller raskere bruker en spesialferdighet, tar alle fiender {DAMAGE} skade. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Hver gang en fiende mottar en provoser-statuseffekt, vil denne figurens mana øke med {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Denne figuren får {POWER} % mana når en fiende mottar en statuseffektøkning som påvirker forsvar. Denne effekten kan aktiveres kun én gang per tur."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Denne figuren får {POWER} % mana når den får en økning eller en positiv stabel."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Denne figuren får {POWER} % mana når vedkommende får en statuslidelse eller en negativ stabel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Denne figuren gjenvinner {POWER} % helse når den får en økning eller en positiv stabel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Denne figuren gjenvinner {POWER} % helse når den får en statuslidelse eller en negativ stabel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Denne figuren gjenvinner {POWER} helse når den får en statuslidelse eller en negativ stabel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Denne figuren har en {CHANCE} % sjanse til å få {POWER} % mana når den får en økning eller en positiv stabel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Denne figuren har {CHANCE} % sjanse til å få tilbake {POWER} % helse når den får en økning eller en positiv stabel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Denne figuren har en {CHANCE} % sjanse til å få tilbake {POWER} % helse når den får en økning eller en positiv stabel."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Hver {TURNS}. tur gjenopplives beseirede allierte i nærheten med {POWER} % HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Får en liten mengde mana for hver aktive statustilstand-økning som motstanderlaget har ved starten av hver runde (maksimalt {MAXSTATUSEFFECTCOUNT} økninger)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Øker helsen til denne figuren og nærliggende allierte med {INCREMENTPERSTATUSEFFECT1} % for hver fiende som påføres gift ved starten av hver tur. Økt helse kan overstige maksimal HP."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Når en undersått fremkalles til en alliert, får denne figuren {POWER} % mana. Denne effekten kan kun aktiveres én gang per tur."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Når en undersått fremkalles til en alliert, vil denne figuren få {HEALTH} % helse og {MANA} % mana. Denne effekten kan kun aktiveres én gang per tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Når en djevel fremkalles til en fiende, får denne figuren {POWER} % mana. Denne effekten kan kun aktiveres én gang per tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Når en djevel fremkalles til en fiende, vil denne figuren påføre alle fiender {DAMAGE} % skade. Denne effekten kan kun aktiveres én gang per tur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Når en djevel fremkalles til en fiende, får denne figuren {POWER} økt helse. Denne effekten kan kun aktiveres én gang per tur."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % sjanse til å utføre ekstra handlinger når denne figuren bruker spesialferdigheten sin:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Alle fienders undersåtter har {MINIONMODIFIER} % treffsikkerhet.
Alle fienders megaundersåtter har {MEGAMINIONMODIFIER} % treffsikkerhet."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Konstruktørkjernen til denne figuren er en undersåttkjerne.

Undersåttkjernen aktiveres hver gang denne figurens spesialferdighet brukes:

 Med en fulladet undersåttkjerne kan du fremkalle en drapsrobotundersått med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % nedarvet angrep fra brukeren på alle allierte.
 HP og angrep nedarvet fra brukeren skaleres av ladningen i kjernen. Alle ladninger brukes når kjernen aktiveres.
 Før drapsrobotundersåtten treffer et mål, ødelegger den alle undersåtter fra målet og skader megaundersåtter."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always.temp.with.wither","Konstruktørkjernen til denne figuren er en undersåttkjerne.

Undersåttkjernen aktiveres hver gang denne figurens spesialferdighet brukes:

 Med en fulladet undersåttkjerne kan du fremkalle en drapsrobotundersått med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % nedarvet angrep fra brukeren på alle allierte.
 HP og angrep nedarvet fra brukeren skaleres av ladningen i kjernen. Alle ladninger brukes når kjernen aktiveres.
 Før drapsrobotundersåtten treffer et mål, ødelegger den alle undersåtter fra målet og skader megaundersåtter.
 Visne: Hvert treff fra en drapsrobotundersått gir målet {ATTACKMODIFIER} angrep."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Fiendtlige megaundersåtter har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Fiendtlige undersåtter har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Fiendtlige megaundersåtter kan ikke angripe eller bruke evner."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Fiendtlige undersåtter kan ikke angripe eller bruke evner."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Denne figuren får {POWER} % mana hver gang en fiende tar frostskade."
"herocard.passive_skill.description.growth","Denne heltens grunnangrep og grunnforsvar økes med {STATINCREASE} hver runde i {MAXACTIVATIONCOUNT} runder."
"herocard.passive_skill.description.guaranteedeffectonspecial","Når denne figuren bruker spesialferdigheten sin, garanterer det at alle dens passive ferdigheter som gir ekstra effekter ved bruk, aktiveres."
"herocard.passive_skill.description.heal.all.allies","Få tilbake {HEALTH} % helse til alle allierte."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % økning på all helbredelse mottatt."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Alle fiender får {HEALMULTIPLIER} % helbredelse."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % reduksjon på all helbredelse mottatt."
"herocard.passive_skill.description.healonheal.can_stack.heal","Denne figuren får {POWER} % helse hver gang den får tilbake helse."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Denne figuren får tilbake {HEALTH} helse når en undersått eid av den knuses."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Denne figuren får tilbake {HEALTH} økt helse når en undersått eid av den knuses"
"herocard.passive_skill.description.healthboost.all.allies","Øker helsen til alle allierte med {HEALTHBOOST} %. Økt helse kan overskride maks HP."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Ved starten av hver kamp økes denne figurens angrep med {ATTACK} % for hver fiende som ikke er av natur-element. I kamper med flere bølger oppdateres effekten ved begynnelsen av hver bølge."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Denne figurens angrep økes med {ATTACK} % for hver levende fiende som ikke er av natur-element. Effekten oppdateres ved begynnelsen av hver bølge. (Nåværende: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Ved starten av hver kamp økes denne figurens angrep med {ATTACK} % for hver fiende som ikke er av ild-element. I kamper med flere bølger oppdateres effekten ved begynnelsen av hver bølge."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Denne figurens angrep økes med {ATTACK} % for hver levende fiende som ikke er av ild-element. Effekten oppdateres ved begynnelsen av hver bølge. (Nåværende: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Påfører {DAMAGEMULTIPLIER} % mer skade mot undersåtter."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Denne figuren gjør {DAMAGEMULTIPLIER} % skade på undersåtter og megaundersåtter."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Treff fra denne figurens spesialferdighet har {POWERADDITION} % ekstra styrke hvis målet har Provoser."
"herocard.passive_skill.description.increasespecialdamage","De første {MAXACTIVATIONCOUNT} gangene denne figuren bruker en spesialferdighet som gjør skade, blir {POWERADDITION} % lagt til kraften dens."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Den første gangen denne figuren bruker en spesialferdighet som gjør skade, blir {POWERADDITION} % lagt til kraften dens."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Hver gang denne figuren bruker en spesialferdighet som gjør skade, blir {POWERADDITION} % lagt til kraften dens."
"herocard.passive_skill.description.insanitydamagereduction","All skade tatt av denne figuren reduseres med {DAMAGEREDUCTION} % per {DISPLAYSCALE} galskap på denne figuren, opptil en maksimal reduksjon på {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Når denne figuren bruker spesialferdigheten sin, har alle dens passive ferdigheter som gir ekstra effekter ved bruk, {APPLYCOUNT} sjanser til å atkiveres."
"herocard.passive_skill.description.league.featured_family","Denne helten er del av en fremhevet familie!"
"herocard.passive_skill.description.league.non_featured_family","Denne helten er ikke del av en fremhevet familie!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % nøyaktighet mot helter i fremhevede familier."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Helbredelse som påvirker medlemmer av de fremhevede familiene, har {POWERMULTIPLIER} % effektivitet."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % skade mottatt fra ikke-fremhevede familier."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % mana-generering."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Reduserer økt mengde mana fra spesialferdigheter med {MODIFIER} %. Denne effekten påføres alle fiender i kampen."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Reduserer økt mengde mana fra spesialferdigheter, passive ferdigheter, familiebonuser og statuseffekter med {MODIFIER} %. Denne effekten påføres alle fiender i kampen."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Reduserer økt mengde mana fra spesialferdigheter, passive ferdigheter, familiebonuser og statuseffekter med {MODIFIER} %. Denne effekten påføres alle fiender i kampen."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Denne figuren får en liten mengde mana når en undersått eid av den knuses."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Denne figuren har det naturlige talentet å huske alle undersåtter eller djevler fremkalt av fiendens spesialferdigheter. Den siste undersåtten eller djevelen som fienden fremkaller, vil forbli husket frem til spesialferdigheten brukes."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Denne figuren har det naturlige talentet å huske alle undersåtter eller djevler fremkalt av fiendens spesialferdigheter. De siste {0} undersåttene og djevlene som fienden fremkaller, vil forbli husket frem til spesialferdigheten brukes."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Denne figuren har en naturlig evne til å huske statuslidelser. Den siste statuslidelsen som brukes på denne figuren, blir husket frem til spesialferdigheten tas i bruk. Kun statuslidelser med en varighet kan huskes."
"herocard.passive_skill.description.memorizestatuseffects#2","Denne figuren har en naturlig evne til å huske statuslidelser. De siste {0} statuslidelsene som brukes på denne figuren, blir husket frem til spesialferdigheten tas i bruk. Kun statuslidelser med en varighet kan huskes."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
