"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.ballerina_firmin","Kommende beskytter"
"heroes.name_fancy.ballerina_madame_giry","Matrone for dansere"
"heroes.name_fancy.ballerina_meg_giry","Ung ballerina"
"heroes.name_fancy.ballerina_odette","Den hvite svanen"
"heroes.name_fancy.ballerina_odile","Svart svane"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Mystisk mesterhjerne"
"heroes.name_fancy.ballerina_prince_siegfried","Fremtidig konge"
"heroes.name_fancy.ballerina_raul","Kjærlighetssyk adelsmann"
"heroes.name_fancy.ballerina_swan_maiden","Én av de små svanene"
"heroes.name_fancy.ballerina_uberta","Enkedronningen"
"heroes.name_fancy.ballerina_von_rothbart","Fryktet magiker"
"heroes.name_fancy.bard_astrid","Gjenopplivende skald"
"heroes.name_fancy.bard_balafon","Åndefestivalskald"
"heroes.name_fancy.bard_belladonna","Skald for overnaturlighet"
"heroes.name_fancy.bard_bhaltair","Éndvergsband"
"heroes.name_fancy.bard_bonzo","Oddeskald"
"heroes.name_fancy.bard_celimene","Skald for illusjon"
"heroes.name_fancy.bard_darkbeat","Moshpit-maestro"
"heroes.name_fancy.bard_dunnar_hart","Magmatic-trommer"
"heroes.name_fancy.bard_garyas","Skald for glede"
"heroes.name_fancy.bard_lyria","Eksepsjonelt ivrig instrumentalist"
"heroes.name_fancy.bard_merith","Slangefiolinist"
"heroes.name_fancy.bard_narcisa","Glamourens skald"
"heroes.name_fancy.bard_ogima","Skald for ånder"
"heroes.name_fancy.bard_phenexa","Hviskenes skald"
"heroes.name_fancy.bard_rhys","Tapperhetens skald"
"heroes.name_fancy.bard_winifred","Skapernes skald"
"heroes.name_fancy.bard_zarel","Skald for kunnskap"
"heroes.name_fancy.bard_zhabog","Talekunstens skald"
"heroes.name_fancy.beachparty_andy_jay","Avdekker av solfylt kyst"
"heroes.name_fancy.beachparty_brebarg","Sandslottekspert"
"heroes.name_fancy.beachparty_davey_wavey","Hai under opplæring"
"heroes.name_fancy.beachparty_dillo","Bløtt beltedyr"
"heroes.name_fancy.beachparty_dolrak","Litt for solbrun dverg"
"heroes.name_fancy.beachparty_flip","Livvakt-sel"
"heroes.name_fancy.beachparty_flip_costume_donut","Sel-donutselger"
"heroes.name_fancy.beachparty_itham","Svømmeskoleinstruktør-elg"
"heroes.name_fancy.beachparty_mazoga","Vannskyter-ork"
"heroes.name_fancy.beachparty_misty","Snorklende gnom"
"heroes.name_fancy.beachparty_mortimer","Mørkalv-surfer"
"heroes.name_fancy.beachparty_serena","Kystkjendis"
"heroes.name_fancy.beachparty_zenukwa","Iskrementusiast"
"heroes.name_fancy.beauty_beast_chandel","Illuminatoren av det forheksede slottet"
"heroes.name_fancy.beauty_beast_dominique","Den trofaste beskytteren"
"heroes.name_fancy.beauty_beast_lucas","Dominiques yngre bror"
"heroes.name_fancy.beauty_beast_rose_de_flo","Blomstringen av det forheksede slottet"
"heroes.name_fancy.beauty_beast_the_beast","Den ensomme prinsen av det forheksede slottet"
"heroes.name_fancy.beowulf_aeschere","Scyldingenes vismann"
"heroes.name_fancy.beowulf_beowulf","Geats' sverd"
"heroes.name_fancy.beowulf_breca","Velsignelsekonpanjong"
"heroes.name_fancy.beowulf_ecgtheow","Rasende krigsleder"
"heroes.name_fancy.beowulf_freawaru","Fredsvever"
"heroes.name_fancy.beowulf_grendel","Sverdknusende udyr"
"heroes.name_fancy.beowulf_grendels_mother","Terror-spredende Tarn-Hag"
"heroes.name_fancy.beowulf_hrothgar","Mester av mjødhall"
"heroes.name_fancy.beowulf_hygd","Geats' dronning"
"heroes.name_fancy.beowulf_modthryth","Nådeløs skjoldmøy"
"heroes.name_fancy.beowulf_nithgaest","Beowulfs bane"
"heroes.name_fancy.beowulf_unferth","Hruntings bærer"
"heroes.name_fancy.beowulf_wealhtheow","Ringbeskyttet, kongehjertet"
"heroes.name_fancy.beowulf_weland","Dyktig smed"
"heroes.name_fancy.beowulf_wiglaf","Sønn av Weohstan"
"heroes.name_fancy.blackguard_commander","Sørgmodig hertug"
"heroes.name_fancy.blackguard_commander_costume_cute","Sørgmodig toon"
"heroes.name_fancy.blackguard_commander_costume_feather","Klagende hertug"
"heroes.name_fancy.blackguard_commander_costume_glass","Bedrøvet vitrail"
"heroes.name_fancy.blackguard_commander_costume_metal","Steinens hertug"
"heroes.name_fancy.blackguard_female_archer","Aspirerende bueskytter"
"heroes.name_fancy.blackguard_female_captain","Resolutt vakt"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Resolutt toon"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Resolutt vitrail"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Resolutt formann"
"heroes.name_fancy.blackguard_knight","Edel kavaler"
"heroes.name_fancy.blackguard_knight_costume_cute","Toon-ridder"
"heroes.name_fancy.blackguard_knight_costume_elegant","Velkledd adelsmann"
"heroes.name_fancy.blackguard_knight_costume_glass","Glasskavaler"
"heroes.name_fancy.blackguard_knight_costume_healer","Nobel helbreder"
"heroes.name_fancy.blackguard_scout","Morgoviansk flyktning"
"heroes.name_fancy.blackguard_skulker","Forvirret leiemorder"
"heroes.name_fancy.blackguard_skulker_costume_cute","Forvirret toon"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Forvirret kirurg"
"heroes.name_fancy.blackguard_skulker_costume_glass","Glass-snikmorder"
"heroes.name_fancy.castle_bear_armel","Arktisk ambassadør"
"heroes.name_fancy.castle_bear_bearnadette","Portrettmaler"
"heroes.name_fancy.castle_bear_humbert","Høylandets forsvarer"
"heroes.name_fancy.castle_bear_koda","Ridder i plommeskogen"
"heroes.name_fancy.castle_bear_teddy","Den renhjertede"
"heroes.name_fancy.castle_bear_torben","Herre i høylandet"
"heroes.name_fancy.castle_bear_winnie","Ursine-våpensmed"
"heroes.name_fancy.castle_bear_yona","Skøyer i høylandet"
"heroes.name_fancy.castle_raven_aderyn","Slottets lege"
"heroes.name_fancy.castle_raven_eloise","Slottsmagiker"
"heroes.name_fancy.castle_raven_franz","Slottsbeskytter"
"heroes.name_fancy.castle_raven_lewena","Slottsskytter"
"heroes.name_fancy.castle_raven_quintin","Slottsforfølger"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Frostjeger for ravnene"
"heroes.name_fancy.castle_raven_rayne","Slottskaptein"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Kaptein for ravnene"
"heroes.name_fancy.castle_raven_wren","Slottets speider"
"heroes.name_fancy.castle_stag_alvar","Stifinder"
"heroes.name_fancy.castle_stag_cecilia","Velsignet av skumring"
"heroes.name_fancy.castle_stag_daemon","De visnedes hevner"
"heroes.name_fancy.castle_stag_fawn","Hengiven godseier"
"heroes.name_fancy.castle_stag_lysanor","Seer av safirdrømmen"
"heroes.name_fancy.castle_stag_raleigh","Lærd i smaragdskogen"
"heroes.name_fancy.castle_stag_siofra","Edholder"
"heroes.name_fancy.castle_stag_xiamara","Vokter i smaragdskogen"
"heroes.name_fancy.castle_wolf_bertulf","Slottets kokk"
"heroes.name_fancy.castle_wolf_esme","Slottets erkemagiker"
"heroes.name_fancy.castle_wolf_ferant","Slottets vokter"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Vokter for ulvene"
"heroes.name_fancy.castle_wolf_ludwig","Slottets forsvarer"
"heroes.name_fancy.castle_wolf_quenell","Slottets mester"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Mester for ulvene"
"heroes.name_fancy.castle_wolf_wolfgang","Slottets kommandant"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Kommandant for ulvene"
"heroes.name_fancy.champions_lazara","Baseballmester"
"heroes.name_fancy.champions_mistra","Diskoskastmester"
"heroes.name_fancy.champions_nogu","Spydkastmester"
"heroes.name_fancy.champions_norman","Turneringsmester"
"heroes.name_fancy.champions_ramona","Bukketurismomester"
"heroes.name_fancy.champions_satori","Sumomester"
"heroes.name_fancy.christmas_albin","Kakaokjenner"
"heroes.name_fancy.christmas_augustus","Eldre gnom"
"heroes.name_fancy.christmas_buster","Gretten hagegnom"
"heroes.name_fancy.christmas_carol","Julenissens hjelper"
"heroes.name_fancy.christmas_cookie","Vitenskapsgnom"
"heroes.name_fancy.christmas_dizzy","Underholdergnom"
"heroes.name_fancy.christmas_elf","Julenissens hjelper"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Julenissens bokholder"
"heroes.name_fancy.christmas_florencia","Snøvakt"
"heroes.name_fancy.christmas_frosty","Nordlig vakt"
"heroes.name_fancy.christmas_ginger","Utforskergnom"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnommester av gaver"
"heroes.name_fancy.christmas_holly","Sjefskokkgnom"
"heroes.name_fancy.christmas_jolly","Tømmerhuggergnom"
"heroes.name_fancy.christmas_krampus","Høytidsuhyre"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Juleskøyer"
"heroes.name_fancy.christmas_mr_pengi","Kaptein av julenissens garde"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Kaptein for snowboardlaget"
"heroes.name_fancy.christmas_mrs_claus","Kokken fra nord"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Julegenser-entusiast"
"heroes.name_fancy.christmas_noel","Glad sledeunge"
"heroes.name_fancy.christmas_ottilia","Gnomdekoratør"
"heroes.name_fancy.christmas_peppermint","Alkymistgnom"
"heroes.name_fancy.christmas_reindeer","Julenissens lojale hest"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Julenissens ridderlige hest"
"heroes.name_fancy.christmas_santa","Den som kommer med gaver"
"heroes.name_fancy.christmas_santa_costume_metal","Hardrock-nissen"
"heroes.name_fancy.christmas_tinsel","Oppfinnergnom"
"heroes.name_fancy.christmas_zappa","Trollmanngnom"
"heroes.name_fancy.circus_bobo","Yeti med det største hjertet"
"heroes.name_fancy.circus_candy","Munter moromaker"
"heroes.name_fancy.circus_dandre","Stø sjonglør"
"heroes.name_fancy.circus_director_zuri","Sirkusmester"
"heroes.name_fancy.circus_director_zuri_costume_clown","Klovnemester"
"heroes.name_fancy.circus_eichbelborg","Kry bodybuilder"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamisk duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Mørk duo"
"heroes.name_fancy.circus_emilio","Den store fønikstemmeren"
"heroes.name_fancy.circus_emilio_costume_frog","Den store forsketemmeren"
"heroes.name_fancy.circus_faline","Forbløffende akrobat"
"heroes.name_fancy.circus_marcel","Rampete mimiker"
"heroes.name_fancy.circus_theobald","Knivkastende mirakelbjørn"
"heroes.name_fancy.circus_whacker","Sprø banker"
"heroes.name_fancy.construct_arzen","Ondskapsfull formann-konstruktør"
"heroes.name_fancy.construct_blue_mage","Stjernemagiker-konstruktør"
"heroes.name_fancy.construct_bonechill","Frokst-konstruktør"
"heroes.name_fancy.construct_brimstone","Infernalsk-konstruktør"
"heroes.name_fancy.construct_carta","Kartograf-konstruktør"
"heroes.name_fancy.construct_dancrag","Gammel koloss-konstruktør"
"heroes.name_fancy.construct_ferrus","Pirat-konstruktør"
"heroes.name_fancy.construct_frond","Alv-konstruktør"
"heroes.name_fancy.construct_glacivolt","Isende formann-konstruktør"
"heroes.name_fancy.construct_gwynn","Energiflyt-konstruktør"
"heroes.name_fancy.construct_halwinter","Tungt armert-konstruktør"
"heroes.name_fancy.construct_haulstone","Bør det alt-konstruktør"
"heroes.name_fancy.construct_hornfel","Minotaur-konstruktør"
"heroes.name_fancy.construct_hotspin","Flammesyklon-konstruktør"
"heroes.name_fancy.construct_ironheart","Hellig vokter-konstruktør"
"heroes.name_fancy.construct_ironvein","Hellig væpner-konstruktør"
"heroes.name_fancy.construct_japanese_doll","Porselensdukke-konstruktør"
"heroes.name_fancy.construct_nautica","Navigatør-konstruktør"
"heroes.name_fancy.construct_nocturne","Tomromtank-konstruktør"
"heroes.name_fancy.construct_rhineglow","Superkondensator-konstruktør"
"heroes.name_fancy.construct_rustbeak","Ugle-konstruktør"
"heroes.name_fancy.construct_scoria","Everburning-konstruktør"
"heroes.name_fancy.construct_shaal","Geistlig-konstruktør"
"heroes.name_fancy.construct_shacklebolt","Fanget-konstruktør"
"heroes.name_fancy.construct_sizzleomatic","Entusiastisk kokk-konstruktør"
"heroes.name_fancy.construct_skarn","Balefrost-konstruktør"
"heroes.name_fancy.construct_sylosis","Stridskunstner-konstruktør"
"heroes.name_fancy.construct_tenebrae","Mørkeprinsesse-konstruktør"
"heroes.name_fancy.construct_zavok","Kaotisk magiker-konstruktør"
"heroes.name_fancy.cultist_female_poisoner","Opprørsk banditt"
"heroes.name_fancy.cultist_inventor","Gal forsker"
"heroes.name_fancy.cultist_inventor_costume_cute","Toon-vitenskapsmann"
"heroes.name_fancy.cultist_inventor_costume_glass","Glass-forsker"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Kjærlighetsdoktor"
"heroes.name_fancy.cultist_inventor_costume_steam","Elektro-vitenskapsman"
"heroes.name_fancy.cultist_mage","Fryktmagiker"
"heroes.name_fancy.cultist_mage_costume_cute","Toon-magiker"
"heroes.name_fancy.cultist_mage_costume_glass","Glassmagiker"
"heroes.name_fancy.cultist_mage_costume_voodoo","Vandød magiker"
"heroes.name_fancy.cultist_sorceress","Bøddel fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Toon-bøddel"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monsterinne fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Slange fra Descenthia"
"heroes.name_fancy.cultist_thief","Tyv med store planer"
"heroes.name_fancy.dark_god_aeron","Standhaftig dommer"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Parykkdommer"
"heroes.name_fancy.dark_god_akilius","Slu reaver"
"heroes.name_fancy.dark_god_anoushka","Den tilbaketrukne seeren"
"heroes.name_fancy.dark_god_arfanias","Skyggesnikmorder"
"heroes.name_fancy.dark_god_chakkoszrot","Yppersteprest av Øglefolket"
"heroes.name_fancy.dark_god_clarissa","Freidig kanaliserer"
"heroes.name_fancy.dark_god_eldwren","Flokkfaderen"
"heroes.name_fancy.dark_god_grimble","Den geiteridende gnomen"
"heroes.name_fancy.dark_god_hel","Mørkets himmel"
"heroes.name_fancy.dark_god_hel_costume_cute","Toon-mørkets himmel"
"heroes.name_fancy.dark_god_hel_costume_omen","Mørkets tegn"
"heroes.name_fancy.dark_god_kunchen","Mystisk vagabond"
"heroes.name_fancy.dark_god_malicna","Ond Lector"
"heroes.name_fancy.dark_god_morax","Underverdenens bane"
"heroes.name_fancy.dark_god_september","Mirage snikmorder"
"heroes.name_fancy.dark_god_september_costume_engineer","Luftspeilingingeniør"
"heroes.name_fancy.dark_god_seshat","Gjenopplivet jegerinne"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Overlegen skremselsbueskytter"
"heroes.name_fancy.dark_god_sir_casmir","Vagabond-vakten"
"heroes.name_fancy.dark_god_turgruk","Ond forfølger"
"heroes.name_fancy.dark_god_uthragan","Giftig styggdom"
"heroes.name_fancy.dark_god_viscaro","Korrumpert druide"
"heroes.name_fancy.dark_god_zed","Keiserlig lansenér"
"heroes.name_fancy.dark_god_zulag","Den tapre"
"heroes.name_fancy.dwarven_guard","Traust forsvarer"
"heroes.name_fancy.dwarven_guard_costume_cute","Toon-forsvarer"
"heroes.name_fancy.dwarven_guard_costume_glass","Glass-forsvarer"
"heroes.name_fancy.dwarven_guard_costume_ram","Tungvekterforsvarer"
"heroes.name_fancy.dwarven_guard_costume_tavern","Kroforsvarer"
"heroes.name_fancy.dwarven_scout","Veterankjemper"
"heroes.name_fancy.dwarven_smasher","Den varmblodige"
"heroes.name_fancy.dwarven_smasher_costume_cute","Varmblodig Toon"
"heroes.name_fancy.dwarven_smasher_costume_glass","Hissig vitrail"
"heroes.name_fancy.dwarven_smasher_costume_smith","Den opphetede"
"heroes.name_fancy.dwarwen_brewmaster","Mesterbrygger"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Toon-brygger"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Bryggervitrail"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Mesterkverner"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Mestertreskjærer"
"heroes.name_fancy.easter_archie","Reisende lamatrubadur"
"heroes.name_fancy.easter_archie_costume_gallant","Tapper lama-trubadur"
"heroes.name_fancy.easter_chick_jr","Væpner av Springvale"
"heroes.name_fancy.easter_jasper","Blomsterokse"
"heroes.name_fancy.easter_jasper_costume_fisherman","Fiskerokse"
"heroes.name_fancy.easter_killhare","Brutal beskytter av Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Ultimat bonde"
"heroes.name_fancy.easter_lady_woolerton","Springvales helbreder"
"heroes.name_fancy.easter_miss_ethel","Forsvarer av Springvale"
"heroes.name_fancy.easter_sadie","Rampete stokkand"
"heroes.name_fancy.easter_sir_roostley","Springvales mektige ridder"
"heroes.name_fancy.easter_timothy","Den dristige grisen"
"heroes.name_fancy.easter_viscount_cluckwood","Okkulist fra Springvale"
"heroes.name_fancy.elemental_aconia","Kybertyv"
"heroes.name_fancy.elemental_aconia_costume_courier","Kyberkurer"
"heroes.name_fancy.elemental_alfie","Elementnarr"
"heroes.name_fancy.elemental_anzia","Galaktisk frelser"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktisk fangevokter"
"heroes.name_fancy.elemental_ash","Vill dusørjeger"
"heroes.name_fancy.elemental_ash_costume_savage","Vill dusørjeger"
"heroes.name_fancy.elemental_craum","Elementsjaman"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementokkultist"
"heroes.name_fancy.elemental_desmond","Sverdalkymist"
"heroes.name_fancy.elemental_desmond_costume_assassin","Knivsnikmorder"
"heroes.name_fancy.elemental_doxan","Utstøtt plasmaklinge"
"heroes.name_fancy.elemental_doxan_costume_hacker","Utstøtt plasmahacker"
"heroes.name_fancy.elemental_farrah","Supersonisk sverdmester"
"heroes.name_fancy.elemental_farrah_costume_cyber","Kyberknivmester"
"heroes.name_fancy.elemental_gastille","Multidimensjonal fare"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sporty fare"
"heroes.name_fancy.elemental_griffex","Realitetsmodifikator"
"heroes.name_fancy.elemental_griffex_costume_camera","Endrer av Obscura"
"heroes.name_fancy.elemental_grilka","Gjestfri kvartermester"
"heroes.name_fancy.elemental_grilka_costume_treasure","Verdsatt kvartermester"
"heroes.name_fancy.elemental_ignazio","Flammeskaper"
"heroes.name_fancy.elemental_ignazio_costume_medic","Flammekirurg"
"heroes.name_fancy.elemental_ironmaw","Krigsherre for de urokkelige orkene"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Legionens krigsherre"
"heroes.name_fancy.elemental_jequn","Den kosmiske gåten"
"heroes.name_fancy.elemental_jequn_costume_gilded","Den forgylte enigma"
"heroes.name_fancy.elemental_jolt","Elektrisk navigatør"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mytisk navigatør"
"heroes.name_fancy.elemental_lexi","Bruker av elementær energi"
"heroes.name_fancy.elemental_linus","Bekymringsløs forbryter"
"heroes.name_fancy.elemental_niki","Ljåmester av mørkehavet"
"heroes.name_fancy.elemental_niki_costume_music","Ljåmester av musikk"
"heroes.name_fancy.elemental_nova","Ildåndsamler"
"heroes.name_fancy.elemental_nylora","Kaldblodig snikmorder"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Juvelert leiemorder"
"heroes.name_fancy.elemental_quinn","Kosmisk kokk"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosmisk alkymist"
"heroes.name_fancy.elemental_roz","Naturlig skarpskytter"
"heroes.name_fancy.elemental_roz_costume_disco","Diskoskarpskytter"
"heroes.name_fancy.elemental_vander","Cyborg-kaptein"
"heroes.name_fancy.elemental_vander_costume_clown","Klovnekaptein"
"heroes.name_fancy.elemental_xandrella","Mester av elementskaping"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idol av elementskaping"
"heroes.name_fancy.elemental_xavier","Dobbelklinge-konstruktør"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Dobbeltbladet leddyr"
"heroes.name_fancy.elemental_zandria","Forsvarer av tid og rom"
"heroes.name_fancy.elemental_zandria_costume_planet","Forsvarer av galakser"
"heroes.name_fancy.elemental_zaria","Treøyet synsk"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Treøyd magiker"
"heroes.name_fancy.elemental_zengar","Universelt beist"
"heroes.name_fancy.elemental_zengar_costume_farmer","Kultiverende beist"
"heroes.name_fancy.elemental_zione","Mekanisk leveringsekspert"
"heroes.name_fancy.elemental_zuni","Alv på svevebrett"
"heroes.name_fancy.elemental_zuni_costume_mage","Hoverboard-magiker"
"heroes.name_fancy.elven_archer","Det edle hjertet"
"heroes.name_fancy.elven_archer_costume_cute","Den noble toon"
"heroes.name_fancy.elven_archer_costume_glass","Den noble vitrail"
"heroes.name_fancy.elven_archer_costume_moon","Den edle vokteren"
"heroes.name_fancy.elven_archer_costume_raven","Den edle ravnen"
"heroes.name_fancy.elven_captain","Alveveteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Alvisk ridder"
"heroes.name_fancy.elven_captain_costume_cute","Alvetoon"
"heroes.name_fancy.elven_captain_costume_glass","Alvevitrail"
"heroes.name_fancy.elven_captain_costume_mask","Alvehevner"
"heroes.name_fancy.exalted_female_statue","Steinens eldgammelhet"
"heroes.name_fancy.exalted_female_statue_costume_cute","Stein-Toon"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail av stein"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Solens eldgammelhet"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Tornenes gamle"
"heroes.name_fancy.exalted_warrior","Isens eldgammelhet"
"heroes.name_fancy.exalted_warrior_costume_cute","Toon av is"
"heroes.name_fancy.exalted_warrior_costume_glass","Isvitrail"
"heroes.name_fancy.exalted_warrior_costume_ice","Ismonolitt"
"heroes.name_fancy.exalted_warrior_costume_underworld","Underverdenens gamle"
"heroes.name_fancy.fables_boss_wolf","Guvernør fra Grimskog"
"heroes.name_fancy.fables_cinderella","Hushjelp fra Grimforest"
"heroes.name_fancy.fables_frog_prince","Arving til tronen"
"heroes.name_fancy.fables_gnomer","Grimskogvokter"
"heroes.name_fancy.fables_gretel","Hekseslakteren fra Grimskog"
"heroes.name_fancy.fables_hansel","Heksejegeren fra Grimskog"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Vampyrjegeren fra Grimskog"
"heroes.name_fancy.fables_pixie","Ånde fra Grimskog"
"heroes.name_fancy.fables_puss_in_boots","Katt fra Grimskog"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Maskert katt"
"heroes.name_fancy.fables_red_hood","Beskyter av Grimskog"
"heroes.name_fancy.fables_rumpelstiltskin","Hoffnarr fra Grimskog"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Evig lurendreier"
"heroes.name_fancy.fables_snow_white","Prinsesse fra Grimskog"
"heroes.name_fancy.fables_snow_white_costume_slayer","Slakthvit"
"heroes.name_fancy.faun_araminta","Fryktet faunkriger"
"heroes.name_fancy.faun_ascian","Allseende faun Augur"
"heroes.name_fancy.faun_bramble","Forsiktig faungartner"
"heroes.name_fancy.faun_gideon","Tapper faunkommandant"
"heroes.name_fancy.faun_isidore","Julefaunmester"
"heroes.name_fancy.faun_jolyon","Gjennomtenkt Faun-oppfinner"
"heroes.name_fancy.faun_maud","Ambisiøs Faun-alkymist"
"heroes.name_fancy.faun_myrtle","Faunurtekyndig"
"heroes.name_fancy.faun_peregrine","Uforsiktig faunspeider"
"heroes.name_fancy.faun_philomena","Hypnotiserende Faun-trubadur"
"heroes.name_fancy.faun_saskia","Lettbeint faundanser"
"heroes.name_fancy.faun_tamlin","Nifs faunfløytist"
"heroes.name_fancy.faun_verity","Mystisk faunkremmer"
"heroes.name_fancy.faun_yolanda","Optimistisk Faun-seer"
"heroes.name_fancy.faun_ysabel","Modig faungladiator"
"heroes.name_fancy.fire_god_andre","Den forrådte tempelridderen"
"heroes.name_fancy.fire_god_anzogh","Sjaman med nag"
"heroes.name_fancy.fire_god_ares","Krigens guddom"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Nøkkelkrigsmester"
"heroes.name_fancy.fire_god_doom","Blodfarget druide"
"heroes.name_fancy.fire_god_doom_costume_avenger","Brennende hevner"
"heroes.name_fancy.fire_god_eliane","Senior rød magiker"
"heroes.name_fancy.fire_god_jean_francois","Musketeer-trollmann"
"heroes.name_fancy.fire_god_maple","Fe fra Auburn-skogen"
"heroes.name_fancy.fire_god_nadnog","Den flammende helbrederen"
"heroes.name_fancy.fire_god_natalya","Ildfødt herskerinne"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Ildfødt syerske"
