"specials.name.a_cozy_break","Sıcak Bir Mola"
"specials.name.angry_boar_pve","Kızgın Domuz"
"specials.name.anthem_of_the_lake","Göl Marşı"
"specials.name.aphotic_maw","Işıksız Çene"
"specials.name.aphotic_whisper","Işıksız Fısıltı"
"specials.name.apothecary_kit","Eczane Seti"
"specials.name.aquatic_dance","Su Dansı"
"specials.name.aquatic_outbreak","Su Salgını"
"specials.name.arcane_blast","Esrarengiz patlama"
"specials.name.arcane_shock","Gizli Şok"
"specials.name.archaic_dread","Kadim Dehşet"
"specials.name.archaic_sacred_symbol","Kadim Kutsal Sembol"
"specials.name.arctic_breeze","Kutup Meltemi"
"specials.name.arctic_guard","Kutup Muhafızı"
"specials.name.arctic_veil","Kutup Örtüsü"
"specials.name.arctic_wound","Arktik Yara"
"specials.name.arrow_of_desire","Arzu Oku"
"specials.name.arrow_of_nujalik","Nujalik'in Oku"
"specials.name.arrows_and_claws","Oklar ve Pençeler"
"specials.name.arrows_of_altruism_liora","Fedakarlığın Okları"
"specials.name.arrows_of_frost","Buz Okları"
"specials.name.arrows_of_fury","Öfke Okları"
"specials.name.artful_backstab","Ustalıklı Arkadan Bıçaklama"
"specials.name.artful_recreation","Şaheseri Onarmak"
"specials.name.artisans_shot","Zanaatkarın Vuruşu"
"specials.name.ashes_to_ashes","Küller küllere"
"specials.name.assassins_blades","Suikastçının Bıçakları"
"specials.name.assassins_in_the_night","Gecedeki Suikastçılar"
"specials.name.assassins_in_the_night_pve","Gecedeki Suikastçılar"
"specials.name.asterius","Gaddar Boğa Koşusu"
"specials.name.astral_assistance","Astral Yardım"
"specials.name.astral_brew","Astral İçecek"
"specials.name.astral_dominion","Astral Hakimiyet"
"specials.name.astral_gemstones","Astral Mücevher Taşları"
"specials.name.astral_myrrh","Astral Mür"
"specials.name.astral_orb","Astral Küre"
"specials.name.astral_pastries","Astral Hamur İşleri"
"specials.name.astral_provocation","Astral Kışkırtma"
"specials.name.astral_summon","Astral Çağrı"
"specials.name.athenas_arrow","Athena'nın Oku"
"specials.name.athenas_bow","Athena'nın yayı"
"specials.name.atlantean_blade","Atlantis kılıcı"
"specials.name.atlantean_blade_costume","Atlantis Bıçağı"
"specials.name.atlantean_charge","Atlantis Hücumu"
"specials.name.atlantean_toon_spear","Çizgi Atlantis Mızrağı"
"specials.name.atlantean_toon_sword","Çizgi Atlantis Kılıcı"
"specials.name.attack_rally","Ortak saldırı"
"specials.name.aura_of_twilight","Alaca Karanlık Aurası"
"specials.name.aura_wave","Aura Dalgası"
"specials.name.autumnal_wind","Güz Rüzgarı"
"specials.name.avenger_of_mothkind","Mothkind'in İntikamcısı"
"specials.name.awaken_ki","Ki'yi Uyandır"
"specials.name.awe_bolt","Zehirli Ok"
"specials.name.axe_of_retribution","İntikam Baltası"
"specials.name.axe_throw","Balta atışı"
"specials.name.azurelight_greatsword","Gök Mavisi Işık Büyük Kılıcı"
"specials.name.backstab","Sırtından vurmak"
"specials.name.bad_fortune","Kötü Talih"
"specials.name.bag_of_necessities","Levazım Çantası"
"specials.name.bagh_nakh_thrust","Bagh Nakh Saldırısı"
"specials.name.bakers_baguettes","Fırıncının Baget Ekmekleri"
"specials.name.balanced_teamwork","Dengeli Takım Çalışması"
"specials.name.ballad_of_attraction","Çekim Baladı"
"specials.name.ballad_of_condemnation","Kınama Baladı"
"specials.name.ballad_of_obsession","Takıntı Baladı"
"specials.name.ballad_of_pain","Acı Baladı"
"specials.name.ballad_of_passion","Tutku Baladı"
"specials.name.ballad_of_purple_swan","Karanlık Kuğu Baladı"
"specials.name.ballad_of_restoration","Restorasyon Baladı"
"specials.name.ballad_of_the_purple_swan","Karanlık Kuğu Baladı"
"specials.name.bandalore_dance","İlkel Dans"
"specials.name.barb_sting_dragon_pve","Dikenli İğne"
"specials.name.barbed_arrows","Dikenli Oklar"
"specials.name.barbed_bolt_zidane","İğneli Yıldırım"
"specials.name.bark_of_protection","Koruma Havlaması"
"specials.name.basilisk_breath","Şahmeran Nefesi"
"specials.name.battering_ram","Koçbaşı"
"specials.name.battle_boast","Savaş Övüncü"
"specials.name.battleclaw_strike","Savaş Pençesi Darbesi"
"specials.name.beach_party","Plaj Partisi"
"specials.name.beautiful_petals","Güzel Taç Yapraklar"
"specials.name.bee_bombast","Arı Bombalaması"
"specials.name.bee_bravado","Arı Bravado"
"specials.name.beetle_strike","Böcek Vuruşu"
"specials.name.berserker_strike","Vahşi Vuruş"
"specials.name.bewildering_riddle","Hayret Verici Bilmece"
"specials.name.bewitched_daggers","Efsunlu Hançerler"
"specials.name.binding_contract","Bağlayıcı Sözleşme"
"specials.name.birch_blessing","Huş Kutsaması"
"specials.name.bite_of_protection","Koruma Isırığı"
"specials.name.bites_of_disorientation","Delüzyon Isırıkları"
"specials.name.bitter_berry_blast_dragon_pve","Acı Yemiş Patlaması"
"specials.name.bizarre_mist","Acayip Sis"
"specials.name.black_tassel_spear_sting","Kara Püsküllü Mızrak Sokması"
"specials.name.black_tide","Petrol sızıntısı"
"specials.name.blade_barrage","Bıçak Yaylımı"
"specials.name.blade_dance","Dans Pistindeki Kılıçlar"
"specials.name.blade_of_betrayal","İhanet Kılıcı"
"specials.name.blade_of_bundelkhand","Bundelkhand Bıçağı"
"specials.name.blade_of_horrid_affliction","Korkunç Izdırabın Bıçağı"
"specials.name.blade_tail_swipe","Kılıçla Kuyruk Kaydırma"
"specials.name.blade_venom","Zehir Bıçakları"
"specials.name.blade_wings","Kılıç Kanatlar"
"specials.name.blazing_beak","Yanan gaga"
"specials.name.blazing_corolla","Yalazlı Taç Yaprakları"
"specials.name.blazing_inferno","Yanan Cehennem"
"specials.name.blazing_rave_dance","Yanan Parti Dansı"
"specials.name.blazing_slam_dunk","Alevli Smaç"
"specials.name.blazing_venom","Yakıcı Zehir"
"specials.name.bleed_inducing_daggers","Kanamaya Neden Olan Hançerler"
"specials.name.bleeding_edge","Kanama Kenarı"
"specials.name.bleeding_hammer","Kanayan Çekiç"
"specials.name.bleeding_stab","Kanatan Saplama"
"specials.name.bleeding_thrust","Kanayan Basınç"
"specials.name.blessed_blade","Kutsanmış Bıçaklar"
"specials.name.blessed_blade_pve","Kutsanmış Bıçaklar"
"specials.name.blessed_brew","Kutsal İçecek"
"specials.name.blessed_solo","Kutsal Solo"
"specials.name.blessed_tankard","Kutsanmış Maşrapa"
"specials.name.blessing_from_the_future","Gelecekten Gelen Lütuf"
"specials.name.blessing_of_gjallarhorn","Gjallarhorn Kutsaması"
"specials.name.blessing_of_the_evergrove","Daimi Koru'nun Lütfu"
"specials.name.blessing_of_the_skies","Gökyüzünün Lütfu"
"specials.name.blind_rage","Kör Öfke"
"specials.name.blinding_attack","Kör Eden Saldırı"
"specials.name.blinding_curse","Kör Eden Lanet"
"specials.name.blinding_flash","Kör Eden Parlama"
"specials.name.blinding_flash_s4","Kör Eden Parlama"
"specials.name.blinding_injustice","Kör Edici Adalet"
"specials.name.blinding_knowledge","Kör Eden Bilgi"
"specials.name.blinding_light","Kör Eden Işık"
"specials.name.blinding_orb","Kör Eden Küre"
"specials.name.blinding_pounce","Kör Eden Pençe"
"specials.name.blinding_spell","Kör Eden Büyü"
"specials.name.blinding_spit","Kör Eden Tükürme"
"specials.name.blinding_stinger","Kör Eden İğne"
"specials.name.blinding_strike","Kör Eden Vuruş"
"specials.name.blinding_wisdom","Körleştiren Bilgelik"
"specials.name.blizzard","Kar Fırtınası"
"specials.name.blizzard_roar","Kar Fırtınası Uğultusu"
"specials.name.blob_of_fury","Öfke Damlası"
"specials.name.blood_illusion","Kan İllüzyonu"
"specials.name.blood_petals_of_the_withered","Kan Yaprakları"
"specials.name.blood_sacrifice","Kan Vuruşu"
"specials.name.bloodthirst","Kana Susamak"
"specials.name.blooming_growth","Çiçeklenen Büyüme"
"specials.name.bludgeoning","Sopalama"
"specials.name.blue_lizard_charge","Mavi Kamuflajlı Kertenkele Hücumu"
"specials.name.blue_shroom_wand","Mavi Mantar Asası"
"specials.name.blur_of_steel","Çelik Bulanıklığı"
"specials.name.blur_of_steel_pve","Çelik Bulanıklığı"
"specials.name.boar_call","Domuz Çağrısı"
"specials.name.boar_charge","Yaban Domuzu Hücumu"
"specials.name.boar_of_fury","Öfke Domuzu"
"specials.name.boat_ride_from_the_beyond","Öteden Gelen Feribot"
"specials.name.bobo_blitz","Bobo Baskını"
"specials.name.bolstering_rush","Destekleyici Hücum"
"specials.name.bond_of_avarice","Cimrilik Bağı"
"specials.name.bone_arrow","Kemikten Ok"
"specials.name.bone_club_clonk","Kemik Sopa Darbesi"
"specials.name.bone_club_party","Kemik Kulübü Partisi"
"specials.name.bone_ritual","Kemik Ritüeli"
"specials.name.bone_slam","Kemik Darbesi"
"specials.name.bone_toss","Uçan Kemikler"
"specials.name.booming_mend","Gelişen Onarım"
"specials.name.boon_of_gjallarhorn","Gjallarhorn Lütfu"
"specials.name.boopstrike","Bop Darbesi"
"specials.name.boreal_bash","Kuzey Darbesi"
"specials.name.boulder_smash","Kaya Darbesi"
"specials.name.bound_by_knowledge","Bilgisiz Olmaz"
"specials.name.bound_by_tales","Hikayesiz Olmaz"
"specials.name.bounty_of_the_spring","Bahar Bereketi"
"specials.name.bouquet_of_the_seas","Denizlerin Buketi"
"specials.name.brain_link","Beyin bağlantısı"
"specials.name.branded_by_fire","Ateş Damgalı"
"specials.name.break_free","Serbest Kal"
"specials.name.break_strike","Kırma Vuruşu"
"specials.name.breaker_blade","Kırıcı Bıçak"
"specials.name.breaker_blade_pve","Kırıcı Bıçak"
"specials.name.breath_of_darkness","Karanlık Nefesi"
"specials.name.breath_of_life","Yaşam Nefesi"
"specials.name.breath_of_the_abyss","Cehennem Nefesi"
"specials.name.brew_of_the_centaurs","Sentorların İçeceği"
"specials.name.brides_kiss","Gelinin Öpücüğü"
"specials.name.brilliant_brew","Harika İçecek"
"specials.name.brilliant_sweep_dragon_pve","Muhteşem Süpürme"
"specials.name.bringer_of_order","Düzen Getiren"
"specials.name.brittling_burst","Kırılgan Patlama"
"specials.name.brittling_force","Narin Güç"
"specials.name.brittling_strike","Kırılgan Vuruş"
"specials.name.bruiser_bros","Boksör Biraderler"
"specials.name.brutal_bull_rush","Gaddar Boğa Koşusu"
"specials.name.brutal_support","Gaddar Destek"
"specials.name.buccaneers_blade","Korsan Bıçağı"
"specials.name.bugs_shell","Böcek Kabuğu"
"specials.name.building_blocks_bulklug","Yapı Taşları"
"specials.name.bulwark_charge","Siper Hücumu"
"specials.name.burning_ashes","Yanan Küller"
"specials.name.burning_ashes2","Yanan Küller"
"specials.name.burning_chains","Yanan Zincirler"
"specials.name.burning_claws_dragon_pve","Yanan Pençeler"
"specials.name.burning_javelin","Yanan Javelin"
"specials.name.burning_pollen_dragon_pve","Alev Kanatlar"
"specials.name.burning_shields","Yanan Kalkanlar"
"specials.name.burning_spin","Yanan Döndürme"
"specials.name.burning_strike","Yakıcı Vuruş"
"specials.name.burning_thread","Yanan İplik"
"specials.name.burning_wok","Yanan Wok"
"specials.name.but_a_scratch","Çizik Bile Yok"
"specials.name.butterfly_swarm","Kelebek Sürüsü"
"specials.name.call_of_the_elements","Elementlerin Çağrısı"
"specials.name.call_to_arms","Orduya Çağrı"
"specials.name.calling_the_bluff","Blöfünü Görüyorum"
"specials.name.calm_jab_dragon_pve","Sakin Yumruk"
"specials.name.calming_mist","Yatıştırıcı Sis"
"specials.name.camouflage_foliage","Kamuflaj Yaprakları"
"specials.name.candy_vines","Şeker Asmaları"
"specials.name.cannibalizing_munch","Yamyamlaştıran Çiğneme"
"specials.name.cannon_blast","Top Patlaması"
"specials.name.cannonball_splash","Gülle Sıçraması"
"specials.name.capsicum_charge","Biber Hücumu"
"specials.name.captains_cutlass","Kaptanın Kılıcı"
"specials.name.captivating_illusions","Çekici İllüzyonlar"
"specials.name.carnivore_garden","Etobur Bahçe"
"specials.name.carve_a_hole","Oyuk Açma"
"specials.name.carve_the_bones","Kemikleri Oy"
"specials.name.cascading_darkness","Çöken Karanlık"
"specials.name.cascading_whirlwind","İnen Kasırga"
"specials.name.cataclysmic_divination","Felaket Kehaneti"
"specials.name.catnip_fury","Kedi Nanesi Öfkesi"
"specials.name.cauterizing_flame","Dağlayan Alev"
"specials.name.cauterizing_touch","Dağlayan Dokunuş"
"specials.name.cavalier_hat_of_dark_realm","Karanlık Diyar Süvari Şapkası"
"specials.name.celestial_anvil","Göksel Örs"
"specials.name.ceremonial_dance","Tören Dansı"
"specials.name.ceremonial_katar","Tören Katarı"
"specials.name.chain_blasm_strike","Zincirli Patlama Saldırısı"
"specials.name.chain_lightning","Zincir Yıldırım"
"specials.name.chain_of_pain","Acı Zinciri"
"specials.name.chain_strike","Zincir Vuruşu"
"specials.name.chains_of_legion","Lejyonun Zincirleri"
"specials.name.chains_of_light","Işık Zincirleri"
"specials.name.chakram_kick","Chakram Vuruşu"
"specials.name.challenge_the_strongest","En Güçlüye Meydan Oku"
"specials.name.champagne_hammer","Şampanya Tokmağı"
"specials.name.champion_maneuver","Şampiyon Manevrası"
"specials.name.championship_carrot","Şampiyona Havucu"
"specials.name.change_stance","Kumarbaz Kesiği"
"specials.name.channel_ki","Ki'yi Yönlendir"
"specials.name.channeler_of_the_cats","Kedileri Yönlendiren"
"specials.name.channeler_of_the_gods","Tanrıların Yönlendiricisi"
"specials.name.chaos_bolt_volley","Kaos Oku Yağmuru"
"specials.name.chaos_venom","Kaon Zehri"
"specials.name.charged_fireball_dragon_pve","Yüklü Ateş Topu"
"specials.name.charm_of_protection","Koruma Büyüsü"
"specials.name.charmed_dual_blade","Afsunlu Çift Bıçak"
"specials.name.charmers_blades","Büyücü Kılıçları"
"specials.name.cheerful_charm","Neşeli Afsun"
"specials.name.cheese_wheel_rampage","Peynir Tekerleği Saldırısı"
"specials.name.cherry_pudding_served","Kirazlı Puding Servis Edildi!"
"specials.name.chieftains_vengeance","Reisin İntikamı"
"specials.name.chilling_counterattack","Dondurucu Kontratak"
"specials.name.chilling_slash","Dondurucu Kesik"
"specials.name.chitin_cage","Kitin Kafesi"
"specials.name.chords_of_distortion","Tahrif Kabloları"
"specials.name.chords_of_havoc","Yıkım Telleri"
"specials.name.chords_of_inferno","Cehennemin Telleri"
"specials.name.claw_power","Goblin Öfkesi"
"specials.name.claw_swipe","Pençe Tokadı"
"specials.name.claws_of_fury","Öfke Pençeleri"
"specials.name.claws_of_the_hunter","Avcının Pençeleri"
"specials.name.claws_of_the_lioness","Dişi Aslanın Pençeleri"
"specials.name.claws_of_the_night","Gece Pençeleri"
"specials.name.claws_of_the_night_ultimate_boss","Gece Pençeleri"
"specials.name.cleansing_determination","Arındırıcı Kararlılık"
"specials.name.cleansing_determination_pve","Arındırıcı Kararlılık"
"specials.name.cleansing_strike","Temizleyici Vuruş"
"specials.name.cleave_and_reflect","Yar ve Yansıt"
"specials.name.cleave_counter","Böl ve karşı koy"
"specials.name.clever_stratagem","Kurnazca Manevra"
"specials.name.cloak_of_feathers","Tüyden Pelerin"
"specials.name.close_order_formation","Yakın Düzen Oluşumu"
"specials.name.cloth_of_constellations","Takımyıldız Kumaşı"
"specials.name.cloud_axe","Bulut Baltası"
"specials.name.cloud_hammer","Bulut Çekici"
"specials.name.clowns_blessing","Palyaçonun Lütfu"
"specials.name.coastal_recharge","Kıyı Yüklemesi"
"specials.name.coiling_whip","Dolaşan Kırbaç"
"specials.name.coins_of_pain","Izdırap Jetonları"
"specials.name.cold_blast","Kar Fırtınası"
"specials.name.cold_blast_single","Soğuk Patlama"
"specials.name.cold_command","Soğuk Komut"
"specials.name.cold_fire","Soğuk Ateş"
"specials.name.colossal_bite","Devasa Isırık"
"specials.name.colossal_carry","Devasa Taşıma"
"specials.name.colossal_chops","Devasa Yarıklar"
"specials.name.comet","Yakıcı Işın"
"specials.name.command_pack","Sürüyü Yönet"
"specials.name.command_sand_golems","Kum Golemlerini Yönet"
"specials.name.command_to_advance","İlerleme Emri"
"specials.name.command_to_advance_costume_fire_bat","İlerleme Komutu"
"specials.name.commanders_gauntlet","Komutanın Zırh Eldiveni"
"specials.name.commodores_malice","Amiralin Hasedi"
"specials.name.commodores_revenge","Amiralın İntikamı"
"specials.name.compact_lance","Etkili Zıpkın"
"specials.name.concussive_charge","Sarsıcı Hücum"
"specials.name.confident_strategy","Güvenli Strateji"
"specials.name.conjure_the_azure_spirit","Gök Mavisi Ruhunu Büyüyle Çağırma"
"specials.name.connect_ki","Ki'yi Birleştir"
"specials.name.connect_ki_pve","Ki'yi Birleştir"
"specials.name.conquerors_command","Fatihin Komutu"
"specials.name.constellation_crush","Takımyıldız Çarpışması"
"specials.name.corals_of_nourishment","Besin Mercanları"
"specials.name.core_beam","Ana Işın"
"specials.name.core_blast","Merkez Patlaması"
"specials.name.core_burst","Ana Patlama"
"specials.name.corroding_cutlass","Aşındıran Kılıç"
"specials.name.corrosive_acid","Yıpratıcı Asit"
"specials.name.corrosive_burn_claws_dragon_pve","Yıpratıcı Yakan Pençeler"
"specials.name.corrosive_claws_dragon_pve","Yıpratıcı Zehir Pençeleri"
"specials.name.corrosive_pollen","Yıpratıcı Polen"
"specials.name.corrupting_idol","Ayartan İdol"
"specials.name.cosmic_clock","Kozmik Saat"
"specials.name.cosmic_devotion","Kozmik Adanma"
"specials.name.countering_hammock","Karşı Koyan Hamak"
"specials.name.counterstance","Karşı Duruş"
"specials.name.couriers_dash","Kurye Darbesi"
"specials.name.cover_slam","Koruma Darbesi"
"specials.name.covert_stab","Amansız Bıçaklama"
"specials.name.cracked_skull_strike","Çatlamış Kurukafa Vuruşu"
"specials.name.crawling_vines","Sürünen Asmalar"
"specials.name.crazed_lunge","Çılgın Hamle"
"specials.name.crazed_stampede","Çılgın İzdiham"
"specials.name.creative_hands","Yaratıcı Eller"
"specials.name.creeping_venom","Ürpertici Zehir"
"specials.name.creeping_vines","Ürpertici Asmalar"
"specials.name.crescent_moon_strike","Hilal Saldırısı"
"specials.name.crescent_shield","Hilal Kalkanı"
"specials.name.crescent_spear","Hilal Mızrağı"
"specials.name.crimson_blade","Kızıl Kılıç"
"specials.name.crimson_calamity","Kızıl Musibet"
"specials.name.crimson_calamity2","Kızıl Musibet"
"specials.name.crimson_hunt","Kızıl Av"
"specials.name.crippling_claws","Sakatlayan Pençeler"
"specials.name.crippling_claws_pve","Sakatlayan Pençeler"
"specials.name.crippling_grapple","Sakatlayan Kıskaç"
"specials.name.critical_cookout","Kritik Piknik"
"specials.name.critical_tactics","Kritik Taktikler"
"specials.name.croc_bite","Timsah Isırığı"
"specials.name.crush_of_avarice","Cimrilik Darbesi"
"specials.name.crush_of_hel","Hel Darbesi"
"specials.name.crush_of_malice","Kötülük Çarpması"
"specials.name.crush_of_toon_hel","Çizgi Hel Darbesi"
"specials.name.crushing_claws","Ezici Pençeler"
"specials.name.crushing_shot","Ezici Atış"
"specials.name.crust_of_divinity","Kutsallık Kabuğu"
"specials.name.cry_for_absolution","Arınma Çığlığı"
"specials.name.crystal_barrage","Kristal Yağmuru"
"specials.name.crystal_bombardment","Kristal Bombardıman"
"specials.name.crystal_embrace","Kristal Kucaklaması"
"specials.name.crystalis","Donduran Kristal"
"specials.name.crystalline_strike","Kristal Vuruş"
"specials.name.cub_leader_cut","Yavru Lideri Kesimi"
"specials.name.cube_of_dark_realm","Karanlık Diyar Küpü"
"specials.name.cult_of_arachnid","Örümcek Tarikatı"
"specials.name.cunning_knife","Kurnaz Bıçak"
"specials.name.cup_of_mead","Şarap Kadehi"
"specials.name.curse_of_sargasso","Sargasso'nun Laneti"
"specials.name.curse_of_the_cephaloid","Kafadan Bacaklının Laneti"
"specials.name.curse_of_the_depths","Derinliklerin Laneti"
"specials.name.curse_of_the_sea","Denizin Laneti"
"specials.name.curse_of_the_specter","Hayaletin Laneti"
"specials.name.curse_of_the_specter_pve","Hayaletin Laneti"
"specials.name.cursed_fumes","Lanetli Dumanlar"
"specials.name.cursed_fumes2","Lanetli Dumanlar"
"specials.name.cursed_garden","Lanetli Bahçe"
"specials.name.cursed_painting","Lanetli Tablo"
"specials.name.cursed_plan","Lanetli Plan"
"specials.name.cursed_strike","Lanetli Vuruş"
"specials.name.cursed_tail_whip","Lanetli Kuyruk Kırbacı"
"specials.name.cut_cure_and_craze","Kes, İyileştir ve Çıldırt"
"specials.name.cut_down_the_competition","Rekabeti Kes Biç"
"specials.name.cute_and_dangerous","Sevimli ve Tehlikeli"
"specials.name.cuts_of_hulu","Hulu'nun Kesikleri"
"specials.name.dagger_of_shadows","Gölgelerin Hançeri"
"specials.name.dance_of_fire","Ateş Dansı"
"specials.name.dance_of_flame","Alev Dansı"
"specials.name.dance_of_glass","Cam Dansı"
"specials.name.dance_of_ignition","Tutuşma Dansı"
"specials.name.dance_of_siegfried","Siegfried'in Dansı"
"specials.name.dance_of_spirits","Ruhların Dansı"
"specials.name.dance_of_the_dunes","Kum Tepelerinin Dansı"
"specials.name.dance_of_the_heron","Heron'ın Dansı"
"specials.name.dance_of_the_little_swan","Küçük Kuğunun Dansı"
"specials.name.dance_of_the_queen","Kraliçenin Dansı"
"specials.name.dance_of_the_raven","Siyah Kuğunun Dansı"
"specials.name.dance_of_the_slimy","Balçığın Dansı"
"specials.name.dance_of_the_swan","Kuğunun Dansı"
"specials.name.dance_of_the_yellow_swan","Aydınlık Kuğunun Dansı"
"specials.name.dance_of_toons","Çizgi Dans"
"specials.name.dancestance","Dans Duruşu"
"specials.name.dancing_dodge","Dans Eden Hile"
"specials.name.dancing_slash","Dans Eden Kesik"
"specials.name.dantes_inferno","Dante'nin Cehennemi"
"specials.name.dark_barrage","Karanlık Yaylım Ateşi"
"specials.name.dark_bolt","Karanlık Oku"
"specials.name.dark_lord","Yok Edici Vuruş"
"specials.name.dark_mirror","Alev Aynası"
"specials.name.dark_orb","Karanlık Küre"
"specials.name.dark_shock","Karanlık Şok"
"specials.name.darts_of_the_deep","Derinliklerin Dartları"
"specials.name.dauntless_bladestorm","Gözü Pek Kılıç Fırtınası"
"specials.name.dawn_strike","Şafak Vuruşu"
"specials.name.dawnlight_rally","Şafak Işığı Toplanması"
"specials.name.day_of_judgement","Mahşer Günü"
"specials.name.day_of_reckoning","Hesap Günü"
"specials.name.dazzling_gleam","Parlak Işın"
"specials.name.dazzling_grin","Parlak Sırıtış"
"specials.name.dazzling_sweep_dragon_pve","Baş Döndürücü Süpürme"
"specials.name.deadly_claw","Ölümcül Pençe"
"specials.name.deadly_constriction","Ölümcül Geçit"
"specials.name.deadly_riposte","Ölümcül Karşılık"
"specials.name.deadly_sting","Ölümcül Sokma"
"specials.name.deafening_parade","Sağır Eden Geçit Töreni"
"specials.name.deathly_glaive","Ölümcül Kılıç"
"specials.name.deathstrike","Ölümcül Vuruş"
"specials.name.debt_drain_boboosang","Borç Kuyusu"
"specials.name.deceiving_glow","Aldatan Parlama"
"specials.name.deceptive_smalltalk","Aldatıcı Sohbet"
"specials.name.deep_sea_ritual","Açık Deniz Ritüeli"
"specials.name.defensive_tactics","Savunma Taktikleri"
"specials.name.delay_the_inevitable","Kaçınılmazı Ertele"
"specials.name.delicious_demise","Leziz Çöküş"
"specials.name.delicious_idol","Leziz İdol"
"specials.name.demolishing_crush","Yıkıcı Darbe"
"specials.name.demoralizing_banter","Moral Bozan Şaka"
"specials.name.depth_blast","Dip Patlaması"
"specials.name.deranged_existence","Dengesiz Varoluş"
"specials.name.desert_blessing","Çöl Kutsaması"
"specials.name.destructive_strike","Üçlü Mızrak Hamlesi"
"specials.name.deteriorating_morale","Moral Bozma"
"specials.name.devastating_slash","Yıkıcı Kesik"
"specials.name.devastating_thrust","Yıkıcı Basınç"
"specials.name.dewling_strike","Dewling Darbesi"
