"herocard.passive_skill.description.addmana.all.allies","Alle Verbündeten erhalten eine geringe Menge Mana."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Wenn dieser Charakter mit seiner Spezialfähigkeit einen kritischen Treffer erzielt, verstärkt er das Leben all seiner Verbündeten um {HEALTHBOOST} %. Dieser Effekt kann einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Trifft die Spezialfähigkeit dieses Charakters einen Gegner, der aktuell über mehr LP verfügt, erhält er {PASSIVESKILL1HEALTHBOOST} % Lebensverstärkung.
 Wird dieser Charakter von der Spezialfähigkeit eines Gegners getroffen, der aktuell über mehr LP verfügt, erhält er {PASSIVESKILL2POWER} % Mana.
Jeder dieser Effekte kann einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Wenn dieser Charakter Schaden durch Spezialfähigkeiten erleidet, erhält er {POWER} % Mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Wenn dieser Charakter direkten Schaden durch Spezialfähigkeiten oder normale Angriffe erhält, erhält er eine kleine Menge Mana. 
Maximal {MAXMANAGAINPERTURN} % Mana pro Zug erhalten."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Wenn dieser Charakter Schaden durch Spezialfähigkeiten oder anstelle eines Charakters in Deckung erhält, besteht eine {CHANCE} % Chance, allen Gegnern {POWER} % des erhaltenen Schadens zuzufügen."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Wenn dieser Charakter Schaden durch Spezialfähigkeiten erleidet, erhält er {STATUSEFFECT1ATTACK} % Angriffsstapel (max.: {STATUSEFFECT1MAXSTACK}). Es kann ein Stapel pro Runde erhalten werden."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Wenn dieser Charakter Schaden durch Spezialfähigkeiten erleidet, erhält er {STATUSEFFECT1ATTACK} % Angriffsstapel (max.: {STATUSEFFECT1MAXSTACK}). Es kann ein Stapel pro Runde erhalten werden."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Wenn ein Verbündeter versucht, sich mit Hilfe von Spezialfähigkeiten zu reinigen, erhalten alle Verbündeten {POWER} erhöhte Gesundheit. Dieser Effekt kann nur einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Wenn ein Gegner versucht, sich mit Hilfe von Spezialfähigkeiten zu reinigen, erleiden alle Gegner {POWER} Schaden. Dieser Effekt kann nur einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn ein Bonus von ihm entfernt wird. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Dieser Charakter erhält {POWER} % Leben, wenn eine negative Statusänderung abläuft oder gereinigt, entfernt oder verschoben wird. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Dieser Charakter hat eine Chance von {CHANCE} %, {POWER} % Leben zu erhalten, wenn eine negative Statusänderung abläuft oder gereinigt, entfernt oder verschoben wird. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Dieser Charakter erhält jedes Mal {POWER} verstärktes Leben, wenn ein Bonus von ihm entfernt wird. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Jeder Treffer der Lakaien, die der Charakter besitzt, verursacht {DAMAGE} Frostschaden im Verlauf von {TURNS} Zügen."
"herocard.passive_skill.description.effectonheal.addmana","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn seine Gesundheit wiederhergestellt wird."
"herocard.passive_skill.description.effectonheal.heal","Dieser Charakter erhält jedes Mal {POWER} % Leben, wenn seine Gesundheit wiederhergestellt wird."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Dieser Charakter erhält jedes Mal {POWER} % Leben, wenn seine Gesundheit wiederhergestellt wird."
"herocard.passive_skill.description.effectonownerdeath.damage.single.enemies.specialskill.targetattackerside","Wenn dieser Charakter durch eine Spezialfähigkeit besiegt wird, führt er folgende Aktionen aus:
Der Angreifer erleidet {DAMAGE} % Schaden.
Der Angreifer erleidet {STATUSEFFECT1DAMAGE} Blutungsschaden über {TURNS} Runden."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Dieser Charakter erhält {HEALTHBOOST} % verstärktes Leben und {MANA} % Mana bei einem erfolgreichen Widerstand."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn ein Gegner eine Spezialfähigkeit wirkt, die direkt das Leben verstärkt."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Dieser Charakter erhält jedes Mal  {POWER} verstärktes Leben, wenn ein Gegner eine Spezialfähigkeit wirkt, die direkt das Leben verstärkt."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % Chance, die folgenden Aktionen auszuführen, wenn dieser Charakter seine Spezialfähigkeit verwendet:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Wenn dieser Charakter mit seiner Spezialfähigkeit einen kritischen Treffer erzielt, befreit er garantiert alle Verbündeten von der neusten säuberbaren negativen Statusänderung."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Wenn dieser Charakter mit seiner Spezialfähigkeit einen kritischen Treffer erzielt, verstärkt er das Leben all seiner Verbündeten um {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Wenn dieser Charakter mit seiner Spezialfähigkeit einen kritischen Treffer erzielt, verstärkt er das Leben all seiner Verbündeten um {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.random.enemies.directeffect1_statuseffects.defensemodifier.always","Wenn ein Verbündeter seine Spezialfähigkeit wirkt, fügt dieser Charakter einem zufälligen Gegner {POWER} % Schaden zu und gibt ihm {DIRECTEFFECT1STATUSEFFECT1DEFENSE} % Verteidigung für {DIRECTEFFECT1STATUSEFFECT1TURNS} Runden."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Wenn ein Gegner seine Spezialfähigkeit wirkt, hat dieser Charakter eine Chance von {CHANCE} %, die Gesundheit dieses Charakters um {HEALTHBOOST} zu erhöhen."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, allen Verbündeten {POWER} % Mana zu gewähren. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, allen Verbündeten, die nicht zum Eiselement gehören, {POWER} % Mana zu gewähren. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Wenn dieser Charakter seine Spezialfähigkeit wirkt, entfernt er den neusten Statuseffektbonus von allen Gegnern."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Wenn dieser Charakter seine Spezialfähigkeit wirkt, befreit er alle Verbündeten vom neusten negativen Statusänderungen."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, {POWER} % Schaden an allen Gegnern zu verursachen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, an allen Gegnern, die nicht zum Schattenelement gehören, {POWER} % Schaden zu verursachen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, an allen Gegnern, die nicht zum Feuerelement gehören, {POWER} % Schaden zu verursachen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, bei allen Verbündeten {POWER} % Leben wiederherzustellen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, bei allen Verbündeten, die nicht zum Naturelement gehören, {POWER} % Leben wiederherzustellen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, bei allen Verbündeten, die nicht zum Feuerelement gehören, {POWER} % Leben wiederherzustellen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Wenn dieser Charakter seine Spezialfähigkeit wirkt, hat er eine Chance von {CHANCE} %, bei allen Verbündeten, die nicht zum Lichtelement gehören, {POWER} % Leben wiederherzustellen. Bei vollständig aufgeladener Spezialfähigkeit beträgt die Chance {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Wenn dieser Charakter seine Spezialfähigkeit wirkt, verstärkt er das Leben all seiner Verbündeten um {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Wenn ein Gegner mit durchschnittlicher oder schnellerer Mana-Geschwindigkeit eine Spezialfähigkeit wirkt, erleiden alle Gegner {DAMAGE} Schaden. Dieser Effekt kann nur einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Das Mana dieses Charakters wird jedes Mal um {POWER} % erhöht, wenn ein Gegner mit einem Verspotten-Statuseffekt belegt wird."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Dieser Charakter erhält  {POWER} % Mana, wenn ein Gegner einen Statuseffektbonus erhält, der die Verteidigung betrifft. Dieser Effekt kann nur einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Dieser Charakter erhält {POWER} % Mana, wenn er einen Bonus oder einen positiven Stapel erhält."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Dieser Charakter erhält {POWER} % Mana, wenn er eine negative Statusänderung oder einen negativen Stapel erhält."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Dieser Charakter stellt {POWER} % Leben wieder her, wenn er einen Bonus oder einen positiven Stapel erhält."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Der Charakter stellt {POWER} % Leben wieder her, wenn er eine negative Statusänderung oder einen negativen Stapel erleidet."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Der Charakter stellt {POWER} Leben wieder her, wenn er eine negative Statusänderung oder einen negativen Stapel erleidet."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Dieser Charakter hat eine Chance von {CHANCE} %, {POWER} % Mana zu erhalten, wenn er einen Bonus oder einen positiven Stapel erhält."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Dieser Charakter hat eine Chance von {CHANCE} %, {POWER} % Leben wiederherzustellen, wenn er einen Bonus oder einen positiven Stapel erhält."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Dieser Charakter hat eine Chance von {CHANCE} %, {POWER} % Leben wiederherzustellen, wenn er einen Bonus oder einen positiven Stapel erhält."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Alle {TURNS} Züge werden alle besiegten Verbündeten in der Nähe mit {POWER} % LP wiederbelebt."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Erhalte eine kleine Menge Mana für jeden aktiven Statuseffekt-Bonus, den das gegnerische Team zu Beginn eines jeden Zuges hat (maximal {MAXSTATUSEFFECTCOUNT} Stärkungen)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Verstärkt am Beginn jedes Zugs das Leben von diesem Charakter und nahen Verbündeten um {INCREMENTPERSTATUSEFFECT1} % für jeden Gegner, der von Gift betroffen ist. Das verstärkte Leben kann die max. LP übersteigen."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Wenn ein Verbündeter einen Lakaien beschwört, erhält dieser Charakter {POWER} % Mana. Dieser Effekt kann nur einmal pro Zug aktiviert werden."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Wenn ein Verbündeter einen Lakaien beschwört, erhält dieser Charakter {HEALTH} % Leben und {MANA} % Mana. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Wenn ein Gegner einen Feind beschwört, erhält dieser Charakter {POWER} % Mana. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Wenn ein Gegner einen Feind beschwört, fügt dieser Charakter allen Gegnern {DAMAGE} % Schaden zu. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Wenn ein Gegner einen Feind beschwört, erhält dieser Charakter {POWER} verstärktes Leben. Dieser Effekt kann nur einmal pro Runde aktiviert werden."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % Chance, zusätzliche Aktionen auszuführen, wenn dieser Charakter seine Spezialfähigkeit verwendet:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Alle Lakaien von Gegnern haben {MINIONMODIFIER} % Genauigkeit.
Alle Mega-Lakaien von Gegnern haben {MEGAMINIONMODIFIER} % Genauigkeit."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Der Konstruktkern dieses Charakters ist ein Lakaikern.

Der Lakaikern wird immer aktiviert, wenn die Spezialfähigkeit dieses Charakters gewirkt wird:

 Bei vollständig aufgeladenem Lakaikern wird ein Killer-Bot-Lakai mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff des Wirkers für alle Verbündeten beschworen.
 Die vom Wirker übernommenen LP und Angriff steigen mit der Aufladung im Kern. Wird der Kern aktiviert, wird die gesamte Aufladung verbraucht.
 Bevor der Killer-Bot-Lakai ein Ziel trifft, zerstört er alle Lakaien des Ziels und fügt Mega-Lakaien Schaden zu."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always.temp.with.wither","Der Konstruktkern dieses Charakters ist ein Lakaikern.

Der Lakaikern wird immer aktiviert, wenn die Spezialfähigkeit dieses Charakters gewirkt wird:

 Bei vollständig aufgeladenem Lakaikern wird ein Killer-Bot-Lakai mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff des Wirkers für alle Verbündeten beschworen.
 Die vom Wirker übernommenen LP und Angriff steigen mit der Aufladung im Kern. Wird der Kern aktiviert, wird die gesamte Aufladung verbraucht.
 Bevor der Killer-Bot-Lakai ein Ziel trifft, zerstört er alle Lakaien des Ziels und fügt Mega-Lakaien Schaden zu.
 Verwelken: Jeder Treffer von einem Killer-Bot-Minion gibt seinem Ziel {ATTACKMODIFIER} Angriff."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Feindliche Mega-Vasallen haben {HEALTHMODIFIER} % TP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Feindliche Vasallen haben {HEALTHMODIFIER} % TP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Gegnerische Mega-Lakaien können nicht angreifen oder Fähigkeiten einsetzen."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Gegnerische Lakaien können nicht angreifen oder Fähigkeiten einsetzen."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn ein Gegner Frostschaden erleidet."
"herocard.passive_skill.description.growth","Der Basisangriff und die Basisverteidigung dieses Helden werden für max. {MAXACTIVATIONCOUNT} Runden jede Runde um {STATINCREASE} erhöht."
"herocard.passive_skill.description.guaranteedeffectonspecial","Wenn dieser Charakter seine Spezialfähigkeit wirkt, wird garantiert eine seiner passiven Fähigkeiten aktiviert, die zusätzliche Effekte gewährt."
"herocard.passive_skill.description.heal.all.allies","Heilt alle Verbündeten um {HEALTH} %."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % Erhöhung für jede erhaltene Heilung."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Alle Gegner erhalten {HEALMULTIPLIER} % Heilung."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % Verringerung für jede erhaltene Heilung."
"herocard.passive_skill.description.healonheal.can_stack.heal","Dieser Charakter erhält jedes Mal {POWER} % Leben, wenn seine Gesundheit wiederhergestellt wird."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Dieser Charakter stellt {HEALTH} Leben wieder her, wenn ein Lakai in seinem Besitz zerstört wird."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Dieser Charakter stellt {HEALTH} Leben wieder her, wenn ein Lakai in seinem Besitz zerstört wird."
"herocard.passive_skill.description.healthboost.all.allies","Verstärkt das Leben aller Verbündeten um {HEALTHBOOST} %. Verstärktes Leben kann die max. LP übersteigen."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Zu Beginn jedes Kampfes wird der Angriff dieses Charakters um {ATTACK} % für jeden Gegner erhöht, der nicht zum Element Natur gehört. In Kämpfen mit mehreren Wellen wird dieser Effekt zu Beginn jeder Welle aktualisiert."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Der Angriff dieses Charakters wird um {ATTACK} % für jeden lebenden Gegner erhöht, der nicht zum Element Natur gehört. Der Effekt wird zu Beginn jeder Welle aktualisiert. (Derzeit: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Zu Beginn jedes Kampfes wird der Angriff dieses Charakters um {ATTACK} % für jeden Gegner erhöht, der nicht zum Element Feuer gehört. In Kämpfen mit mehreren Wellen wird dieser Effekt zu Beginn jeder Welle aktualisiert."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Der Angriff dieses Charakters wird um {ATTACK} % für jeden lebenden Gegner erhöht, der nicht zum Element Feuer gehört. Der Effekt wird zu Beginn jeder Welle aktualisiert. (Derzeit: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Fügt Lakaien {DAMAGEMULTIPLIER} % Schaden zu."
