"heroes.name_fancy.astral_cosmicspeaker","Астральный эльф-астроном"
"heroes.name_fancy.beowulf_nithgaest","Погибель Беовульфа"
"heroes.name_fancy.beowulf_unferth","Несущий Хрунтинг"
"heroes.name_fancy.beowulf_wealhtheow","Одаренная кольцом царственная особа"
"heroes.name_fancy.beowulf_weland","Искусный кузнец"
"heroes.name_fancy.beowulf_wiglaf","Сын Вихстана"
"heroes.name_fancy.blackguard_commander","Скорбный герцог"
"heroes.name_fancy.blackguard_commander_costume_cute","Печальный мультяшка"
"heroes.name_fancy.blackguard_commander_costume_feather","Скорбящий герцог"
"heroes.name_fancy.blackguard_commander_costume_glass","Скорбный витраж"
"heroes.name_fancy.blackguard_commander_costume_metal","Герцог рока"
"heroes.name_fancy.blackguard_female_archer","Начинающая лучница"
"heroes.name_fancy.blackguard_female_captain","Непоколебимый страж"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Решительная мультяшка"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Витраж решимости"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Решительный надзиратель"
"heroes.name_fancy.blackguard_knight","Благородный рыцарь"
"heroes.name_fancy.blackguard_knight_costume_cute","Мультяшный кавалер"
"heroes.name_fancy.blackguard_knight_costume_elegant","Элегантный дворянин"
"heroes.name_fancy.blackguard_knight_costume_glass","Стеклянный рыцарь"
"heroes.name_fancy.blackguard_knight_costume_healer","Благородный целитель"
"heroes.name_fancy.blackguard_scout","Морговийский беглец"
"heroes.name_fancy.blackguard_skulker","Смятенный убийца"
"heroes.name_fancy.blackguard_skulker_costume_cute","Шальной мультяшка"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Сумасшедший хирург"
"heroes.name_fancy.blackguard_skulker_costume_glass","Стеклянный убийца"
"heroes.name_fancy.castle_bear_armel","Полярный посланник"
"heroes.name_fancy.castle_bear_bearnadette","Портретистка"
"heroes.name_fancy.castle_bear_humbert","Защитник высокогорья"
"heroes.name_fancy.castle_bear_koda","Король сливового леса"
"heroes.name_fancy.castle_bear_teddy","Чистое сердце"
"heroes.name_fancy.castle_bear_torben","Лорд высокогорья"
"heroes.name_fancy.castle_bear_winnie","Медвежья оружейница"
"heroes.name_fancy.castle_bear_yona","Шутовка высокогорья"
"heroes.name_fancy.castle_raven_aderyn","Замковый врач"
"heroes.name_fancy.castle_raven_eloise","Волшебница замка"
"heroes.name_fancy.castle_raven_franz","Защитник замка"
"heroes.name_fancy.castle_raven_lewena","Лучница замка"
"heroes.name_fancy.castle_raven_quintin","Следопыт замка"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Морозный охотник воронов"
"heroes.name_fancy.castle_raven_rayne","Командир замка"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Капитан воронов"
"heroes.name_fancy.castle_raven_wren","Замковый разведчик"
"heroes.name_fancy.castle_stag_alvar","Следопыт"
"heroes.name_fancy.castle_stag_cecilia","Благословенная Полночью"
"heroes.name_fancy.castle_stag_daemon","Мститель увядших"
"heroes.name_fancy.castle_stag_fawn","Страстная дворянка"
"heroes.name_fancy.castle_stag_lysanor","Провидица Сапфирового сна"
"heroes.name_fancy.castle_stag_raleigh","Ученый Изумрудного леса"
"heroes.name_fancy.castle_stag_siofra","Хранительница клятв"
"heroes.name_fancy.castle_stag_xiamara","Стражница Изумрудного леса"
"heroes.name_fancy.castle_wolf_bertulf","Замковый повар"
"heroes.name_fancy.castle_wolf_esme","Замковый архимаг"
"heroes.name_fancy.castle_wolf_ferant","Замковый страж"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Хранитель волков"
"heroes.name_fancy.castle_wolf_ludwig","Защитник замка"
"heroes.name_fancy.castle_wolf_quenell","Чемпион замка"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Чемпион волков"
"heroes.name_fancy.castle_wolf_wolfgang","Командир замка"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Командир волков"
"heroes.name_fancy.champions_lazara","Чемпион бейсбола"
"heroes.name_fancy.champions_mistra","Чемпион метания диска"
"heroes.name_fancy.champions_nogu","Чемпион метания копья"
"heroes.name_fancy.champions_norman","Чемпион турниров"
"heroes.name_fancy.champions_ramona","Чемпион таранного туризма"
"heroes.name_fancy.champions_satori","Чемпион сумо"
"heroes.name_fancy.christmas_albin","Ценитель горячего шоколада"
"heroes.name_fancy.christmas_augustus","Старейшина гномов"
"heroes.name_fancy.christmas_buster","Ворчливый садовый гном"
"heroes.name_fancy.christmas_carol","Маленький помощник Санты"
"heroes.name_fancy.christmas_cookie","Гном-ученый"
"heroes.name_fancy.christmas_dizzy","Гном-артист"
"heroes.name_fancy.christmas_elf","Маленький помощник Санты"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Бухгалтер Санты"
"heroes.name_fancy.christmas_florencia","Снежная стражница"
"heroes.name_fancy.christmas_frosty","Северный страж"
"heroes.name_fancy.christmas_ginger","Гномка-исследовательница"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Гном-хозяйка подарков"
"heroes.name_fancy.christmas_holly","Гном-шеф-повар"
"heroes.name_fancy.christmas_jolly","Гном-лесоруб"
"heroes.name_fancy.christmas_krampus","Праздничный упырь"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Праздничный шутник"
"heroes.name_fancy.christmas_mr_pengi","Капитан охранников Санты"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Капитан команды сноубордистов"
"heroes.name_fancy.christmas_mrs_claus","Владычица Севера"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Любительница забавных свитеров"
"heroes.name_fancy.christmas_noel","Радостный ребенок на санях"
"heroes.name_fancy.christmas_ottilia","Гном-декоратор"
"heroes.name_fancy.christmas_peppermint","Гном-алхимик"
"heroes.name_fancy.christmas_reindeer","Верный конь Санты"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Благородный скакун Санты"
"heroes.name_fancy.christmas_santa","Приносящий подарки"
"heroes.name_fancy.christmas_santa_costume_metal","Санта-металлист"
"heroes.name_fancy.christmas_tinsel","Гном-умелец"
"heroes.name_fancy.christmas_zappa","Гном-маг"
"heroes.name_fancy.circus_bobo","Йети с нежным сердцем"
"heroes.name_fancy.circus_candy","Веселушка-хохотушка"
"heroes.name_fancy.circus_dandre","Жонглер с железными руками"
"heroes.name_fancy.circus_director_zuri","Хозяин цирка"
"heroes.name_fancy.circus_director_zuri_costume_clown","Глава клоунов"
"heroes.name_fancy.circus_eichbelborg","Силач-хвастун"
"heroes.name_fancy.circus_eiora_and_fluffy","Динамичный дуэт"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Темный дуэт"
"heroes.name_fancy.circus_emilio","Великий укротитель фениксов"
"heroes.name_fancy.circus_emilio_costume_frog","Великий укротитель лягушек"
"heroes.name_fancy.circus_faline","Артистичная акробатка"
"heroes.name_fancy.circus_marcel","Лукавый мим"
"heroes.name_fancy.circus_theobald","Чудо-медведь – метатель клинков"
"heroes.name_fancy.circus_whacker","Вздорный гигант"
"heroes.name_fancy.construct_arzen","Образ порочного надсмотрщика"
"heroes.name_fancy.construct_blue_mage","Образ звезднорожденного мага"
"heroes.name_fancy.construct_bonechill","Морозный образ"
"heroes.name_fancy.construct_brimstone","Адский образ"
"heroes.name_fancy.construct_carta","Образ картографа"
"heroes.name_fancy.construct_dancrag","Образ древнего колосса"
"heroes.name_fancy.construct_ferrus","Образ пирата"
"heroes.name_fancy.construct_frond","Эльфийский образ"
"heroes.name_fancy.construct_glacivolt","Образ ледяного надсмотрщика"
"heroes.name_fancy.construct_gwynn","Образ текучей энергии"
"heroes.name_fancy.construct_halwinter","Образ в тяжелой броне"
"heroes.name_fancy.construct_haulstone","Образ победителя"
"heroes.name_fancy.construct_hornfel","Образ минотавра"
"heroes.name_fancy.construct_hotspin","Образ пламенного циклона"
"heroes.name_fancy.construct_ironheart","Образ священного стража"
"heroes.name_fancy.construct_ironvein","Образ священного оруженосца"
"heroes.name_fancy.construct_japanese_doll","Образ фарфоровой куколки"
"heroes.name_fancy.construct_nautica","Образ навигатора"
"heroes.name_fancy.construct_nocturne","Образ пустотного реактора"
"heroes.name_fancy.construct_rhineglow","Образ суперконденсатора"
"heroes.name_fancy.construct_rustbeak","Совиный образ"
"heroes.name_fancy.construct_scoria","Вечно пылающий образ"
"heroes.name_fancy.construct_shaal","Образ церковника"
"heroes.name_fancy.construct_shacklebolt","Образ заключенного"
"heroes.name_fancy.construct_sizzleomatic","Образ веселого повара"
"heroes.name_fancy.construct_skarn","Образ гибельного мороза"
"heroes.name_fancy.construct_sylosis","Образ мастера боевых искусств"
"heroes.name_fancy.construct_tenebrae","Образ темной принцессы"
"heroes.name_fancy.construct_zavok","Образ мага хаоса"
"heroes.name_fancy.cultist_female_poisoner","Мятежный разбойник"
"heroes.name_fancy.cultist_inventor","Безумный ученый"
"heroes.name_fancy.cultist_inventor_costume_cute","Мультяшка-ученый"
"heroes.name_fancy.cultist_inventor_costume_glass","Стеклянный ученый"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Любовный доктор"
"heroes.name_fancy.cultist_inventor_costume_steam","Одаренный изобретатель"
"heroes.name_fancy.cultist_mage","Страшный маг"
"heroes.name_fancy.cultist_mage_costume_cute","Мультяшный маг"
"heroes.name_fancy.cultist_mage_costume_glass","Маг стекла"
"heroes.name_fancy.cultist_mage_costume_voodoo","Волшебник-зомби"
"heroes.name_fancy.cultist_sorceress","Палач из Децентхии"
"heroes.name_fancy.cultist_sorceress_costume_cute","Мультяшная убийца"
"heroes.name_fancy.cultist_sorceress_costume_glass","Витраж из Децентхии"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Монстр из Децентхии"
"heroes.name_fancy.cultist_sorceress_costume_snake","Змея из Децентхии"
"heroes.name_fancy.cultist_thief","Вор с большими планами"
"heroes.name_fancy.dark_god_aeron","Непоколебимый судья"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Судья в парике"
"heroes.name_fancy.dark_god_akilius","Коварный разбойник"
"heroes.name_fancy.dark_god_anoushka","Провидица-отшельница"
"heroes.name_fancy.dark_god_arfanias","Темный убийца"
"heroes.name_fancy.dark_god_chakkoszrot","Верховный жрец ящеролюдов"
"heroes.name_fancy.dark_god_clarissa","Дерзкая контактерша"
"heroes.name_fancy.dark_god_eldwren","Отец стаи"
"heroes.name_fancy.dark_god_grimble","Гном верхом на козе"
"heroes.name_fancy.dark_god_hel","Бог тьмы"
"heroes.name_fancy.dark_god_hel_costume_cute","Мультяшка-богиня тьмы"
"heroes.name_fancy.dark_god_hel_costume_omen","Предзнаменование Тьмы"
"heroes.name_fancy.dark_god_kunchen","Мистический бродяга"
"heroes.name_fancy.dark_god_malicna","Чернокнижница"
"heroes.name_fancy.dark_god_morax","Проклятие Бездны"
"heroes.name_fancy.dark_god_september","Призрак-убийца"
"heroes.name_fancy.dark_god_september_costume_engineer","Инженер чудес"
"heroes.name_fancy.dark_god_seshat","Воскресшая Охотница"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Бессмертная лучница"
"heroes.name_fancy.dark_god_sir_casmir","Страж-бродяжник"
"heroes.name_fancy.dark_god_turgruk","Свирепый следопыт"
"heroes.name_fancy.dark_god_uthragan","Ядовитая скверна"
"heroes.name_fancy.dark_god_viscaro","Падший друид"
"heroes.name_fancy.dark_god_zed","Имперский копейщик"
"heroes.name_fancy.dark_god_zulag","Храбрец"
"heroes.name_fancy.dwarven_guard","Крепкий защитник"
"heroes.name_fancy.dwarven_guard_costume_cute","Мультяшка-защитник"
"heroes.name_fancy.dwarven_guard_costume_glass","Стеклянный защитник"
"heroes.name_fancy.dwarven_guard_costume_ram","Тяжело вооруженный защитник"
"heroes.name_fancy.dwarven_guard_costume_tavern","Вышибала в таверне"
"heroes.name_fancy.dwarven_scout","Опытный боец"
"heroes.name_fancy.dwarven_smasher","Вспыльчивый"
"heroes.name_fancy.dwarven_smasher_costume_cute","Вспыльчивый мультяшка"
"heroes.name_fancy.dwarven_smasher_costume_glass","Вспыльчивый витраж"
"heroes.name_fancy.dwarven_smasher_costume_smith","Горящий"
"heroes.name_fancy.dwarwen_brewmaster","Мастер-пивовар"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Мультяшный пивовар"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Витраж варщика"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Умелый гитарист-шреддер"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Искусный резчик по дереву"
"heroes.name_fancy.easter_archie","Путешествующий лама-трубадур"
"heroes.name_fancy.easter_archie_costume_gallant","Галантная лама-трубадур"
"heroes.name_fancy.easter_chick_jr","Кавалер Спрингвейла"
"heroes.name_fancy.easter_jasper","Бык-флорист"
"heroes.name_fancy.easter_jasper_costume_fisherman","Бык-рыбак"
"heroes.name_fancy.easter_killhare","Дикая защитница Спрингвейла"
"heroes.name_fancy.easter_killhare_costume_farmer","Непобедимая огородница"
"heroes.name_fancy.easter_lady_woolerton","Мастерица из Спрингвейла"
"heroes.name_fancy.easter_miss_ethel","Защитница Спрингвейла"
"heroes.name_fancy.easter_sadie","Озорная кряква"
"heroes.name_fancy.easter_sir_roostley","Могучий рыцарь Спрингвейла"
"heroes.name_fancy.easter_timothy","Отважный поросенок"
"heroes.name_fancy.easter_viscount_cluckwood","Оккультист Спрингвейла"
"heroes.name_fancy.elemental_aconia","Киберпреступник"
"heroes.name_fancy.elemental_aconia_costume_courier","Киберкурьер"
"heroes.name_fancy.elemental_alfie","Стихийный шут"
"heroes.name_fancy.elemental_anzia","Спасительница галактики"
"heroes.name_fancy.elemental_anzia_costume_jailer","Галактическая надсмотрщица"
"heroes.name_fancy.elemental_ash","Яростная леди удачи"
"heroes.name_fancy.elemental_ash_costume_savage","Дикий охотник за головами"
"heroes.name_fancy.elemental_craum","Шаман стихий"
"heroes.name_fancy.elemental_craum_costume_occultist","Стихийный оккультист"
"heroes.name_fancy.elemental_desmond","Алхимик мечей"
"heroes.name_fancy.elemental_desmond_costume_assassin","Убийца с клинком"
"heroes.name_fancy.elemental_doxan","Плазма-клинок в изгнании"
"heroes.name_fancy.elemental_doxan_costume_hacker","Плазма-хакер в изгнании"
"heroes.name_fancy.elemental_farrah","Мастер сверхзвукового меча"
"heroes.name_fancy.elemental_farrah_costume_cyber","Мастер кибер-лезвий"
"heroes.name_fancy.elemental_gastille","Многомерный ящер"
"heroes.name_fancy.elemental_gastille_costume_sporty","Лихая угроза"
"heroes.name_fancy.elemental_griffex","Модификатор реальности"
"heroes.name_fancy.elemental_griffex_costume_camera","Модификатор Обскуры"
"heroes.name_fancy.elemental_grilka","Гостеприимный интендант"
"heroes.name_fancy.elemental_grilka_costume_treasure","Драгоценный интендант"
"heroes.name_fancy.elemental_ignazio","Проводник пламени"
"heroes.name_fancy.elemental_ignazio_costume_medic","Пламенный хирург"
"heroes.name_fancy.elemental_ironmaw","Воевода непоколебимых орков"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Воевода легиона"
"heroes.name_fancy.elemental_jequn","Космическая загадка"
"heroes.name_fancy.elemental_jequn_costume_gilded","Золоченая загадка"
"heroes.name_fancy.elemental_jolt","Электроштурман"
"heroes.name_fancy.elemental_jolt_costume_mythic","Мифический навигатор"
"heroes.name_fancy.elemental_lexi","Мастерица стихийной энергии"
"heroes.name_fancy.elemental_linus","Беззаботный преступник"
"heroes.name_fancy.elemental_niki","Мастерица серпа из Темного моря"
"heroes.name_fancy.elemental_niki_costume_music","Мастерица серпа из Музыки"
"heroes.name_fancy.elemental_nova","Собирательница огненных духов"
"heroes.name_fancy.elemental_nylora","Хладнокровная убийца"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Самоцветный убийца"
"heroes.name_fancy.elemental_quinn","Космический повар"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Космический алхимик"
"heroes.name_fancy.elemental_roz","Стихийный снайпер"
"heroes.name_fancy.elemental_roz_costume_disco","Диско-стрелок"
"heroes.name_fancy.elemental_vander","Капитан-киборг"
"heroes.name_fancy.elemental_vander_costume_clown","Капитан-клоун"
"heroes.name_fancy.elemental_xandrella","Мастер стихийных творений"
"heroes.name_fancy.elemental_xandrella_costume_idol","Идол стихийных творений"
"heroes.name_fancy.elemental_xavier","Эксперт двойных клинков"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Членистоногое с двумя клинками"
"heroes.name_fancy.elemental_zandria","Защитница пространства-времени"
"heroes.name_fancy.elemental_zandria_costume_planet","Защитница галактик"
"heroes.name_fancy.elemental_zaria","Трехглазая медиум"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Трехглазый чародей"
"heroes.name_fancy.elemental_zengar","Вселенское чудовище"
"heroes.name_fancy.elemental_zengar_costume_farmer","Взращивающее чудище"
"heroes.name_fancy.elemental_zione","Специалист по мехадоставке"
"heroes.name_fancy.elemental_zuni","Эльфийка на ховерборде"
"heroes.name_fancy.elemental_zuni_costume_mage","Маг на ховерборде"
"heroes.name_fancy.elven_archer","Благородное сердце"
"heroes.name_fancy.elven_archer_costume_cute","Мультяшка благородных кровей"
"heroes.name_fancy.elven_archer_costume_glass","Витраж благородства"
"heroes.name_fancy.elven_archer_costume_moon","Благородный хранитель"
"heroes.name_fancy.elven_archer_costume_raven","Благородный ворон"
"heroes.name_fancy.elven_captain","Ветеран эльфов"
"heroes.name_fancy.elven_captain_costume_cavalier","Эльфийский кавалер"
"heroes.name_fancy.elven_captain_costume_cute","Эльф-мультяшка"
"heroes.name_fancy.elven_captain_costume_glass","Эльфийский витраж"
"heroes.name_fancy.elven_captain_costume_mask","Эльфийский мститель"
"heroes.name_fancy.exalted_female_statue","Каменная богиня"
"heroes.name_fancy.exalted_female_statue_costume_cute","Каменная мультяшка"
"heroes.name_fancy.exalted_female_statue_costume_glass","Витраж камня"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Древнее божество солнца"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Богиня шипов"
"heroes.name_fancy.exalted_warrior","Ледяной гигант"
"heroes.name_fancy.exalted_warrior_costume_cute","Ледяной мультяшка"
"heroes.name_fancy.exalted_warrior_costume_glass","Витраж льда"
"heroes.name_fancy.exalted_warrior_costume_ice","Монолитная глыба льда"
"heroes.name_fancy.exalted_warrior_costume_underworld","Древний подземного мира"
"heroes.name_fancy.fables_boss_wolf","Правитель Дремучего леса"
"heroes.name_fancy.fables_cinderella","Горничная Дремучего леса"
"heroes.name_fancy.fables_frog_prince","Наследник трона"
"heroes.name_fancy.fables_gnomer","Страж Дремучего леса"
"heroes.name_fancy.fables_gretel","Истребительница ведьм Дремучего леса"
"heroes.name_fancy.fables_hansel","Охотник на ведьм Дремучего леса"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Охотник на вампиров Дремучего леса"
"heroes.name_fancy.fables_pixie","Фея Дремучего леса"
"heroes.name_fancy.fables_puss_in_boots","Кот Дремучего леса"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Кот-разбойник в маске"
"heroes.name_fancy.fables_red_hood","Защитница Дремучего леса"
"heroes.name_fancy.fables_rumpelstiltskin","Шут Дремучего леса"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Вечный трикстер"
"heroes.name_fancy.fables_snow_white","Принцесса Дремучего леса"
"heroes.name_fancy.fables_snow_white_costume_slayer","Смертоносная красавица"
"heroes.name_fancy.faun_araminta","Грозный воин-фавн"
"heroes.name_fancy.faun_ascian","Всевидящий фавн-визионер"
"heroes.name_fancy.faun_bramble","Скромный фавн-садовник"
"heroes.name_fancy.faun_gideon","Смелый фавн-командир"
"heroes.name_fancy.faun_isidore","Честолюбивый фавн-чемпион"
"heroes.name_fancy.faun_jolyon","Глубокомысленный фавн-изобретатель"
"heroes.name_fancy.faun_maud","Амбициозная фавница-алхимик"
"heroes.name_fancy.faun_myrtle","Торопливый фавн-травник"
"heroes.name_fancy.faun_peregrine","Бесстрашный фавн-разведчик"
"heroes.name_fancy.faun_philomena","Завораживающая фавница-министрель"
"heroes.name_fancy.faun_saskia","Легконогая фавница-танцовщица"
"heroes.name_fancy.faun_tamlin","Нездешний фавн-флейтист"
"heroes.name_fancy.faun_verity","Таинственная фавница-торговка"
"heroes.name_fancy.faun_yolanda","Фавница-ведунья крови"
"heroes.name_fancy.faun_ysabel","Бесстрашный фавн-гладиатор"
"heroes.name_fancy.fire_god_andre","Преданный рыцарь ордена"
"heroes.name_fancy.fire_god_anzogh","Обидевшийся шаман"
"heroes.name_fancy.fire_god_ares","Божество войны"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Управитель войны"
"heroes.name_fancy.fire_god_doom","Окровавленный друид"
"heroes.name_fancy.fire_god_doom_costume_avenger","Пылающий мститель"
"heroes.name_fancy.fire_god_eliane","Старший красный маг"
"heroes.name_fancy.fire_god_jean_francois","Маг-мушкетер"
"heroes.name_fancy.fire_god_maple","Фея каштановых лесов"
"heroes.name_fancy.fire_god_nadnog","Огненная целительница"
"heroes.name_fancy.fire_god_natalya","Огненная чародейка"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Огненнорожденная рукодельница"
"heroes.name_fancy.fire_god_neema","Маг огня"
"heroes.name_fancy.fire_god_noor","Заклинатель воробьев"
"heroes.name_fancy.fire_god_reuben","Преданный оккультист"
