"herocard.passive_skill.description.addmana.all.allies","所有盟友获得少量法力。"
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","当此角色在一场战斗期间首次以低血量开始回合时，该角色将恢复{HEALTH}%生命并获得{MANA}%法力。"
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}%暴击几率。"
"herocard.passive_skill.description.damage.all.enemies","对所有敌人造成{DAMAGE}%的伤害。"
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","每{TURNS}回合对所有敌方小兵和超级小兵造成{DAMAGEPERTURN}点伤害。"
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","每回合开始时对所有敌方小兵和超级小兵造成{DAMAGEPERTURN}点伤害。"
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","此英雄的队伍对较弱元素可造成额外的元素伤害。

所造成的额外元素伤害：+{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","状态异常造成的伤害减少{DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","状态异常对此角色造成的伤害减少{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.destructivecorechargeeffectonspecial.damage.all.enemies.always","此角色的机械核心为毁灭核心。

每当此角色施放特殊技能时，都会启动毁灭核心：

若毁灭核心已完全充满，则对所有敌人造成{CHARGEDPOWER1}%的伤害。
未充满时，核心里的充能越高，所造成的伤害也会按比例增加。核心启动时会耗尽所有充能。"
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","每次摧毁此角色的一名小兵，都将清除其身上的状态异常。"
"herocard.passive_skill.description.dodgespecialdamage","此角色有{CHANCE}%几率闪避可造成伤害的特殊技能。"
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","此角色施放特殊技能时摧毁所有恶魔。"
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","每{TURNS}回合，吞噬一名随机敌人的所有小兵，每吞噬一个小兵，都会获得少量法力。"
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","当该角色受到特殊技能伤害时，会获得{POWER}%的法力。"
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","当此角色受到特殊技能或普通攻击的直接伤害时，会获得少量法力。
每回合最多获得{MAXMANAGAINPERTURN}%法力。"
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","此角色受到特殊技能伤害或为他人掩护而受到伤害时，有{CHANCE}%几率对所有敌人造成伤害，伤害值相当于所受伤害的{POWER}%。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","此角色受到来自特殊技能的伤害时，会获得{STATUSEFFECT1ATTACK}%攻击叠加（最大：{STATUSEFFECT1MAXSTACK}）。每回合可叠加一层。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","此角色受到来自特殊技能的伤害时，会获得{STATUSEFFECT1ATTACK}%攻击叠加（最大：{STATUSEFFECT1MAXSTACK}）。每回合可叠加一层。"
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","当一名盟友尝试使用特殊技能进行净化时，所有盟友都会获得{POWER}点生命值加成。该效果每个回合只能激活一次。"
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","当一名敌人尝试使用特殊技能进行净化时，所有敌人都会受到{POWER}点伤害。该效果每个回合只能激活一次。"
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","每驱散此角色身上的一个增益效果，此角色都会获得{POWER}%的法力值。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","每当此角色身上的一个状态异常失效，又或是被净化、移除或转移时，此角色都会获得{POWER}%的生命。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","每当此角色身上的一个状态异常失效，又或是被净化、移除或转移时，此角色都有{CHANCE}%几率获得{POWER}%的生命。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","每驱散此角色身上的一个增益效果，此角色都会获得{POWER}点生命加成。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectonheal.addmana","此角色每次恢复生命时，都会获得{POWER}%法力。"
"herocard.passive_skill.description.effectonheal.heal","此角色每次恢复生命时，都会获得{POWER}%生命。"
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","此角色每次恢复生命时，都会获得{POWER}%生命。"
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","此角色在成功抵抗后获得{HEALTHBOOST}%生命加成和{MANA}%法力。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","每当一名敌人施放直接提高生命值的特殊技能时，此角色都会获得{POWER}%法力。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","每当一名敌人施放直接提高生命值的特殊技能时，此角色都会获得{POWER}点生命加成。"
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","此角色在施放特殊技能时，有{CHANCE}%几率执行以下操作："
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","当该角色使用特殊技能造成暴击时，安全精华从所有敌人处获得的可精华状态异常。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.only_criticals.once","当此角色使用特殊技能造成暴击时，安全精华从所有敌人处获得的可精华状态异常。此效果每回合可激活一次。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","当此角色使用特殊技能造成暴击时，所有盟友获得{HEALTHBOOST}%生命加成。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals.once","当此角色使用特殊技能造成暴击时，所有盟友获得{HEALTHBOOST}%生命加成。此效果每回合可激活一次。"
"herocard.passive_skill.description.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","当此角色的特殊技能命中比其当前生命值更高的角色时，获得{PASSIVESKILL1HEALTHBOOST}%生命值加成。
当此角色被当前生命值更高的角色的特殊技能命中时，获得{PASSIVESKILL2MANA}%法力。
每种效果每回合可激活一次。"
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","当此角色使用特殊技能造成暴击时，所有盟友获得{HEALTHBOOST}%生命加成。"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","每当有一名敌人施放特殊技能时，此角色有{CHANCE}%几率将自身的生命值提高{HEALTHBOOST}点。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","此角色在施放特殊技能时，有{CHANCE}%的几率给予所有盟友{POWER}%的法力值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","此角色在施放特殊技能时，有{CHANCE}%的几率给予所有不属于冰雪元素的盟友{POWER}%的法力值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","此角色施放特殊技能时，会驱散所有敌人最后获得的增益状态效果。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","此角色施放特殊技能时，会净化所有盟友最后获得的状态异常。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","此角色在施放特殊技能时，有{CHANCE}%的几率对所有敌人造成{POWER}%的伤害。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","此角色在施放特殊技能时，有{CHANCE}%的几率对所有不属于暗黑元素的敌人造成{POWER}%的伤害。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","此角色在施放特殊技能时，有{CHANCE}%的几率对所有不属于烈火元素的敌人造成{POWER}%的伤害。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","此角色在施放特殊技能时，有{CHANCE}%的几率为所有盟友恢复{POWER}%的生命值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","此角色在施放特殊技能时，有{CHANCE}%的几率为所有不属于自然元素的盟友恢复{POWER}%的生命值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","此角色在施放特殊技能时，有{CHANCE}%的几率为所有不属于烈火元素的盟友恢复{POWER}%的生命值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","此角色在施放特殊技能时，有{CHANCE}%的几率为所有不属于神圣元素的盟友恢复{POWER}%的生命值。若该特殊技能已完全充满，则几率为{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","此角色施放特殊技能时，会使所有盟友的生命提高{POWER}%。"
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","若敌人的法力速度为中等或更快，当该敌人施放特殊技能时，所有敌人将受到{DAMAGE}点伤害。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","每当一名敌人获得嘲讽状态效果时，此角色的法力将增加{POWER}%。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","当敌人获得影响防御的状态效果增益时，此角色将获得{POWER}%的法力。此效果每回合只能激活一次。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","此角色在获得增益或正面效果叠加时会获得{POWER}%的法力。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","此角色在获得状态异常或负面效果叠加时会获得{POWER}%的法力。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","此角色在获得增益或正面效果叠加时会恢复{POWER}%的生命值。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","此角色在获得状态异常或负面效果叠加时会恢复{POWER}%的生命值。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","此角色在获得状态异常或负面效果叠加时会恢复{POWER}点生命值。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","此角色获得增益或正面效果叠加时，有{CHANCE}%几率获得{POWER}%的法力。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","此角色获得增益或正面效果叠加时，有{CHANCE}%几率恢复{POWER}%的生命值。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","此角色获得增益或正面效果叠加时，有{CHANCE}%几率恢复{POWER}%的生命值。"
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","每{TURNS}回合，复活附近被击败的盟友，使其拥有{POWER}%的生命值。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","每个回合开始时，敌方战队身上每拥有一个增益状态效果（最多{MAXSTATUSEFFECTCOUNT}层），此角色便获得少量法力。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","每回合开始时，每有一名敌人处于剧毒状态，此角色和附近盟友的生命值便提高{INCREMENTPERSTATUSEFFECT1}%。提高的生命值可以超过最大生命值。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","盟友获得小兵时，此角色将获得{POWER}%法力。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","任何盟友获得小兵时，此角色将获得{HEALTH}%生命和{MANA}%法力。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","任何敌人被恶魔附身时，此角色将获得{POWER}%法力。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","任何敌人被恶魔附身时，此角色将对所有敌人造成{DAMAGE}%伤害。此效果每回合只能生效一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","任何敌人被恶魔附身时，此角色将获得{POWER}点生命加成。此效果每回合只能生效一次。"
"herocard.passive_skill.description.extraactionsafterspecial","此角色在施放特殊技能时，有{CHANCE}%几率施放额外技能。"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","所有敌方小兵拥有{MINIONMODIFIER}%精准度。
所有敌方超级小兵拥有{MEGAMINIONMODIFIER}%精准度。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","敌方超级小兵拥有{HEALTHMODIFIER}%的生命值。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","敌方小兵拥有{HEALTHMODIFIER}%的生命值。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","敌方超级小兵无法攻击或使用技能。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","敌方小兵无法攻击或使用技能。"
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","每次有敌人受到冰冻伤害，此角色都会获得{POWER}%的法力值。"
"herocard.passive_skill.description.growth","此英雄的基础攻击和基础防御每回合增加{STATINCREASE}点，持续{MAXACTIVATIONCOUNT}回合。"
"herocard.passive_skill.description.guaranteedeffectonspecial","此角色施放特殊技能时，其在施放时有几率赋予额外效果的被动技能必定会触发。"
"herocard.passive_skill.description.heal.all.allies","为所有盟友恢复{HEALTH}%生命。"
"herocard.passive_skill.description.healmodifier","获得的治疗增加{HEALMULTIPLIER}%。"
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","所有敌人获得{HEALMULTIPLIER}%治疗。"
"herocard.passive_skill.description.healmodifier.decrease","获得的治疗减少{HEALMULTIPLIER}%。"
"herocard.passive_skill.description.healonheal.can_stack.heal","此角色每次恢复生命时，都会获得{POWER}%生命。"
"herocard.passive_skill.description.healonownfamiliardeath.minion","每次摧毁此角色的一名小兵，该角色都会恢复{HEALTH}点生命值。"
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","每当此角色的一名小兵被摧毁时，此角色的生命都会提高{HEALTH}点"
"herocard.passive_skill.description.healthboost.all.allies","使所有盟友的生命提高{HEALTHBOOST}%。提高后的生命可以超过最大生命值。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","每场战斗开始时，每存在一个非自然系元素的敌人，此角色的攻击力都会提高{ATTACK}%。在多个波次的战斗中，该效果将在每一波开始时刷新。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","每有一个非自然系元素的敌人存活，此角色的攻击力都会提高{ATTACK}%。该效果将在每一波开始时刷新。（当前：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","每场战斗开始时，每存在一个非烈火系元素的敌人，此角色的攻击力都会提高{ATTACK}%。在多个波次的战斗中，该效果将在每一波开始时刷新。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","每有一个非烈火系元素的敌人存活，此角色的攻击力都会提高{ATTACK}%。该效果将在每一波开始时刷新。（当前：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","增加{DAMAGEMULTIPLIER}%对小兵伤害。"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","该角色对小兵和超级小兵造成{DAMAGEMULTIPLIER}%伤害。"
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","该角色的特殊技能攻击对处于嘲讽状态的目标具有{POWERADDITION}%战力加成。"
"herocard.passive_skill.description.increasespecialdamage","此角色前{MAXACTIVATIONCOUNT}次使用特殊技能造成伤害时，该伤害将额外提升{POWERADDITION}%。"
"herocard.passive_skill.description.increasespecialdamage.usable_once","此角色第一次使用特殊技能造成伤害时，该伤害将额外提升{POWERADDITION}%。"
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","每当此角色使用特殊技能造成伤害时，该伤害将额外提升{POWERADDITION}%。"
"herocard.passive_skill.description.insanitydamagereduction","每拥有{DISPLAYSCALE}点狂乱，此角色受到的所有伤害便降低{DAMAGEREDUCTION}%，最多可降低{MAXDAMAGEREDUCTION}%。"
"herocard.passive_skill.description.iterateeffectonspecial","此角色施放特殊技能时，其在施放时有几率赋予额外效果的被动技能有{APPLYCOUNT}次机会触发。"
"herocard.passive_skill.description.league.featured_family","该英雄是精选家族的成员！"
"herocard.passive_skill.description.league.non_featured_family","该英雄不是精选家族的成员！"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}%对精选家族英雄的精准度。"
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","影响精选家族成员的治疗拥有{POWERMULTIPLIER}%效率。"
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}%从非精选家族受到的伤害。"
"herocard.passive_skill.description.manadebuffprotection","所有影响法力生成的状态异常和负面叠加将被替换为{MANAREGEN}%法力生成状态效果，持续{TURNS}回合。不适用于停止法力生成或窃取法力的状态异常。"
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","通过特殊技能获得的法力将减少{MODIFIER}%。此效果适用于战场上的所有敌人。"
"herocard.passive_skill.description.managenerationmodifier.none","{MODIFIER}%法力生成。"
"herocard.passive_skill.description.manaonownfamiliardeath.minion","每次摧毁此角色的一名小兵，该角色都会获得少量的法力。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","此角色的天赋能回溯敌人用特殊技能所召唤的任何小兵或恶魔。敌人所召唤的最后一个小兵和恶魔会被回溯，直到此角色施放特殊技能为止。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","此角色的天赋能回溯敌人用特殊技能所召唤的任何小兵或恶魔。敌人所召唤的最后{0}个小兵和恶魔会被回溯，直到此角色施放特殊技能为止。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","此角色的天赋能回溯状态异常。对此角色施放的最后一个状态异常会被回溯，直到此角色施放特殊技能为止。只有拥有持续时间的状态异常才可被回溯。"
"herocard.passive_skill.description.memorizestatuseffects#2","此角色的天赋能回溯状态异常。对此角色施放的最后{0}个状态异常会被回溯，直到此角色施放特殊技能为止。只有拥有持续时间的状态异常才可被回溯。"
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","这只拟态兽在完成关卡时有机会获得额外的战利品：

高筒靴
精致手套
指南针
 大马士革刀
策略书卷

结实绳索
战斗手册
链甲衫
保暖披风
望远镜"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","这只拟态兽在完成关卡时有机会掉落额外的战利品：

高筒靴
精致手套
指南针
 大马士革刀
策略书卷

结实绳索
匕首
剑鞘
坚固护盾
神秘补药"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","这只拟态兽在完成关卡时有机会掉落额外的战利品：

高筒靴
精致手套
指南针
 大马士革刀
策略书卷

结实绳索
匕首
剑鞘
陷阱工具
皇室战袍"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","这只拟态兽在完成关卡时有机会掉落额外的战利品：

高筒靴
精致手套
指南针
 大马士革刀
策略书卷

秘能手卷
链甲衫
袖剑
神秘戒指"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","这只拟态兽在完成关卡时有机会掉落额外的战利品：

高筒靴
精致手套
指南针
 大马士革刀
策略书卷

秘能手卷
链甲衫
魔法球
毒镖"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","该拟态兽在完成关卡时有几率获得额外战利品：

普通冰雪系训练师英雄
罕见冰雪系训练师英雄
稀有冰雪系训练师英雄
 
普通冰雪系 英雄
罕见冰雪系英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","该拟态兽在完成关卡时有几率获得额外战利品：

普通自然系训练师英雄
罕见自然系训练师英雄
稀有自然系训练师英雄
 
普通 自然系英雄
罕见自然系英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","该拟态兽在完成关卡时有几率获得额外战利品：

普通暗黑系训练师英雄
罕见 暗黑系训练师英雄
稀有暗黑系训练师英雄
 
普通暗黑系英雄
罕见暗黑系英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","该拟态兽在完成关卡时有几率获得额外战利品：

普通烈火系训练师英雄
罕见 烈火系训练师英雄
稀有烈火系训练师英雄
 
普通烈火系英雄
罕见烈火系英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","该拟态兽在完成关卡时有几率获得额外战利品：

普通神圣系训练师英雄
罕见 神圣系训练师英雄
稀有神圣系训练师英雄
 
普通 神圣系英雄
罕见神圣系英雄"
"herocard.passive_skill.description.nevermissspecial","此角色的特殊技能必定命中。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","此角色施放特殊技能时，有{CHANCE}%几率从一名身上有增益的随机敌人窃取其最新获得的可驱散增益。若所有敌人身上都没有增益，则对所有敌人造成{DAMAGE}%伤害。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","此角色施放特殊技能时，将把其身上最新的可净化状态异常转移至其目标。若其特殊技能无法选择敌方目标，则会随机转移至一名敌人。若此角色没有可净化的状态异常，则恢复自身{HEALTH}%的生命。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","此英雄受到来自较强元素队伍的元素伤害时，该伤害会减少。

所受到的元素伤害：-{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","从较强元素队伍处受到的元素伤害减少{MODIFIER}%。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","在被较强元素的火球攻击时额外受到{MODIFIER}%元素伤害。"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","额外{CHANCE}%几率将状态异常反弹给攻击者。"
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","每{TURNS}回合，移除所有盟友身上的衰退效果。"
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","每{TURNS}回合，移除所有敌人身上的成长效果。"
"herocard.passive_skill.description.repaircorechargeeffectonspecial.healthboost.all.allies.always","此角色的机械核心为修复核心。

每当此角色施放特殊技能时，都会启动修复核心：

若修复核心已完全充满，则为所有盟友提高{CHARGEDPOWER1}%的生命值。
未充满时，核心里的充能越高，所提高的生命值也会按比例增加。核心启动时会耗尽所有充能。"
"herocard.passive_skill.description.repeatspecial","有{REPEATCHANCE}%几率施放此英雄的特殊技能{REPEATS}次。"
"herocard.passive_skill.description.resist.accuracymodifiers","此角色的天赋可抵抗影响精准度的状态异常。不包括来自盟友的原始状态效果。"
"herocard.passive_skill.description.resist.allattackmodifiersincludingwither.alldebuffs","此角色的天赋可抵抗影响攻击力的状态异常、叠加以及衰退效果。"
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","此角色的天赋可抵抗状态异常和负面效果叠加。"
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","额外{CHANCE}%几率抵抗所有状态异常以及增益驱散。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","额外{CHANCE}%几率抵抗所有状态异常、法力减损、增益驱散和狂乱。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","额外{CHANCE}%几率抵抗所有状态异常、法力减损以及增益驱散。"
"herocard.passive_skill.description.resist.alldebuffs.with_chance","额外{CHANCE}%几率抵抗所有状态异常。"
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","此角色的天赋可抵抗影响防御的状态异常，包括影响元素人防御的状态异常。"
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","此角色不会受到增强或削弱防御效果的影响。

包括 
状态效果增益和异常
正面和负面效果叠加
衰退和成长效果。"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.alldebuffs","此角色的天赋可抵抗影响防御的状态异常、叠加以及衰退效果。"
