"herocard.family.title.abyss","Underrige-familie"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja-familien"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opera-familie"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Liangshan-familiens forbrydere"
"herocard.family.title.outlaw.short","Liangshan-forbrydere"
"herocard.family.title.owl","Uglefamilien"
"herocard.family.title.owl.short","Ugle"
"herocard.family.title.pirate","Sørøverfamilie"
"herocard.family.title.pirate.short","Sørøver"
"herocard.family.title.plains_hunter","Slettejægerfamilie"
"herocard.family.title.plains_hunter.short","Slettejæger"
"herocard.family.title.raven","Ravnefamilie"
"herocard.family.title.raven.short","Ravn"
"herocard.family.title.raven_pve.short","Ravn"
"herocard.family.title.rodent","Eventyrlysten gnaverfamilie"
"herocard.family.title.rodent.short","Eventyrlysten gnaver"
"herocard.family.title.ronin","Ronin-familie"
"herocard.family.title.ronin.short","Ronin"
"herocard.family.title.sand","Sandriget-familie"
"herocard.family.title.sand.short","Sandriget"
"herocard.family.title.shady_scoundrels","Fordægtig slyngelfamilie"
"herocard.family.title.shady_scoundrels.short","Fordægtig slyngel"
"herocard.family.title.slayers","Dræberfamilie"
"herocard.family.title.slayers.short","Dræber"
"herocard.family.title.slime","Slimfamilie"
"herocard.family.title.slime.short","Slim"
"herocard.family.title.stag","Kronhjortefamilie"
"herocard.family.title.stag.short","Kronhjort"
"herocard.family.title.stag_pve.short","Kronhjort"
"herocard.family.title.styx","Styx-familie"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Solfamilie"
"herocard.family.title.sun.short","Sol"
"herocard.family.title.super_elemental","Superelementar-familien"
"herocard.family.title.super_elemental.short","Superelementar"
"herocard.family.title.svartalfheim","Svartalfheim-verden"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Mareridt fra Atlantis-familie"
"herocard.family.title.tales1_baddies.short","Mareridt fra Atlantis"
"herocard.family.title.tales1_goodies","Atlantis' beskyttere-familie"
"herocard.family.title.tales1_goodies.short","Atlantis' beskyttere"
"herocard.family.title.titan_hunter","Titanjægerfamilie"
"herocard.family.title.titan_hunter.short","Titanjæger"
"herocard.family.title.vanaheim","Vanaheim-verden"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Tapper grøntsagsfamilie"
"herocard.family.title.vegetable.short","Tapper grøntsag"
"herocard.family.title.villains","Skurkefamilie"
"herocard.family.title.villains.short","Skurk"
"herocard.family.title.wild_cat","Vildkatfamilie"
"herocard.family.title.wild_cat.short","Vildkat"
"herocard.family.title.winter","Vinterfamilie"
"herocard.family.title.winter.short","Vinter"
"herocard.family.title.wolf","Ulvefamilie"
"herocard.family.title.wolf.short","Ulv"
"herocard.family.title.wolf_pve.short","Ulv"
"herocard.family.title.wonderland","Eventyrland-familie"
"herocard.family.title.wonderland.short","Eventyrland"
"herocard.family.title.zodiac","Månenytårsfamilie"
"herocard.family.title.zodiac.short","Månenytår"
