"KEY","TEXT"
"account_deletion.dialog.start_process.message","När du begär en kontoborttagning kommer ditt spelkonto och tillgång till spelet att [#!]spärras omedelbart[#]. När din borttagningsförfrågan är genomfördförd [#!]kan vi inte häva den[#].

[#!]Alla dina spelframsteg kommer att gå förlorade[#], däribland all virtuell valuta och alla föremål som du fått eller köpt. Efter det kan vi inte längre hjälpa dig med att få pengarna tillbaka för köp eller andra supportärenden som rör det här spelet.

Om du vill blockera köp på ditt befintliga konto eller stoppa spelande på det kan du kontakta spelarsupporten istället för att ta bort kontot.

Obs! Om du tar bort det här kontot kommer det inte att säga upp aktuella prenumerationer. [#!]Prenumerationer måste sägas upp via leverantören[#] (Apple, Google, osv.).
När du har tagit bort ett konto går det bra att skapa ett nytt och börja om från början."
"account_deletion.dialog.start_process.title","Tänk på följande innan du raderar det här spelkontot"
"account_deletion.reason_option.bugs_issues","För många buggar/problem"
"account_deletion.reason_option.disagree_with_policy","Jag godkänner inte villkoren/integritetspolicyn"
"account_deletion.reason_option.harassment_abuse","Oro för trakasserier eller hat"
"account_deletion.reason_option.no_longer_play","Jag spelar inte spelet längre"
"account_deletion.reason_option.other","Annat"
"account_deletion.reason_option.restart_game","Jag vill börja om i spelet"
"account_deletion.reason_option.select_reason","[Välj anledning]"
"account_deletion.region_dropdown.other","Annat (inte listad)"
"account_deletion.region_dropdown.select_region","[Välj region]"
"account_deletion.terms_checkbox","Jag vill ta bort det här spelkontot. Jag förstår att jag kommer att förlora alla mina spelframsteg och insamlade virtuella föremål, och att när min borttagningsbegäran är genomförd så kan den inte ångras."
"accountswitch.cloud","Moln"
"accountswitch.current","Nuvarande"
"accountswitch.keep","Behåll"
"accountswitch.message","Du kan välja att behålla framstegen eller avbryta om du vill bestämma dig senare."
"accountswitch.replace_cloud","Behåll bara det här"
"accountswitch.replace_cloud.info","Om du är säker på att du vill ersätta molnkontot med det nuvarande kontot så bekräftar du länkningen."
"accountswitch.replace_cloud.title","Ersätt molnkonto"
"accountswitch.replace_current.info","Om du är säker på att du vill ersätta det nuvarande kontot med molnkontot så bekräftar du länkningen."
"accountswitch.replace_current.title","Ersätt nuvarande konto"
"accountswitch.stronghold","Högborgsnivå"
"accountswitch.switch","Ladda"
"accountswitch.title","Välj konto"
"accountswitch.trophies","Troféer"
"accountswitch.xp","Erfarenhetsnivå"
"ads.disabled.popup.description","Annonser finns inte i den här versionen. Du får fortfarande belöningar."
"ads.disabled.popup.title","Ingen annons tillgänglig"
"advanced_buildings.title#1","Ny avancerad byggnad upplåst"
"advanced_buildings.title#2","Nya avancerade byggnader upplåsta"
"advanced_buildings.title#3","Nya avancerade byggnader upplåsta"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","I början av striden får hjälten {ATTACK} % attack under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","I början av striden får hjälten {ATTACK} % attack och ytterligare {CHANGE} % varje gång hjälten blir träffad de kommande {TURNS} rundorna, upp till {MAXMODIFIER} % attack.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","I början av striden får hjälten {DEFENSE} % försvar och ytterligare {CHANGE} % varje gång hjälten blir träffad de kommande {TURNS} rundorna, upp till {MAXMODIFIER} % försvar.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","I början av striden får hjälten {MULTIPLIER} % minskning av skada från negativa statuseffekter och negativa staplar i {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","I början av striden får hjälten {DEFENSE} % försvar under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","I början av striden rensas hjältens negativa statuseffekter i slutet av varje runda under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","I början av striden regenererar hjälten {TOTAL} ökad hälsa under {TURNS} rundor. Hälsan kan komma att överstiga maxhälsan.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","I början av striden regenererar hjälten {TOTAL} hälsa under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","I början av striden får hjälten en liten mängd mana under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","I början av striden får hjälten {ATTACK} % attack med {ACCURACY} % träffsäkerhet under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","I början av striden får hjälten {HEALING} % bättre läkning under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","I början av striden får hjälten {LIFESTEAL} % av normal skada som görs under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","I början av striden får hjälten {MANAREGEN} % manaskapande under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","Om hjälten besegras under en strids 5 första rundor återupplivas den som en mumie med {ATTACK} % attack och {DEFENSE} % försvar.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease","I början av striden sänks all skada som hjälten tar med [#!]{DAMAGEREDUCTION} %[#] under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerreflectminordebuffstorandomenemy.single.allies","I början av striden reflekterar hjälten reningsbara negativa statuseffekter den får vidare till en slumpad karaktär i motståndarlaget under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerspecialdamagepowermodifier.single.allies","I början av varje strid gör hjältens specialförmåga ytterligare {POWER} % skada i {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.aetherpowerspecialskilldefensemodifier.single.allies","I början av striden får hjälten {SPECIALSKILLDEFENSE} % försvar mot specialförmågor under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.block.single.allies","I början av striden får hjälten en {BLOCKCHANCE} % chans att all skada som tas sänks till 1 under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.counterattack.single.allies","I början av striden motanfaller hjälten med {DEFLECTION} % av skadan som tas under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.debuffshield.single.allies","I början av striden är hjälten immun mot nya negativa statuseffekter under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.dodgespecialdamage.single.allies","I början av striden får hjälten {DODGE} % chans att undvika specialförmågor som gör skada under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.reflectdebuffdamage.single.allies.targets.all","I början av striden reflekterar hjälten {DEFLECTION} % av tagen skada från sina negativa statuseffekter och negativa staplar på alla fiender i {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.reflectminordebuffs.single.allies.randomenemy","I början av striden reflekterar hjälten reningsbara negativa statuseffekter den får vidare till en slumpad karaktär i motståndarlaget under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.resistnewparasites.single.allies","I början av striden är hjälten immun mot nya odjur under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.revive.aetherrevive.single.allies","Om hjälten besegras under en strids {TURNS} första rundor återupplivas användaren i början av nästkommande runda med {HEALTH} % hälsa. Alla statuseffekter och staplar tas bort när hjälten besegras.

I strider med flera vågor återställs effekten i början av varje våg."
"aetherpower.statuseffect.minor.taunt.single.allies","I början av striden får hjälten hån som hindrar fiender från att använda specialförmågor på hjältens allierade under {TURNS} rundor.

I strider med flera vågor återställs effekten i början av varje våg."
"alchemy.surplusremoval.body","Alkemilabbet kan nu göra högst 100 transmutationer per recept. Alla transmutationer över gränsen har strukits ur kön och ingredienserna till dem är bifogade i det här meddelandet."
"alchemy.surplusremoval.title","Alkemilabbsingredienser"
"alchemylab.alchemy","Alkemi"
"alchemylab.boost","Boost"
"alchemylab.boost.confirmation","När du köper den här boosten får du [#!]{0}[#] extra alkaskärvor. Vill du genomföra transaktionen?"
"alchemylab.boost.get_more_alkashards#1","Få [#!]{0}[#] extra [#!]alkaskärva[#]!"
"alchemylab.boost.get_more_alkashards#2","Få [#!]{0}[#] extra [#!]alkaskärvor[#]!"
"alchemylab.boost.get_more_alkashards#3","Få [#!]{0}[#] extra [#!]alkaskärvor[#]!"
"alchemylab.boosted","Boostades!"
"alchemylab.cancel.really","Du är på väg att [#!]permanent förstöra episka föremål[#]! Du får [#!]inte[#] tillbaka några av de resurser eller föremål som använts!

Är du helt säker?"
"alchemylab.cancel.title","Stoppa transmutationen?"
"alchemylab.choose.text","Tryck på föremål för att lägga till ingredienser"
"alchemylab.chosen.text","Valda ingredienser"
"alchemylab.craft.button","Transmutera"
"alchemylab.description.transmuting","Transmuterar: {0}"
"alchemylab.description.transmuting.max","Transmuterar: {0} (max)"
"alchemylab.extra","Extra!"
"alchemylab.migration.info.body","Alkemilabbet har uppdaterats! Till följd av ändringarna har pågående handlingar slutförts automatiskt och köade handlingar återbetalats. Resultaten finns i din inkorg!"
"alchemylab.migration.info.title","Uppdatering till alkemilabbet"
"alchemylab.migration.refundmail.body","Alkemilabbet har uppdaterats! Dina köade transmutationer har återbetalats.

Här får du de föremål och resurser du köat."
"alchemylab.migration.refundmail.title","Transmutationer i alkemilabbet återbetalade"
"alchemylab.migration.researchmail.body","Alkemilabbet har uppdaterats! Den forskning du höll på med har slutförts och samlats in automatiskt."
"alchemylab.migration.researchmail.title","Alkemilabbsforskning slutförd"
"alchemylab.migration.resultmail.body","Alkemilabbet har uppdaterats! De transmutationer du hade igång har slutförts automatiskt.

Här får du resultaten av alla dina färdiga och ej uthämtade transmutationer."
"alchemylab.migration.resultmail.title","Transmutationer i alkemilabbet slutförda"
"alchemylab.ready","Transmutationen är klar!"
"alchemylab.researchingelsewhere","Vänta tills en annan forskning blir klar för att forska fram det här receptet."
"alchemylab.showavailableingredients.button","Visa alla"
"alchemylab.showchoseningredients.button","Visa valda"
"alchemylab.transmutation.cancel","De här föremålen har redan börjat transmuteras. Om du avbryter transmutationen kommer alla föremål och resurser du lagt på den att [#!]förstöras permanent[#]!

Är du säker på att du vill förstöra alla föremål och resurser?"
"alchemylab.transmutationready.message","Transmutationens resultat:"
"alchemylab.transmute.autofill","Autofyll"
"alchemylab.transmute.button","Transmutera"
"alchemylab.transmute.cauldron_full","Kitteln är full!"
"alchemylab.transmute.confirmation.epic","Du är på väg att använda {0} [#!]episka graderingsmaterial[#] i den här transmutationen.

Är du säker?"
"alchemylab.transmute.odds.title","Graderingsandelar"
"alchemylab.transmute.required_ingredients","Ingredienser som krävs:"
"alchemylab.transmutetime","Transmutationstid: [#!]{0}[#]"
"alkashard.dialog.cost","Förbrukade alkaskärvor:"
"alkashard.dialog.guide","Välj något av följande:"
"alkashard.dialog.info.message","Du får välja ett av följande slumpade föremål när du kombinerar alkaskärvor.

Föremålsvalet är samma tills alkaskärvorna kombineras."
"alkashard.dialog.title","Kombinera alkaskärvor"
"alkashard.done.dialog.title","Kombinerades av alkaskärvor!"
"alliance.activetitan","Aktiv titan"
"alliance.activity","[#!]Aktivitet:[#] [%115]{0}[%]"
"alliance.activity.description","Anger hur stor andel av alliansens medlemmar som nyligen varit online."
"alliance.activity.title","Alliansaktivitet"
"alliance.activity_entry","Aktivitet:"
"alliance.alliances","Allianser"
"alliance.chat.joinrequest","Godkänn inbjudan?"
"alliance.chat.joinrequest.accept","Godkänn"
"alliance.chat.joinrequest.accepted","[#00ff00]godkände[#] från [#!]{0}[#]"
"alliance.chat.joinrequest.reject","Avvisa"
"alliance.chat.joinrequest.rejected","[#ff0000]Avvisade[#] från [#!]{0}[#]"
"alliance.choose_banner","Symbol"
"alliance.choose_description","Beskrivning"
"alliance.choose_flag","Mönster"
"alliance.choose_name","Alliansnamn"
"alliance.choose_symbol","Symbol"
"alliance.choose_trophies","Troféer som krävs"
"alliance.choose_type","Typ"
"alliance.demote","Degradera"
"alliance.error.alliance_not_found","Alliansen finns inte längre."
"alliance.error.already_in_alliance_other","Spelaren är redan medlem i en allians."
"alliance.error.already_requested","Du har redan ansökt om medlemskap i den här alliansen."
"alliance.error.banned","Din ansökan om medlemskap i alliansen har nyligen avvisats."
"alliance.error.block_edit_name","Alliansens namn och beskrivning är tillfälligt avstängda."
"alliance.error.cant_attack_titan.message","För att kunna attackera en Titan måste du ha varit medlem i en allians innan Titanen dök upp.

Du kan attackera nästa Titan som dyker upp, för den här alliansen."
"alliance.error.cant_attack_titan.rare.message","För att kunna anfalla ovanliga titaner måste du ha varit med i en allians i minst {0} dagar."
"alliance.error.cant_attack_titan.title","Attack ej tillåten"
"alliance.error.full","Alliansen är full."
"alliance.error.hexmap.already_finished","Evenemanget är redan slut."
"alliance.error.hexmap.attacker_in_battle","Anfallaren är redan i strid."
"alliance.error.hexmap.chest.already_claimed","Kistan har redan hämtats."
"alliance.error.hexmap.chest.not_enough_keys","Du har för få nycklar för att öppna kistan."
"alliance.error.hexmap.chest.unknown","Kistan hittades inte."
"alliance.error.hexmap.invalid_path","Ogiltig väg vald."
"alliance.error.hexmap.invalid_team","Alla hjältar i ditt lag har besegrats."
"alliance.error.hexmap.no_energy_left","Du har inte tillräckligt med energi."
"alliance.error.hexmap.player.unknown","Spelaren hittades inte."
"alliance.error.hexmap.target.dead","Fienden har redan besegrats."
"alliance.error.hexmap.target.unknown","Okänd fiende vald."
"alliance.error.invite_only","Alliansen kräver inbjudan. Försök igen."
"alliance.error.name.taken","Namnet du angivit används redan."
"alliance.error.name.too_short","Alliansnamnet måste vara minst {0} tecken långt."
"alliance.error.not_enough_trophies","Du har inte tillräckligt med troféer för att gå med i denna allians."
"alliance.error.player_not_found","Spelaren finns inte längre."
"alliance.error.text_validation","Alliansens namn eller beskrivning är inte godkänd."
"alliance.error.unknown","Alliansen finns inte längre."
"alliance.error.war.already_finished","Kriget är redan avslutat"
"alliance.error.war.attacker_in_battle","Kan ej attackera. Försök senare."
"alliance.error.war.defense.war_started","Kan ej uppdatera försvarslag. Kriget pågår!"
"alliance.error.war.invalid_assist_dragon_count","Kan ej attackera. Försök senare."
"alliance.error.war.invalid_team","Ditt valda attackteam är ogiltigt."
"alliance.error.war.no_attacks_left","Slut på krigsenergi!"
"alliance.error.war.target.dead","Målet är redan besegrat."
"alliance.error.war.target.not_found","Giltigt mål ej funnet."
"alliance.error.war.target.reserved","Målet är redan reserverat."
"alliance.error.war.target.under_attack","Okänt mål. Försök senare."
"alliance.error.war.target.unknown","Okänt mål. Försök senare."
"alliance.error.war_battle_conflict","Ett oväntat fel har inträffat. Vi utreder och fixar så snart som möjligt."
"alliance.event.alliance_gift.alliance_christmas_gift_offer","Julklappar från [#!]{0}[#] har skickats! Kolla era inkorgar!"
"alliance.event.alliance_gift.alliance_christmas_webstore_gift","Julklappar från [#!]{0}[#] har skickats! Kolla era inkorgar!"
"alliance.event.alliance_gift.alliance_valentines_webstore_gift","Glad alla hjärtans dag från [#!]{0}[#]! Kolla era inkorgar, allihop!"
"alliance.event.alliance_gift.alliancegiftoffer_gift","Ädelstensleveranser från [#!]{0}[#] har skickats! Kolla era inkorgar!"
"alliance.event.alliance_gift.battle_item_alliancemember_gift","Stridsföremål från [#!]{0}[#] har skickats! Kolla era inkorgar!"
"alliance.event.alliance_gift.com.smallgiantgames.empires.6th_birthday_gift_zynga","Hälsningar från [#!]{0}[#]! Kolla era inkorgar, allihop!"
"alliance.event.alliance_gift.default","Hälsningar från [#!]{0}[#]! Kolla era inkorgar, allihop!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day1","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day2","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day3","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day4","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day5","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day6","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.golden_week_alliancemember_gift_day7","Glad Golden Week önskar [#!]{0}[#]! Kolla inkorgen!"
"alliance.event.alliance_gift.valentines2018_alliance_member_gift","Glad alla hjärtans dag från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_1","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_2","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_3","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_4","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_5","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.alliance_gift.valentines2022_alliancemember_gift_6","Glad alliansvecka från [#!]{0}[#]! Kolla era inkorgar!"
"alliance.event.demote","[#!]{1}[#] degraderades av [#!]{0}[#]."
"alliance.event.event_ended","[#!]Alliansäventyret[#] är slut."
"alliance.event.event_ending","[#!]Alliansäventyret[#] slutar om {0}!"
"alliance.event.event_started","[#!]Alliansäventyret[#] har börjat!"
"alliance.event.event_starting","[#!]Alliansäventyret[#] börjar om {0}!"
"alliance.event.hexmap_ended","[#!]Monsteröevenemanget[#] tog slut."
"alliance.event.hexmap_ending","[#!]Monsteröevenemanget[#] tar slut om 24 timmar!"
"alliance.event.hexmap_started","[#!]Monsteröevenemanget[#] började!"
"alliance.event.hexmap_starting","[#!]Monsteröevenemanget[#] börjar om 24 timmar!"
"alliance.event.inactive_leader_election","På grund av ledarens inaktivitet har {0} valts som ny ledare"
"alliance.event.inactive_leader_final","Din alliansledare har varit inaktiv ett tag. En ny ledare väljs automatiskt från giltiga alliansmedlemmar om {0}. Det här är det sista meddelandet."
"alliance.event.inactive_leader_first","Din alliansledare har varit inaktiv ett tag. En ny ledare väljs automatiskt från giltiga alliansmedlemmar om {0}."
"alliance.event.inactive_leader_no_active_elders","Valet av ny alliansledare har stoppats eftersom det inte finns några giltiga alliansmedlemmar."
"alliance.event.inactive_leader_returned","Alliansledaren har återvänt. Ingen ny ledare väljs om alliansledaren är aktiv."
"alliance.event.join","[#!]{0}[#] har gått med i alliansen."
"alliance.event.kick","[#!]{0}[#] har uteslutit [#!]{1}[#] ur alliansen."
"alliance.event.leave","[#!]{0}[#] har lämnat alliansen."
"alliance.event.level_up","[#!]{0}[#] har nått [#!]{1}[#]!"
"alliance.event.promote","[#!]{1}[#] befordrades av [#!]{0}[#]."
"alliance.event.titan_created","En ny Titan har uppenbarat sig!"
"alliance.event.titan_escaped","Titanen kom undan."
"alliance.event.titan_killed","Titanen besegrad!"
"alliance.event.top_attackers","Bästa titananfallare: {0}
Använda harpuner: [#!]{1}[#]"
"alliance.event.top_attackers_no_harpoons","Bästa titananfallare: {0}"
"alliance.event.top_hexmap_players","Bästa monsteröspelarna: {0}"
"alliance.event.top_war_attackers","Bästa krigsanfallarna: {0}"
"alliance.event.update_description","[#!]{0}[#] ändrade beskrivningen av alliansen."
"alliance.event.update_featured_message_enabled_false","[#!]{0}[#] har tagit bort det utvalda alliansmeddelandet."
"alliance.event.update_featured_message_enabled_true","[#!]{0}[#] har skrivit ett nytt utvalt meddelande för alliansen."
"alliance.event.update_language","[#!]{0}[#] bytte språk för alliansen."
"alliance.event.update_name","[#!]{0}[#] bytte namn på alliansen."
"alliance.event.update_required_trophies","[#!]{0}[#] ändrade alliansens trofékrav till [#!]{1}[#]."
"alliance.event.update_symbol","[#!]{0}[#] bytte symbol för alliansen."
"alliance.event.update_type.inviteonly","[#!]{0}[#] ändrade så alliansen nu [#!]kräver inbjudan[#]."
"alliance.event.update_type.open","[#!]{0}[#] ändrade så alliansen [#!]inte längre kräver inbjudan[#]."
"alliance.event.war_created","[#!]Allianskriget[#] startar om{0}. Förbered ditt försvar!"
"alliance.event.wars_enabled_false","[#!]{0}[#] har avaktiverat [#!]allianskrig[#] för alliansen."
"alliance.event.wars_enabled_true","[#!]{0}[#] har aktiverat [#!]allianskrig[#] för alliansen."
"alliance.exmember","[Före detta medlem]"
"alliance.hexmap.keys","Nycklar"
"alliance.hexmap.more_in","Fler om: {0}"
"alliance.hexmap.remaining_health","Återstående hälsa:"
"alliance.hexmap.status.finished","Evenemang slutfört!"
"alliance.hexmap.team","Monsterön-lag"
"alliance.indicator.create","Bearbetar..."
"alliance.indicator.refresh","Uppdaterar..."
"alliance.info.allianceeventineligibleincoming","Du måste vara med i en allians för att delta i alliansäventyr."
"alliance.info.allianceeventineligiblestarted","[#!]Du måste vara med i en allians för att delta[#] i alliansäventyr. Du kan inte delta i det här alliansäventyret eftersom det redan har börjat.

Om du går med i en allians nu kan du delta i framtida alliansäventyr."
"alliance.info.comingsoon","Kommer snart!"
"alliance.info.confirmdemote.elder","Vill du verkligen degradera [#!]{0}[#] till [#!]Äldste[#]?"
"alliance.info.confirmdemote.member","Vill du verkligen degradera [#!]{0}[#] till [#!]Medlem[#]?"
"alliance.info.confirmkick","Är du säker på att du vill utesluta [#!]{0}[#]?"
"alliance.info.confirmleave","Är du säker på att du vill lämna [#!]{0}[#]?"
"alliance.info.confirmleaveanddisband","Är du säker på att du vill lämna [#!]{0}[#]?
Tänk på att din allians raderas eftersom den då inte längre har några medlemmar."
"alliance.info.confirmleaveduringallianceevent","Vill du verkligen lämna [#!]{0}[#]?

Om du lämnar alliansen kan du inte längre delta i det pågående [#!]alliansäventyret[#]. Du kan inte längre delta eller få några belöningar även om du går med igen."
"alliance.info.confirmleaveduringhexmap","Vill du verkligen lämna [#!]{0}[#]?

Om du lämnar alliansen kan du inte längre delta i det pågående [#!]monsteröevenemanget[#]. Du kan inte längre delta eller få några belöningar även om du går med igen."
"alliance.info.confirmleaveduringhexmappendingrewards","Vill du verkligen lämna [#!]{0}[#]?

Om du gör det får du inga belöningar från det pågående [#!]monsteröevenemanget[#] även om du går med igen."
"alliance.info.confirmleaveubertitan","Är du säker på att du vill lämna [#!]{0}[#]?
Tänk på att du inte kan bidra till eller bli belönad för poängen som samlas ihop för den nuvarande [#!]mytomspunna titanen[#] i den här eller någon annan allians."
"alliance.info.confirmleavewar","Vill du verkligen lämna [#!]{0}[#]?

Krigsförberedelserna har börjat! Om du vill delta i det här kriget måste du se till att komma tillbaka till den här alliansen i god tid innan striderna drar igång!

Tid kvar: [#!]{1}[#]"
"alliance.info.confirmleavewarafterstarted","Är du säker på att du vill lämna [#!]{0}[#]?"
"alliance.info.confirmleavewarnoreturn","Vill du verkligen lämna [#!]{0}[#]?

Krigen börjar snart! Om du ger dig av nu kan du inte delta i det här kriget."
"alliance.info.confirmpromote.coleader","Vill du verkligen befordra [#!]{0}[#] till [#!]Samledare[#]?"
"alliance.info.confirmpromote.elder","Vill du verkligen befordra [#!]{0}[#] till [#!]Äldste[#]?"
"alliance.info.confirmpromote.leader","Vill du verkligen befordra [#!]{0}[#] till [#!]Ledare[#]?

Varning: Du kommer degraderas till [#!]Samledare[#]."
"alliance.info.created","Grattis! Du har skapat en ny allians."
"alliance.info.created.ubertitan","Grattis! Du har skapat en ny allians.
Tänk på att du inte kan bidra till poängen som samlas ihop för den nuvarande [#!]mytomspunna titanen[#] i den här alliansen."
"alliance.info.emptyname","Du måste först välja namn."
"alliance.info.hexmapeventdisabled","Monsterönevenemanget är tillfälligt otillgängligt."
"alliance.info.hexmapeventineligibleincoming","Du måste vara med i en allians för att delta i Monsterön-evenemang.

(Obs! I den globala betan måste alliansen ha över {0} allianspoäng under förberedelsefasen för att delta i evenemanget.)"
"alliance.info.hexmapeventineligiblestarted","[#!]Du måste vara med i en allians för att delta[#] i monsteröevenemang. Du kan inte delta i det här monsteröevenemanget eftersom det redan har börjat.

Om du går med i en allians nu kan du delta i framtida monsteröevenemang."
"alliance.info.hexmapeventpreparation","Det här Monsterön-evenemanget är i förberedelsefasen.

(Obs! I den globala betan måste alliansen ha över {0} allianspoäng under förberedelsefasen för att delta i evenemanget.)"
"alliance.info.hexmapeventunavailable","Det här Monsterön-evenemanget är inte tillgängligt för din allians.

(Obs! I den globala betan måste alliansen ha över {0} allianspoäng under förberedelsefasen för att delta i evenemanget.)"
"alliance.info.joined","Grattis!
Du är nu medlem i [#!]{0}[#]."
"alliance.info.joined.ubertitan","Grattis! Nu är du medlem i [#!]{0}[#].

Tänk på att du inte kan bidra till poängen som samlas ihop för den nuvarande [#!]mytomspunna titanen[#] i den här alliansen."
"alliance.info.left","Du har lämnat [#!]{0}[#]."
