"heroes.name_fancy.astral_cosmicspeaker","星体精灵天文学家"
"heroes.name_fancy.ballerina_uberta","孀妇皇后"
"heroes.name_fancy.ballerina_von_rothbart","恐怖魔术师"
"heroes.name_fancy.bard_astrid","复活吟游诗人"
"heroes.name_fancy.bard_balafon","鬼节吟游诗人"
"heroes.name_fancy.bard_belladonna","灵异吟游诗人"
"heroes.name_fancy.bard_bhaltair","矮人单人乐团"
"heroes.name_fancy.bard_bonzo","奇异吟游诗人"
"heroes.name_fancy.bard_celimene","幻术吟游诗人"
"heroes.name_fancy.bard_darkbeat","狂舞区音乐大师"
"heroes.name_fancy.bard_dunnar_hart","岩浆鼓手"
"heroes.name_fancy.bard_fiddle","无比热忱的乐器演奏者"
"heroes.name_fancy.bard_garyas","愉悦吟游诗人"
"heroes.name_fancy.bard_merith","蛇形小提琴手"
"heroes.name_fancy.bard_narcisa","魅力吟游诗人"
"heroes.name_fancy.bard_ogima","幽灵吟游诗人"
"heroes.name_fancy.bard_phenexa","絮语吟游诗人"
"heroes.name_fancy.bard_rhys","英勇吟游诗人"
"heroes.name_fancy.bard_winifred","创作吟游诗人"
"heroes.name_fancy.bard_zarel","传说吟游诗人"
"heroes.name_fancy.bard_zhabog","雄辩吟游诗人"
"heroes.name_fancy.beachparty_andy_jay","阳光海岸狂欢者"
"heroes.name_fancy.beachparty_brebarg","沙堡专家"
"heroes.name_fancy.beachparty_davey_wavey","训练鲨鱼"
"heroes.name_fancy.beachparty_dillo","湿透的犰狳"
"heroes.name_fancy.beachparty_dolrak","黝黑矮人"
"heroes.name_fancy.beachparty_flip","海豹救生员"
"heroes.name_fancy.beachparty_flip_costume_donut","海豹甜甜圈小贩"
"heroes.name_fancy.beachparty_itham","精灵游泳教练"
"heroes.name_fancy.beachparty_mazoga","半兽人水枪手"
"heroes.name_fancy.beachparty_misty","浮潜地精"
"heroes.name_fancy.beachparty_mortimer","暗黑精灵冲浪手"
"heroes.name_fancy.beachparty_serena","海滨社交名流"
"heroes.name_fancy.beachparty_zenukwa","冰激凌爱好者"
"heroes.name_fancy.beowulf_aeschere","盾族贤者"
"heroes.name_fancy.beowulf_beowulf","耶牙特之剑"
"heroes.name_fancy.beowulf_breca","忠实伙伴"
"heroes.name_fancy.beowulf_ecgtheow","狂怒战争领袖"
"heroes.name_fancy.beowulf_freawaru","和平编织者"
"heroes.name_fancy.beowulf_grendel","折刃巨魔"
"heroes.name_fancy.beowulf_grendels_mother","恐惧泽地女巫"
"heroes.name_fancy.beowulf_hrothgar","酒堂大师"
"heroes.name_fancy.beowulf_hygd","盖特女王"
"heroes.name_fancy.beowulf_modthryth","冷血盾女"
"heroes.name_fancy.beowulf_nithgaest","贝奥武夫的灾星"
"heroes.name_fancy.beowulf_unferth","宝剑弗仑汀的主人"
"heroes.name_fancy.beowulf_wealhtheow","手戴戒指，心怀皇室"
"heroes.name_fancy.beowulf_weland","百造铁匠"
"heroes.name_fancy.beowulf_wiglaf","韦奥斯坦之子"
"heroes.name_fancy.blackguard_commander","忧郁公爵"
"heroes.name_fancy.blackguard_commander_costume_cute","忧郁卡通"
"heroes.name_fancy.blackguard_commander_costume_feather","悲鸣公爵"
"heroes.name_fancy.blackguard_commander_costume_metal","摇滚公爵"
"heroes.name_fancy.blackguard_female_archer","雄心弓箭手"
"heroes.name_fancy.blackguard_female_captain","坚毅狱长"
"heroes.name_fancy.blackguard_female_captain_costume_cute","坚毅卡通"
"heroes.name_fancy.blackguard_female_captain_costume_glass","坚毅彩绘"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","坚毅监工"
"heroes.name_fancy.blackguard_knight","贵族骑兵"
"heroes.name_fancy.blackguard_knight_costume_cute","卡通骑兵"
"heroes.name_fancy.blackguard_knight_costume_elegant","精致贵族"
"heroes.name_fancy.blackguard_knight_costume_glass","玻璃骑士"
"heroes.name_fancy.blackguard_knight_costume_healer","贵族医者"
"heroes.name_fancy.blackguard_scout","墨格温逃亡者"
"heroes.name_fancy.blackguard_skulker","迷乱刺客"
"heroes.name_fancy.blackguard_skulker_costume_cute","迷乱卡通"
"heroes.name_fancy.blackguard_skulker_costume_doctor","迷乱外科医生"
"heroes.name_fancy.castle_bear_armel","北极大使"
"heroes.name_fancy.castle_bear_bearnadette","肖像画家"
"heroes.name_fancy.castle_bear_humbert","高地守卫"
"heroes.name_fancy.castle_bear_koda","梅林骑士"
"heroes.name_fancy.castle_bear_teddy","至纯之心"
"heroes.name_fancy.castle_bear_torben","高地之主"
"heroes.name_fancy.castle_bear_winnie","野熊军械士"
"heroes.name_fancy.castle_bear_yona","高地小丑"
"heroes.name_fancy.castle_raven_aderyn","城堡医师"
"heroes.name_fancy.castle_raven_eloise","城堡魔法师"
"heroes.name_fancy.castle_raven_franz","城堡守护者"
"heroes.name_fancy.castle_raven_lewena","城堡神射手"
"heroes.name_fancy.castle_raven_quintin","城堡潜行者"
"heroes.name_fancy.castle_raven_quintin_costume_ice","渡鸦冰霜猎手"
"heroes.name_fancy.castle_raven_rayne","城堡队长"
"heroes.name_fancy.castle_raven_rayne_costume_energy","渡鸦队长"
"heroes.name_fancy.castle_raven_wren","城堡斥候"
"heroes.name_fancy.castle_stag_alvar","先行者"
"heroes.name_fancy.castle_stag_cecilia","暮光赐福"
"heroes.name_fancy.castle_stag_daemon","凋零复仇者"
"heroes.name_fancy.castle_stag_fawn","忠诚侍从"
"heroes.name_fancy.castle_stag_lysanor","蓝梦先知"
"heroes.name_fancy.castle_stag_raleigh","翡翠森林学者"
"heroes.name_fancy.castle_stag_siofra","守誓者"
"heroes.name_fancy.castle_stag_xiamara","翡翠森林守护者"
"heroes.name_fancy.castle_wolf_bertulf","城堡大厨"
"heroes.name_fancy.castle_wolf_esme","城堡大法师"
"heroes.name_fancy.castle_wolf_ferant","城堡典狱官"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","狼族典狱长"
"heroes.name_fancy.castle_wolf_ludwig","城堡卫士"
"heroes.name_fancy.castle_wolf_quenell","城堡斗士"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","狼族斗士"
"heroes.name_fancy.castle_wolf_wolfgang","城堡指挥官"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","狼族指挥官"
"heroes.name_fancy.champions_lazara","棒球冠军"
"heroes.name_fancy.champions_mistra","掷铁饼冠军"
"heroes.name_fancy.champions_nogu","标枪投掷冠军"
"heroes.name_fancy.champions_norman","马上枪术冠军"
"heroes.name_fancy.champions_ramona","赛羊冠军"
"heroes.name_fancy.champions_satori","相扑冠军"
"heroes.name_fancy.christmas_albin","热可可鉴赏家"
"heroes.name_fancy.christmas_augustus","地精长老"
"heroes.name_fancy.christmas_buster","暴躁花园地精"
"heroes.name_fancy.christmas_carol","圣诞老人小帮手"
"heroes.name_fancy.christmas_cookie","地精科学家"
"heroes.name_fancy.christmas_dizzy","地精艺人"
"heroes.name_fancy.christmas_elf","圣诞老人小帮手"
"heroes.name_fancy.christmas_frosty","北境哨兵"
"heroes.name_fancy.christmas_ginger","地精探险者"
"heroes.name_fancy.christmas_holly","地精主厨"
"heroes.name_fancy.christmas_jolly","地精伐木工"
"heroes.name_fancy.christmas_krampus","节日食尸鬼"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","节日恶作剧者"
"heroes.name_fancy.christmas_mr_pengi","圣诞老人的守卫队长"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","滑雪板战队队长"
"heroes.name_fancy.christmas_mrs_claus","北方厨师"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","节日毛衣爱好者"
"heroes.name_fancy.christmas_ottilia","地精装饰家"
"heroes.name_fancy.christmas_peppermint","地精炼金术师"
"heroes.name_fancy.christmas_reindeer","圣诞老人的忠诚骏马"
"heroes.name_fancy.christmas_santa","送礼物的人"
"heroes.name_fancy.christmas_santa_costume_metal","硬石圣诞老人"
"heroes.name_fancy.christmas_tinsel","地精修补匠"
"heroes.name_fancy.christmas_zappa","地精巫师"
"heroes.name_fancy.circus_bobo","炽心雪怪"
"heroes.name_fancy.circus_candy","欢乐的嬉戏者"
"heroes.name_fancy.circus_dandre","巧手杂耍人"
"heroes.name_fancy.circus_director_zuri","马戏大师"
"heroes.name_fancy.circus_director_zuri_costume_clown","小丑大师"
"heroes.name_fancy.circus_eichbelborg","自负的健美者"
"heroes.name_fancy.circus_eiora_and_fluffy","活力二人组"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","黑暗双人组"
"heroes.name_fancy.circus_emilio","伟大的凤凰驯兽师"
"heroes.name_fancy.circus_emilio_costume_frog","伟大的驯蛙师"
"heroes.name_fancy.circus_faline","惊世的杂技演员"
"heroes.name_fancy.circus_marcel","最淘气的小丑"
"heroes.name_fancy.circus_theobald","飞刀奇迹熊"
"heroes.name_fancy.circus_whacker","乖僻的巨人"
"heroes.name_fancy.construct_blue_mage","星空法师机械"
"heroes.name_fancy.construct_bonechill","冰霜机械"
"heroes.name_fancy.construct_brimstone","地狱机械"
"heroes.name_fancy.construct_carta","制图机械"
"heroes.name_fancy.construct_ferrus","海盗机械"
"heroes.name_fancy.construct_frond","精灵机械"
"heroes.name_fancy.construct_gwynn","能流机械"
"heroes.name_fancy.construct_haulstone","负重机械"
"heroes.name_fancy.construct_hornfel","牛头人身机械"
"heroes.name_fancy.construct_japanese_doll","瓷娃娃机械"
"heroes.name_fancy.construct_nautica","航海机械"
"heroes.name_fancy.construct_nocturne","虚空坦克机械"
"heroes.name_fancy.construct_rhineglow","超级电容机械"
"heroes.name_fancy.construct_rustbeak","猫头鹰机械"
"heroes.name_fancy.construct_scoria","永燃机械"
"heroes.name_fancy.construct_shaal","牧师机械"
"heroes.name_fancy.construct_shacklebolt","禁锢机械"
"heroes.name_fancy.construct_skarn","灾祸冰霜机械"
"heroes.name_fancy.construct_tenebrae","暗黑公主机械"
"heroes.name_fancy.cultist_female_poisoner","反叛盗贼"
"heroes.name_fancy.cultist_inventor","疯狂科学家"
"heroes.name_fancy.cultist_inventor_costume_cute","卡通科学家"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","爱情博士"
"heroes.name_fancy.cultist_inventor_costume_steam","电子科学家"
"heroes.name_fancy.cultist_mage","恐怖魔法师"
"heroes.name_fancy.cultist_mage_costume_cute","卡通魔术师"
"heroes.name_fancy.cultist_mage_costume_glass","玻璃魔术师"
"heroes.name_fancy.cultist_mage_costume_voodoo","不死魔术师"
"heroes.name_fancy.cultist_sorceress","迪森西亚执行者"
"heroes.name_fancy.cultist_sorceress_costume_cute","卡通刽子手"
"heroes.name_fancy.cultist_sorceress_costume_glass","迪森西亚彩绘"
"heroes.name_fancy.cultist_sorceress_costume_shaman","迪森西亚女魔"
"heroes.name_fancy.cultist_sorceress_costume_snake","迪森西亚之蛇"
"heroes.name_fancy.cultist_thief","野心神偷"
"heroes.name_fancy.dark_god_aeron","坚定法官"
"heroes.name_fancy.dark_god_aeron_costume_periwig","假发法官"
"heroes.name_fancy.dark_god_akilius","狡猾复仇者"
"heroes.name_fancy.dark_god_anoushka","隐居女先知"
"heroes.name_fancy.dark_god_arfanias","暗影刺客"
"heroes.name_fancy.dark_god_chakkoszrot","蜥蜴人至尊祭司"
"heroes.name_fancy.dark_god_clarissa","傲慢通灵师"
"heroes.name_fancy.dark_god_grimble","驭羊地精"
"heroes.name_fancy.dark_god_hel","暗黑神仙"
"heroes.name_fancy.dark_god_hel_costume_omen","暗黑之兆"
"heroes.name_fancy.dark_god_kunchen","神秘浪客"
"heroes.name_fancy.dark_god_malicna","邪恶布道者"
"heroes.name_fancy.dark_god_morax","冥界祸根"
"heroes.name_fancy.dark_god_september","幻影刺客"
"heroes.name_fancy.dark_god_september_costume_engineer","幻影工程师"
"heroes.name_fancy.dark_god_seshat","狂热猎手"
"heroes.name_fancy.dark_god_seshat_costume_revenant","至高亡魂箭手"
"heroes.name_fancy.dark_god_sir_casmir","流浪卫士"
"heroes.name_fancy.dark_god_turgruk","凶残追踪者"
"heroes.name_fancy.dark_god_uthragan","猛毒污秽"
"heroes.name_fancy.dark_god_viscaro","堕落德鲁伊"
"heroes.name_fancy.dark_god_zed","帝国枪骑兵"
"heroes.name_fancy.dark_god_zulag","勇士"
"heroes.name_fancy.dwarven_guard","坚毅捍卫者"
"heroes.name_fancy.dwarven_guard_costume_cute","卡通捍卫者"
"heroes.name_fancy.dwarven_guard_costume_ram","重装守卫"
"heroes.name_fancy.dwarven_guard_costume_tavern","酒馆守卫"
"heroes.name_fancy.dwarven_scout","老手战士"
"heroes.name_fancy.dwarven_smasher","热血战士"
"heroes.name_fancy.dwarven_smasher_costume_cute","热血战士卡通"
"heroes.name_fancy.dwarven_smasher_costume_smith","熔炉之心"
"heroes.name_fancy.dwarwen_brewmaster","酿酒大师"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","卡通酿酒师"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","酿酒师彩绘"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","速弹大师"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","木雕大师"
"heroes.name_fancy.easter_archie","大羊驼吟游诗人"
"heroes.name_fancy.easter_archie_costume_gallant","无畏的大羊驼游吟诗人"
"heroes.name_fancy.easter_chick_jr","春谷侍从"
"heroes.name_fancy.easter_jasper","公牛花商"
"heroes.name_fancy.easter_jasper_costume_fisherman","渔人公牛"
"heroes.name_fancy.easter_killhare","野蛮春谷保护者"
"heroes.name_fancy.easter_killhare_costume_farmer","终极农夫"
"heroes.name_fancy.easter_lady_woolerton","春谷修缮者"
"heroes.name_fancy.easter_miss_ethel","斯普林维尔守护者"
"heroes.name_fancy.easter_sadie","顽皮野鸭"
"heroes.name_fancy.easter_sir_roostley","神力春谷骑士"
"heroes.name_fancy.easter_timothy","勇敢的小猪"
"heroes.name_fancy.easter_viscount_cluckwood","春谷术士"
"heroes.name_fancy.elemental_aconia","赛博盗贼"
"heroes.name_fancy.elemental_alfie","元素小丑"
"heroes.name_fancy.elemental_anzia","银河救世主"
"heroes.name_fancy.elemental_ash","残暴赏金猎手"
"heroes.name_fancy.elemental_craum","元素萨满"
"heroes.name_fancy.elemental_desmond","刀锋炼金术师"
"heroes.name_fancy.elemental_doxan","流亡等离子剑客"
"heroes.name_fancy.elemental_farrah","超音速剑圣"
"heroes.name_fancy.elemental_gastille","多维危害"
"heroes.name_fancy.elemental_griffex","现实改造者"
"heroes.name_fancy.elemental_griffex_costume_camera","幽影改造者"
"heroes.name_fancy.elemental_grilka","好客舵手"
"heroes.name_fancy.elemental_ignazio","火焰引导者"
"heroes.name_fancy.elemental_ignazio_costume_medic","烈焰外科医生"
"heroes.name_fancy.elemental_ironmaw","不屈半兽人战神"
"heroes.name_fancy.elemental_jequn","宇宙之谜"
"heroes.name_fancy.elemental_jequn_costume_gilded","鎏金之谜"
"heroes.name_fancy.elemental_jolt","电流航者"
"heroes.name_fancy.elemental_lexi","元素能量工匠"
"heroes.name_fancy.elemental_linus","无忧罪犯"
"heroes.name_fancy.elemental_niki","暗海镰刀大师"
"heroes.name_fancy.elemental_nova","火精灵收藏家"
"heroes.name_fancy.elemental_nylora","冷血刺客"
"heroes.name_fancy.elemental_quinn","宇宙厨师"
"heroes.name_fancy.elemental_roz","自然神射手"
"heroes.name_fancy.elemental_roz_costume_disco","迪斯科神枪手"
"heroes.name_fancy.elemental_vander","半机械人船长"
"heroes.name_fancy.elemental_xandrella","元素造物大师"
"heroes.name_fancy.elemental_xavier","双刀宗师"
"heroes.name_fancy.elemental_zandria","时空捍卫者"
"heroes.name_fancy.elemental_zaria","三眼通灵人"
"heroes.name_fancy.elemental_zengar","宇宙猛兽"
"heroes.name_fancy.elemental_zengar_costume_farmer","驯化野兽"
"heroes.name_fancy.elemental_zione","机械化快递专家"
"heroes.name_fancy.elemental_zuni","悬浮滑板精灵"
"heroes.name_fancy.elven_archer","贵族之心"
"heroes.name_fancy.elven_archer_costume_cute","贵族卡通"
"heroes.name_fancy.elven_archer_costume_glass","贵族彩绘"
"heroes.name_fancy.elven_archer_costume_moon","贵族守护者"
"heroes.name_fancy.elven_archer_costume_raven","贵族渡鸦"
"heroes.name_fancy.elven_captain","精灵老兵"
"heroes.name_fancy.elven_captain_costume_cavalier","精灵骑士"
"heroes.name_fancy.elven_captain_costume_cute","精灵卡通"
"heroes.name_fancy.elven_captain_costume_glass","精灵彩绘"
"heroes.name_fancy.elven_captain_costume_mask","精灵复仇者"
"heroes.name_fancy.exalted_female_statue","岩石长者"
"heroes.name_fancy.exalted_female_statue_costume_cute","岩石卡通"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","太阳长者"
"heroes.name_fancy.exalted_female_statue_costume_thorns","荆棘长者"
"heroes.name_fancy.exalted_warrior","冰雪长者"
"heroes.name_fancy.exalted_warrior_costume_cute","冰雪卡通"
"heroes.name_fancy.exalted_warrior_costume_glass","冰雪彩绘"
"heroes.name_fancy.exalted_warrior_costume_ice","冰雪方碑"
"heroes.name_fancy.exalted_warrior_costume_underworld","冥界长者"
"heroes.name_fancy.fables_boss_wolf","肃煞森林统治者"
"heroes.name_fancy.fables_cinderella","肃煞森林女仆"
"heroes.name_fancy.fables_frog_prince","王位继承人"
"heroes.name_fancy.fables_gnomer","肃煞森林哨兵"
"heroes.name_fancy.fables_gretel","肃煞森林巫师杀手"
"heroes.name_fancy.fables_hansel","肃煞森林巫师猎人"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","肃煞森林吸血鬼猎人"
"heroes.name_fancy.fables_pixie","肃煞森林妖精"
"heroes.name_fancy.fables_puss_in_boots","肃煞森林猫"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","蒙面猫匪"
"heroes.name_fancy.fables_red_hood","肃煞森林保护者"
"heroes.name_fancy.fables_rumpelstiltskin","肃煞森林小丑"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","永恒魔术师"
"heroes.name_fancy.fables_snow_white","肃煞森林公主"
"heroes.name_fancy.fables_snow_white_costume_slayer","杀手公主"
"heroes.name_fancy.faun_araminta","恐怖牧神战士"
"heroes.name_fancy.faun_ascian","全视的牧神占卜师"
"heroes.name_fancy.faun_bramble","温柔的牧神园丁"
"heroes.name_fancy.faun_gideon","勇敢的牧神指挥官"
"heroes.name_fancy.faun_isidore","超凡的牧神勇士"
"heroes.name_fancy.faun_jolyon","心思缜密的牧神工匠"
"heroes.name_fancy.faun_maud","雄心勃勃的牧神炼金师"
"heroes.name_fancy.faun_myrtle","疲惫的牧神草药师"
"heroes.name_fancy.faun_peregrine","鲁莽的牧神密探"
"heroes.name_fancy.faun_philomena","迷人的牧神吟游诗人"
"heroes.name_fancy.faun_saskia","疾走的牧神舞者"
"heroes.name_fancy.faun_tamlin","怪诞的牧神笛手"
"heroes.name_fancy.faun_verity","神秘的牧神商人"
"heroes.name_fancy.faun_yolanda","牧神血先知"
"heroes.name_fancy.faun_ysabel","无畏牧神角斗士"
"heroes.name_fancy.fire_god_anzogh","怨怒萨满"
"heroes.name_fancy.fire_god_ares","战斗之神"
"heroes.name_fancy.fire_god_ares_costume_keymaster","战争钥匙主"
"heroes.name_fancy.fire_god_doom","血污德鲁伊"
"heroes.name_fancy.fire_god_doom_costume_avenger","烈焰复仇者"
"heroes.name_fancy.fire_god_eliane","高阶红衣法师"
"heroes.name_fancy.fire_god_jean_francois","火枪手法师"
"heroes.name_fancy.fire_god_maple","奥本森林仙女"
"heroes.name_fancy.fire_god_nadnog","火焰医者"
"heroes.name_fancy.fire_god_natalya","火之女巫"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","火女裁缝"
"heroes.name_fancy.fire_god_neema","烈火巫师"
"heroes.name_fancy.fire_god_noor","麻雀私语者"
"heroes.name_fancy.fire_god_reuben","誓言术士"
"heroes.name_fancy.fire_god_roughian_and_nurgib","形影不离二人组"
"heroes.name_fancy.fire_god_russell","暴怒火法师"
"heroes.name_fancy.fire_god_skargremar","先驱后卫"
"heroes.name_fancy.fire_god_tahir","游牧猎人"
"heroes.name_fancy.fire_god_yang_mai","炽阳之拳"
"heroes.name_fancy.fire_god_zagrog","独行恶棍"
"heroes.name_fancy.fire_god_zarga","迅捷之刃"
"heroes.name_fancy.fire_god_zidane","迷人私掠者"
"heroes.name_fancy.fire_god_zimkitha","迷途女儿"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","失踪已久的冒险家"
"heroes.name_fancy.forest_archer","优秀弓箭手"
"heroes.name_fancy.forest_archer_costume_cute","卡通弓箭手"
"heroes.name_fancy.forest_archer_costume_glass","玻璃弓箭手"
"heroes.name_fancy.forest_archer_costume_warrior","机敏弓箭手"
"heroes.name_fancy.forest_female_druid","史前丛林德鲁伊"
"heroes.name_fancy.forest_female_druid_costume_cute","史前丛林卡通"
"heroes.name_fancy.forest_female_druid_costume_glass","史前丛林彩绘"
"heroes.name_fancy.forest_female_druid_costume_native","康考迪亚萨满"
"heroes.name_fancy.forest_female_elf","月光护盾大师"
"heroes.name_fancy.forest_female_elf_costume_cute","卡通护盾大师"
"heroes.name_fancy.forest_female_elf_costume_fairy","银月仙子"
"heroes.name_fancy.forest_female_elf_costume_mage","月光女祭司"
"heroes.name_fancy.forest_female_illusionist","植物语者"
"heroes.name_fancy.forest_female_spirit","沼泽英灵"
"heroes.name_fancy.forest_female_spirit_costume_autumn","果园英灵"
"heroes.name_fancy.forest_female_spirit_costume_cute","卡通精神"
"heroes.name_fancy.forest_female_spirit_costume_glass","玻璃英灵"
"heroes.name_fancy.forest_female_warrior","乡村姑娘"
"heroes.name_fancy.forest_friar","欢乐兄弟"
"heroes.name_fancy.forest_friar_costume_cute","欢乐卡通"
"heroes.name_fancy.forest_friar_costume_explorer","欢乐探索者"
"heroes.name_fancy.forest_friar_costume_glass","欢乐彩绘"
"heroes.name_fancy.forest_god_elinor","宝藏猎人"
"heroes.name_fancy.forest_god_elradir","星月森林的荒野巫师"
"heroes.name_fancy.forest_god_evelyn","勇敢继承者"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","勇敢女猎手"
"heroes.name_fancy.forest_god_grace","丛林半人鹿"
"heroes.name_fancy.forest_god_gregorion","熟练箭手"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","隐居炼金术师"
"heroes.name_fancy.forest_god_kingston","贵族刺客"
"heroes.name_fancy.forest_god_oberon","喜乐战士"
"heroes.name_fancy.forest_god_oberon_costume_everoak","艾福洛克骑士"
"heroes.name_fancy.forest_god_telluria","森林之神"
"heroes.name_fancy.forest_god_zeline","自然神仙"
"heroes.name_fancy.forest_god_zeline_costume_avian","飞禽神仙"
"heroes.name_fancy.forest_god_zocc","秘钥大师"
"heroes.name_fancy.forest_mage","森林智者"
"heroes.name_fancy.forest_mage_costume_cute","卡通巫师"
"heroes.name_fancy.forest_mage_costume_glass","森林彩绘"
"heroes.name_fancy.forest_mage_costume_party","派对巫师"
"heroes.name_fancy.forest_mage_costume_white","神力巫师"
"heroes.name_fancy.forest_male_elf","月光矛术大师"
"heroes.name_fancy.forest_male_elf_costume_cute","卡通矛术大师"
"heroes.name_fancy.forest_male_elf_costume_dark","银月之雄"
"heroes.name_fancy.forest_male_elf_costume_glass","玻璃矛术大师"
"heroes.name_fancy.forest_male_elf_costume_king","银月之王"
"heroes.name_fancy.forest_thug","佣兵暴徒"
"heroes.name_fancy.forest_titan","树林长者"
"heroes.name_fancy.forest_titan_costume_cute","树林卡通"
"heroes.name_fancy.forest_titan_costume_jester","木质小丑"
"heroes.name_fancy.forest_titan_costume_nightmare","林间梦魇"
"heroes.name_fancy.forest_woodsman","天真樵夫"
"heroes.name_fancy.forest_woodsman_warrior","神力兄弟"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","隐蔽兄弟"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","神力卡通"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","强大彩绘"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","神力高地人"
"heroes.name_fancy.fox_ashen","银背狐狸"
"heroes.name_fancy.fox_ember","召火狐狸"
"heroes.name_fancy.fox_foxglove","狡猾的蝙蝠耳狐"
"heroes.name_fancy.fox_foxley","法外之狐"
"heroes.name_fancy.fox_halcyon","哨兵灰狐"
"heroes.name_fancy.fox_nettletail","善良的林地守护狐"
"heroes.name_fancy.fox_nibbles","饥饿的狐狸幼崽"
"heroes.name_fancy.fox_riverfang","魔术师沙狐"
"heroes.name_fancy.fox_rust","赤狐守护者"
"heroes.name_fancy.fox_sable","失踪的狐狸公主"
"heroes.name_fancy.fox_shadowfang","沙狐集骨者"
"heroes.name_fancy.fox_silverpaw","海盗耳廓狐"
"heroes.name_fancy.fox_spiff","皇家骑士狐"
"heroes.name_fancy.fox_swiftpaw","银狐刺客"
"heroes.name_fancy.fox_whitefang","雪狐游侠"
"heroes.name_fancy.gargoyle_arco","坚毅的石像鬼"
"heroes.name_fancy.gargoyle_bellerive","捣蛋的石像鬼"
