"heroes.name.astral_cosmicspeaker","Космикспикер"
"heroes.name.construct_shaal","Шаал"
"heroes.name.construct_shacklebolt","Шеклболт"
"heroes.name.construct_sizzle3000","Сиззл 3000"
"heroes.name.construct_skarn","Скарн"
"heroes.name.construct_sylosis","Силоз"
"heroes.name.construct_tenebrae","Тенебра"
"heroes.name.construct_zavok","Завок"
"heroes.name.cultist_female_poisoner","Лайла"
"heroes.name.cultist_inventor","Квинт"
"heroes.name.cultist_mage","Бальтазар"
"heroes.name.cultist_sorceress","Сартана"
"heroes.name.cultist_thief","Флетчер"
"heroes.name.dark_god_aeron","Аэрон"
"heroes.name.dark_god_akilius","Акилий"
"heroes.name.dark_god_anoushka","Анушка"
"heroes.name.dark_god_arfanias","Арфаниас"
"heroes.name.dark_god_chakkoszrot","Чаккошрот"
"heroes.name.dark_god_clarissa","Кларисса"
"heroes.name.dark_god_grimble","Гримбл"
"heroes.name.dark_god_hel","Хел"
"heroes.name.dark_god_kunchen","Кунхен"
"heroes.name.dark_god_malicna","Маликна"
"heroes.name.dark_god_morax","Моракс"
"heroes.name.dark_god_september","Хиона"
"heroes.name.dark_god_seshat","Сешат"
"heroes.name.dark_god_sir_casmir","Сир Кашмир"
"heroes.name.dark_god_turgruk","Тургрук"
"heroes.name.dark_god_uthragan","Утраган"
"heroes.name.dark_god_viscaro","Вишкару"
"heroes.name.dark_god_zed","Зед"
"heroes.name.dark_god_zulag","Зулаг"
"heroes.name.draugr","Драугр"
"heroes.name.dwarven_guard","Борил"
"heroes.name.dwarven_scout","Торил"
"heroes.name.dwarven_smasher","Карил"
"heroes.name.dwarwen_brewmaster","Кирилл"
"heroes.name.easter_archie","Арчи"
"heroes.name.easter_chick_jr","Птенец Мл."
"heroes.name.easter_jasper","Джаспер"
"heroes.name.easter_killhare","Заяц-Убийца"
"heroes.name.easter_lady_woolerton","Леди Бараштон"
"heroes.name.easter_miss_ethel","Мисс Этель"
"heroes.name.easter_sadie","Сэди"
"heroes.name.easter_sir_roostley","Сэр Курли"
"heroes.name.easter_timothy","Тимоти"
"heroes.name.easter_viscount_cluckwood","Виконт Клаквуд"
"heroes.name.elemental_aconia","Акония"
"heroes.name.elemental_alfie","Альфи"
"heroes.name.elemental_anzia","Анзия"
"heroes.name.elemental_ash","Эш"
"heroes.name.elemental_craum","Кром"
"heroes.name.elemental_desmond","Десмонд"
"heroes.name.elemental_doxan","Доксан"
"heroes.name.elemental_farrah","Фарра"
"heroes.name.elemental_gastille","Гастилль"
"heroes.name.elemental_griffex","Гриффекс"
"heroes.name.elemental_grilka","Грилка"
"heroes.name.elemental_ignazio","Игнацио"
"heroes.name.elemental_ironmaw","Айронмо"
"heroes.name.elemental_jequn","Джеквун"
"heroes.name.elemental_jolt","Джоулт"
"heroes.name.elemental_lexi","Лекси"
"heroes.name.elemental_linus","Лин"
"heroes.name.elemental_niki","Ники"
"heroes.name.elemental_nova","Нова"
"heroes.name.elemental_nylora","Найлора"
"heroes.name.elemental_quinn","Квинн"
"heroes.name.elemental_roz","Роз"
"heroes.name.elemental_vander","Вандер"
"heroes.name.elemental_xandrella","Ксандрелла"
"heroes.name.elemental_xavier","Ксавье"
"heroes.name.elemental_zandria","Зандрия"
"heroes.name.elemental_zaria","Зария"
"heroes.name.elemental_zengar","Зенгар"
"heroes.name.elemental_zione","Зайон"
"heroes.name.elemental_zuni","Зьюни"
"heroes.name.elven_archer","Лианна"
"heroes.name.elven_captain","Кэдмон"
"heroes.name.exalted_female_statue","Справедливость"
"heroes.name.exalted_warrior","Магни"
"heroes.name.fables_boss_wolf","Большой волк"
"heroes.name.fables_cinderella","Золушка"
"heroes.name.fables_frog_prince","Принц-лягушка"
"heroes.name.fables_gnomer","Гномер"
"heroes.name.fables_gretel","Гретель"
"heroes.name.fables_hansel","Гензель"
"heroes.name.fables_pixie","Пикси"
"heroes.name.fables_puss_in_boots","Кот в сапогах"
"heroes.name.fables_rapunzel","Рапунцель"
"heroes.name.fables_red_hood","Красная шапочка"
"heroes.name.fables_rumpelstiltskin","Румпельштильцхен"
"heroes.name.fables_snow_white","Белоснежка"
"heroes.name.faun_araminta","Араминта"
"heroes.name.faun_ascian","Аскиан"
"heroes.name.faun_bramble","Брамбл"
"heroes.name.faun_gideon","Гидеон"
"heroes.name.faun_isidore","Изидор"
"heroes.name.faun_jolyon","Джолион"
"heroes.name.faun_maud","Мод"
"heroes.name.faun_myrtle","Миртл"
"heroes.name.faun_peregrine","Перегрин"
"heroes.name.faun_philomena","Филомена"
"heroes.name.faun_saskia","Саския"
"heroes.name.faun_tamlin","Тэмлин"
"heroes.name.faun_verity","Верити"
"heroes.name.faun_yolanda","Йоланда"
"heroes.name.faun_ysabel","Исабель"
"heroes.name.fire_god_anzogh","Анзох"
"heroes.name.fire_god_ares","Арес"
"heroes.name.fire_god_doom","Могильщик"
"heroes.name.fire_god_eliane","Элиан"
"heroes.name.fire_god_jean_francois","Жан-Франсуа"
"heroes.name.fire_god_maple","Мэйпл"
"heroes.name.fire_god_nadnog","Гразуль"
"heroes.name.fire_god_natalya","Наталья"
"heroes.name.fire_god_neema","Нима"
"heroes.name.fire_god_noor","Нур"
"heroes.name.fire_god_reuben","Ройбен"
"heroes.name.fire_god_roughian_and_nurgib","Ругиан и Нургиб"
"heroes.name.fire_god_russell","Рассел"
"heroes.name.fire_god_skargremar","Скаргремар"
"heroes.name.fire_god_tahir","Тахир"
"heroes.name.fire_god_yang_mai","Ян Май"
"heroes.name.fire_god_zagrog","Загрог"
"heroes.name.fire_god_zarga","Зарга"
"heroes.name.fire_god_zidane","Зидан"
"heroes.name.fire_god_zimkitha","Зимкифа"
"heroes.name.forest_archer","Берден"
"heroes.name.forest_female_druid","Бриенна"
"heroes.name.forest_female_elf","Кадилен"
"heroes.name.forest_female_illusionist","Дженне"
"heroes.name.forest_female_spirit","Белит"
"heroes.name.forest_female_warrior","Эйфи"
"heroes.name.forest_friar","Отец Тук"
"heroes.name.forest_god_elinor","Маргарет"
"heroes.name.forest_god_elradir","Элрадир"
"heroes.name.forest_god_evelyn","Эвелин"
"heroes.name.forest_god_grace","Грейс"
"heroes.name.forest_god_gregorion","Грегорион"
"heroes.name.forest_god_kingston","Кингстон"
"heroes.name.forest_god_oberon","Альберих"
"heroes.name.forest_god_telluria","Теллурия"
"heroes.name.forest_god_zeline","Зилайн"
"heroes.name.forest_god_zocc","Зокк"
"heroes.name.forest_mage","Мелендор"
"heroes.name.forest_male_elf","Элканен"
"heroes.name.forest_thug","Броган"
"heroes.name.forest_titan","Хоргал"
"heroes.name.forest_woodsman","Деррик"
"heroes.name.forest_woodsman_warrior","Малыш Джон"
"heroes.name.fox_ashen","Эшэн"
"heroes.name.fox_ember","Эмбер"
"heroes.name.fox_foxglove","Фоксглоув"
"heroes.name.fox_foxley","Фоксли"
"heroes.name.fox_halcyon","Хальсиона"
"heroes.name.fox_nettletail","Неттлтейл"
"heroes.name.fox_nibbles","Нибблс"
"heroes.name.fox_reynard","Рейнар"
"heroes.name.fox_riverfang","Риверфанг"
"heroes.name.fox_rust","Раст"
"heroes.name.fox_sable","Сэйбл"
"heroes.name.fox_shadowfang","Шэдоуфанг"
"heroes.name.fox_silverpaw","Сильверпо"
"heroes.name.fox_spiff","Спифф"
"heroes.name.fox_swiftpaw","Свифтпо"
"heroes.name.fox_whitefang","Вайтфанг"
"heroes.name.gargoyle_arco","Арко"
"heroes.name.gargoyle_bellerive","Беллерив"
"heroes.name.gargoyle_betty","Бетти"
"heroes.name.gargoyle_budatin","Будатин"
"heroes.name.gargoyle_el_duque","Эль-Дюк"
"heroes.name.gargoyle_gaillard","Гальярд"
"heroes.name.gargoyle_garten","Гартен"
"heroes.name.gargoyle_goseck","Госек"
"heroes.name.gargoyle_grumbl","Грамбл"
"heroes.name.gargoyle_guffa","Гуффа"
"heroes.name.gargoyle_hilda","Хильда"
"heroes.name.gargoyle_hohenwerf","Хоэнверф"
"heroes.name.gargoyle_kalo","Калё"
"heroes.name.gargoyle_kemeny","Кемени"
"heroes.name.gargoyle_matrera","Матрера"
"heroes.name.gargoyle_mena","Мена"
"heroes.name.gargoyle_penolite","Пеньолита"
"heroes.name.gargoyle_pophit","Пофит"
"heroes.name.gargoyle_soroca","Сорока"
"heroes.name.gargoyle_uwe","Уве"
"heroes.name.gargoyle_vincent","Винсент"
"heroes.name.gargoyle_vonreine","Фонрайн"
"heroes.name.garrison_archibald","Арчибальд"
"heroes.name.garrison_beatrice","Беатрис"
"heroes.name.garrison_caelen","Келен"
"heroes.name.garrison_ciara","Клара"
"heroes.name.garrison_dima","Дима"
"heroes.name.garrison_fergus","Фергус"
"heroes.name.garrison_flamehide","Флеймхайд"
"heroes.name.garrison_frank_fangs_brimwell","Фрэнк ""Клыкач"" Бримвелл"
"heroes.name.garrison_frostsnout","Фростснаут"
"heroes.name.garrison_godfrey","Годфри"
"heroes.name.garrison_greg","Грег"
"heroes.name.garrison_iarlaith","Ирлах"
"heroes.name.garrison_iocantha","Иоканта"
"heroes.name.garrison_kolya","Коля"
"heroes.name.garrison_maisie","Мейзи"
"heroes.name.garrison_pip","Пип"
"heroes.name.garrison_rosalind","Розалинд"
"heroes.name.garrison_shimmerscale","Шиммерскейл"
"heroes.name.garrison_theodosius","Теодосий"
"heroes.name.garrison_vanya","Ваня"
"heroes.name.garrison_violet_potts","Вайолет Поттс"
"heroes.name.garrison_william","Уильям"
"heroes.name.goblin_acidfire","Эйсидфайер"
"heroes.name.goblin_archer","Игольщик"
"heroes.name.goblin_boom_and_fang","Бум и Фанг"
"heroes.name.goblin_boots","Бутс"
"heroes.name.goblin_darkfeather","Даркфизер"
"heroes.name.goblin_deadboot","Дэдбут"
"heroes.name.goblin_fighter","Резчик"
"heroes.name.goblin_fizzcoil","Физзкойл"
"heroes.name.goblin_goldie","Голди"
"heroes.name.goblin_grimsteel","Гримстил"
"heroes.name.goblin_kettle","Кеттл"
"heroes.name.goblin_leafwizzle","Лифвиск"
"heroes.name.goblin_madhammer","Мэдхаммер"
"heroes.name.goblin_mage","Скитлскал"
"heroes.name.goblin_pepperflame","Пепперфлейм"
"heroes.name.goblin_rocket","Рокет"
"heroes.name.goblin_scrollbeast","Скроллбист"
"heroes.name.goblin_smarttongue","Смарттан"
"heroes.name.guardian_bat","Летучая мышь-хранитель"
"heroes.name.guardian_cat_warrior","Пантера-хранитель"
"heroes.name.guardian_chameleon","Хамелеон-хранитель"
"heroes.name.guardian_elephant","Гардиан Элефант"
"heroes.name.guardian_falcon_priest","Сокол-хранитель"
"heroes.name.guardian_gazelle","Газель-хранитель"
"heroes.name.guardian_gorilla_chieftain","Горилла-хранитель"
"heroes.name.guardian_hippo","Гиппопотам-хранитель"
"heroes.name.guardian_jackal_assassin","Шакал-хранитель"
"heroes.name.guardian_lemur","Лемур-хранитель"
"heroes.name.guardian_owl_gentleman","Сова-хранитель"
"heroes.name.guardian_zebra","Страж Зебра"
"heroes.name.guestip1_hero1","John Cena"
"heroes.name.guestip1_hero10","Charlotte Flair"
"heroes.name.guestip1_hero2","CM Punk"
"heroes.name.guestip1_hero3","Shawn Michaels"
"heroes.name.guestip1_hero4","Triple H"
"heroes.name.guestip1_hero5","Bianca Belair"
"heroes.name.guestip1_hero6","Roman Reigns"
"heroes.name.guestip1_hero7","Cody Rhodes"
"heroes.name.guestip1_hero8","Rhea Ripley"
"heroes.name.guestip1_hero9","Seth ""Freakin"" Rollins"
"heroes.name.halloween_alucard","Алукард"
"heroes.name.halloween_amber","Эмбер"
"heroes.name.halloween_ana_belle","Ана-Белль"
"heroes.name.halloween_chester","Честер"
"heroes.name.halloween_edwin","Эдвин"
"heroes.name.halloween_francine","Франсин"
"heroes.name.halloween_frank","Франк"
"heroes.name.halloween_goopy","Гупи"
"heroes.name.halloween_jack","Джек"
"heroes.name.halloween_lucinda","Люсинда"
"heroes.name.halloween_matilda","Матильда"
"heroes.name.halloween_miriam_and_midnight","Мириам и Миднайт"
"heroes.name.halloween_vanda","Ванда"
"heroes.name.halloween_wayne","Уэйн"
"heroes.name.hidden_dark_god_myztero","Мизтеро"
"heroes.name.holy_god_aurox","Аурокс"
"heroes.name.holy_god_aviana","Авиана"
"heroes.name.holy_god_bai_yeong","Бай Йонг"
"heroes.name.holy_god_celidana","Келидана"
"heroes.name.holy_god_delilah","Далила"
"heroes.name.holy_god_devana","Девана"
"heroes.name.holy_god_drake_lee","Дрейк Фонг"
"heroes.name.holy_god_faeona","Фэона"
"heroes.name.holy_god_gilligan","Гиллиган"
"heroes.name.holy_god_hanitra","Ханитра"
"heroes.name.holy_god_ithar","Итар"
"heroes.name.holy_god_kara","Кара"
"heroes.name.holy_god_malosi","Малоси"
"heroes.name.holy_god_may","Мэй"
"heroes.name.holy_god_musashi","Мусаши"
"heroes.name.holy_god_neith","Нейт"
"heroes.name.holy_god_onatel","Онатель"
"heroes.name.holy_god_ranvir","Ранвир"
"heroes.name.holy_god_uraeus","Урей"
"heroes.name.holy_god_zora","Зора"
"heroes.name.ice_god_alexandrine","Александрина"
"heroes.name.ice_god_areax","Ареакс"
"heroes.name.ice_god_athena","Афина"
"heroes.name.ice_god_balur","Балур"
"heroes.name.ice_god_callum","Гладий"
"heroes.name.ice_god_claeg","Клэг"
"heroes.name.ice_god_eskimo","Аласи"
"heroes.name.ice_god_frida","Фрида"
"heroes.name.ice_god_frosth","Фрост"
"heroes.name.ice_god_glenda","Гленда"
"heroes.name.ice_god_iris","Айрис"
"heroes.name.ice_god_klaern","Клаэрн"
"heroes.name.ice_god_mene","Мене"
"heroes.name.ice_god_miki","Мики"
"heroes.name.ice_god_nerasis","Неразида"
"heroes.name.ice_god_october","Эгир"
"heroes.name.ice_god_perseus","Персей"
"heroes.name.ice_god_raffaele","Рафаэль"
"heroes.name.ice_god_sini","Сини"
"heroes.name.ice_god_suzuna","Судзуна"
"heroes.name.ice_god_vela","Вела"
"heroes.name.journey_change","Чендж'и"
"heroes.name.journey_erlang_shen","Эрланг Шен"
"heroes.name.journey_general_yin","Генерал Инь"
"heroes.name.journey_heifeng_guai","Хэйфэн Гуай"
"heroes.name.journey_nineheaded_beast","Девятиглавое чудище"
"heroes.name.journey_queen_guowang","Императрица Гуовань"
"heroes.name.journey_sha_wujing","Ша Вуцзин"
"heroes.name.journey_sun_wukong","Сунь Укун"
"heroes.name.journey_tang_sanzang","Тан Саньцзан"
"heroes.name.journey_xie_zi_jing","Се Цзы Цзинь"
"heroes.name.journey_xiong_shanjun","Сюнь Шаньцзюнь"
"heroes.name.journey_xiwangmu","Сиванму"
"heroes.name.kalevala_aino","Айно"
"heroes.name.kalevala_iku_turso","Ику-Турсо"
"heroes.name.kalevala_ilmarinen","Ильмаринен"
"heroes.name.kalevala_joukahainen","Йоукахайнен"
"heroes.name.kalevala_kullervo","Куллерво"
"heroes.name.kalevala_lemminkainen","Лемминкяйнен"
"heroes.name.kalevala_louhi","Лоухи"
"heroes.name.kalevala_mielikki","Миеликки"
"heroes.name.kalevala_mother_lemminkainen","Мать Лемминкяйнен"
"heroes.name.kalevala_otso","Отсо"
"heroes.name.kalevala_para","Пара"
"heroes.name.kalevala_suomuhauki","Суомухауки"
"heroes.name.kalevala_ukkonen","Юкконен"
"heroes.name.kalevala_vainamoinen","Вяйнямёйнен"
"heroes.name.kingdom_cao_cao","Цао Цао"
"heroes.name.kingdom_diaochan","Дяочань"
"heroes.name.kingdom_guan_yu","Гуань Юй"
"heroes.name.kingdom_jing","Цзин"
"heroes.name.kingdom_li","Ли"
"heroes.name.kingdom_liu_bei","Лю Бэй"
"heroes.name.kingdom_lu_bu","Лу Бу"
"heroes.name.kingdom_sun_quan","Сунь Цюань"
"heroes.name.kingdom_sun_shangxiang","Сунь Шансян"
"heroes.name.kingdom_wang_yuanji","Ван Юаньцзи"
"heroes.name.kingdom_xiahou_dun","Сяхоу Дунь"
"heroes.name.kingdom_yao","Яо"
"heroes.name.kingdom_zhang_fei","Чжан Фэй"
"heroes.name.kingdom_zhou_yu","Чжоу Юй"
"heroes.name.kingdom_zhuge_liang","Чжугэ Лян"
"heroes.name.knights_bauchan","Баучан"
"heroes.name.knights_black_knight","Черный рыцарь"
"heroes.name.knights_gawain","Гавейн"
"heroes.name.knights_green_knight","Зеленый рыцарь"
"heroes.name.knights_guinevere","Гвиневра"
"heroes.name.knights_king_arthur","Король Артур"
"heroes.name.knights_lady_of_the_lake","Повелительница озера"
"heroes.name.knights_merlin","Мерлин"
"heroes.name.knights_mordred","Мордред"
"heroes.name.knights_morgan_le_fay","Морган Ле Фэй"
"heroes.name.knights_sir_lancelot","Сэр Ланселот"
"heroes.name.knights_treevil","Тривил"
"heroes.name.lionman_barbarian","Азлар"
"heroes.name.lizardman_trapper","Кашрек"
"heroes.name.lizardman_warrior","Исштак"
"heroes.name.lunar_new_year_baishu","Байшу"
"heroes.name.lunar_new_year_gongniu","Гунню"
"heroes.name.lunar_new_year_laohu","Лаоху"
"heroes.name.lunar_new_year_qinglong","Цинлун"
"heroes.name.lunar_new_year_xiaoqing","Сяоцинь"
"heroes.name.lunar_new_year_xiaotu","Сяоту"
"heroes.name.magic_agrafena","Аграфена"
"heroes.name.magic_anastasia","Анастасия"
"heroes.name.magic_anton","Антон"
"heroes.name.magic_becky","Бекки"
"heroes.name.magic_camilla","Камилла"
"heroes.name.magic_carpet_agadh","Агад"
"heroes.name.magic_carpet_bart","Барт"
"heroes.name.magic_carpet_bertha","Берта"
"heroes.name.magic_carpet_elyssa","Элисса"
"heroes.name.magic_carpet_lando","Ландо"
"heroes.name.magic_carpet_lilli","Лилли"
"heroes.name.magic_carpet_manpip","Мэнпип"
"heroes.name.magic_carpet_naeem","Наим"
"heroes.name.magic_carpet_ragrim","Рагрим"
"heroes.name.magic_carpet_zazha","Зажа"
"heroes.name.magic_cristobal","Кристобаль"
"heroes.name.magic_dolgoon","Долгуун"
"heroes.name.magic_jett","Джет"
"heroes.name.magic_kornel","Корнель"
"heroes.name.magic_lucy","Люси"
"heroes.name.magic_milena","Милена"
"heroes.name.magic_motega","Мотега"
"heroes.name.magic_nadezhda","Надежда"
"heroes.name.magic_ray","Рэй"
"heroes.name.magic_roxia","Роша"
"heroes.name.magic_sergei","Сергей"
"heroes.name.magic_telonius","Телоний"
"heroes.name.magic_ulius","Юлиус"
"heroes.name.magic_vaishali","Вайшали"
"heroes.name.magic_willow","Уиллоу"
"heroes.name.magitech_sniper","Домиция"
"heroes.name.mahayoddha_bhima","Бима"
"heroes.name.mahayoddha_chitrangada","Читрангада"
"heroes.name.masquerade_alessia","Алессия"
"heroes.name.masquerade_aradia","Арадия"
"heroes.name.masquerade_carmenta","Кармента"
"heroes.name.masquerade_cel","Сель"
"heroes.name.masquerade_februus","Фебрус"
"heroes.name.masquerade_fortuna","Фортуна"
"heroes.name.masquerade_fosco","Фоско"
"heroes.name.masquerade_jana","Яна"
"heroes.name.masquerade_jove","Юпитер"
"heroes.name.masquerade_umbria","Умбрия"
"heroes.name.mighty_pet_barkley","Баркли"
"heroes.name.mighty_pet_bubbles","Баблз"
"heroes.name.mighty_pet_chomper","Чомпер"
"heroes.name.mighty_pet_cinnamon","Коричка"
"heroes.name.mighty_pet_cupcake","Кексик"
"heroes.name.mighty_pet_furdinand","Мехаил"
