"specials.name.a_cozy_break","Уютный перерыв"
"specials.name.archaic_sacred_symbol","Старый священный символ"
"specials.name.arctic_breeze","Дыхание севера"
"specials.name.arctic_veil","Арктическая вуаль"
"specials.name.arctic_wound","Арктическая рана"
"specials.name.arrow_of_desire","Стрела желания"
"specials.name.arrow_of_nujalik","Стрела Нуялик"
"specials.name.arrows_and_claws","Стрелы и когти"
"specials.name.arrows_of_frost","Стрелы мороза"
"specials.name.arrows_of_fury","Стрелы ярости"
"specials.name.artful_backstab","Искусный удар в спину"
"specials.name.artful_recreation","Восстановление шедевра"
"specials.name.ashes_to_ashes","Пепел к пеплу"
"specials.name.assassins_blades","Клинки убийцы"
"specials.name.assassins_in_the_night","Убийцы в ночи"
"specials.name.assassins_in_the_night_pve","Убийцы в ночи"
"specials.name.asterius","Бычий бег"
"specials.name.astral_brew","Астральное варево"
"specials.name.astral_dominion","Астральная власть"
"specials.name.astral_gemstones","Астральные самоцветы"
"specials.name.astral_myrrh","Астральная мирра"
"specials.name.astral_pastries","Астральные сласти"
"specials.name.astral_summon","Астральный призыв"
"specials.name.athenas_arrow","Стрела Афины"
"specials.name.athenas_bow","Лук Афины"
"specials.name.atlantean_blade","Меч атлантов"
"specials.name.atlantean_blade_costume","Клинок атлантов"
"specials.name.atlantean_charge","Заряд амфибий"
"specials.name.attack_rally","Массированная атака"
"specials.name.aura_of_twilight","Аура Полночи"
"specials.name.aura_wave","Волна ауры"
"specials.name.autumnal_wind","Осенний ветер"
"specials.name.avenger_of_mothkind","Крылатый мститель"
"specials.name.awaken_ki","Пробуждение ци"
"specials.name.awe_bolt","Ядовитая стрела"
"specials.name.axe_of_retribution","Топор мести"
"specials.name.axe_throw","Бросок топора"
"specials.name.azurelight_greatsword","Громадный меч лазурного света"
"specials.name.backstab","Удар в спину"
"specials.name.bad_fortune","Неудача"
"specials.name.bag_of_necessities","Набор необходимого"
"specials.name.balanced_teamwork","Сбалансированная командная работа"
"specials.name.ballad_of_attraction","Баллада притяжения"
"specials.name.ballad_of_condemnation","Баллада осуждения"
"specials.name.ballad_of_obsession","Баллада одержимости"
"specials.name.ballad_of_pain","Баллада боли"
"specials.name.ballad_of_passion","Баллада страсти"
"specials.name.ballad_of_purple_swan","Баллада темного лебедя"
"specials.name.ballad_of_restoration","Баллада возрождения"
"specials.name.ballad_of_the_purple_swan","Баллада темного лебедя"
"specials.name.bandalore_dance","Танец с йо-йо"
"specials.name.barb_sting_dragon_pve","Укол шипом"
"specials.name.barbed_arrows","Зазубренные стрелы"
"specials.name.barbed_bolt_zidane","Зазубренный разряд"
"specials.name.bark_of_protection","Защитный лай"
"specials.name.basilisk_breath","Дыхание василиска"
"specials.name.battering_ram","Стенобитное орудие"
"specials.name.battle_boast","Боевое бахвальство"
"specials.name.battleclaw_strike","Удар боевых когтей"
"specials.name.beach_party","Пляжная вечеринка"
"specials.name.bee_bombast","Пчелиный пафос"
"specials.name.bee_bravado","Пчелиная бравада"
"specials.name.beetle_strike","Укус жука"
"specials.name.berserker_strike","Удар берсерка"
"specials.name.bewildering_riddle","Головоломная загадка"
"specials.name.bewitched_daggers","Зачарованные клинки"
"specials.name.birch_blessing","Благословение березы"
"specials.name.bite_of_protection","Защитный укус"
"specials.name.bites_of_disorientation","Дезориентирующие укусы"
"specials.name.bitter_berry_blast_dragon_pve","Взрыв горьких ягод"
"specials.name.bizarre_mist","Странный туман"
"specials.name.black_tassel_spear_sting","Укол копьем с черной кисточкой"
"specials.name.black_tide","Черная волна"
"specials.name.blade_barrage","Град ударов клинком"
"specials.name.blade_dance","Клинки на танцполе"
"specials.name.blade_of_bundelkhand","Клинок Бунделкханда"
"specials.name.blade_tail_swipe","Удар острого хвоста"
"specials.name.blade_venom","Отравленные клинки"
"specials.name.blade_wings","Крылья-клинки"
"specials.name.blazing_beak","Пылающий клюв"
"specials.name.blazing_corolla","Пылающий венчик"
"specials.name.blazing_inferno","Пылающий ад"
"specials.name.blazing_rave_dance","Пламенный бушующий танец"
"specials.name.blazing_slam_dunk","Пылающий заброс"
"specials.name.blazing_venom","Пылающий яд"
"specials.name.bleed_inducing_daggers","Кинжалы кровотечения"
"specials.name.bleeding_edge","Окровавленный клинок"
"specials.name.bleeding_hammer","Кровоточащий молот"
"specials.name.bleeding_stab","Кровоточащая рана"
"specials.name.bleeding_thrust","Кровоточащая рана"
"specials.name.blessed_blade","Счастливые клинки"
"specials.name.blessed_blade_pve","Счастливые клинки"
"specials.name.blessed_brew","Священное варево"
"specials.name.blessed_solo","Блаженное соло"
"specials.name.blessed_tankard","Благословенная кружка"
"specials.name.blessing_from_the_future","Благословение из будущего"
"specials.name.blessing_of_gjallarhorn","Благословение Гьяллархорна"
"specials.name.blessing_of_the_evergrove","Благословение Эвергроув"
"specials.name.blessing_of_the_skies","Благословение небес"
"specials.name.blind_rage","Слепая ярость"
"specials.name.blinding_attack","Ослепляющая атака"
"specials.name.blinding_curse","Ослепляющее проклятие"
"specials.name.blinding_flash","Слепящая вспышка"
"specials.name.blinding_flash_s4","Слепящая вспышка"
"specials.name.blinding_knowledge","Ослепляющее знание"
"specials.name.blinding_light","Слепящий свет"
"specials.name.blinding_orb","Слепящий шар"
"specials.name.blinding_pounce","Ослепительный удар"
"specials.name.blinding_spell","Ослепляющее заклинание"
"specials.name.blinding_spit","Слепящий плевок"
"specials.name.blinding_stinger","Слепящее жало"
"specials.name.blinding_strike","Ослепляющий удар"
"specials.name.blinding_wisdom","Ошеломительная мудрость"
"specials.name.blizzard","Буря"
"specials.name.blizzard_roar","Бушующий рык"
"specials.name.blob_of_fury","Шар ярости"
"specials.name.blood_illusion","Кровавый мираж"
"specials.name.blood_petals_of_the_withered","Кровавые лепестки"
"specials.name.blood_sacrifice","Кровавый удар"
"specials.name.bloodthirst","Жажда крови"
"specials.name.blooming_growth","Цветущий отросток"
"specials.name.bludgeoning","Избиение"
"specials.name.blue_shroom_wand","Синяя грибная палочка"
"specials.name.blur_of_steel","Тень клинка"
"specials.name.blur_of_steel_pve","Тень клинка"
"specials.name.boar_call","Рев вепря"
"specials.name.boar_charge","Рывок вепря"
"specials.name.boar_of_fury","Вепрь ярости"
"specials.name.boat_ride_from_the_beyond","Потусторонний паром"
"specials.name.bobo_blitz","Вихрь Бобо"
"specials.name.bolstering_rush","Усиливающий рывок"
"specials.name.bond_of_avarice","Связь алчности"
"specials.name.bone_arrow","Костяная стрела"
"specials.name.bone_club_clonk","Удар костяной дубиной"
"specials.name.bone_club_party","Костяная вечеринка"
"specials.name.bone_ritual","Ритуал костей"
"specials.name.bone_slam","Удар костей"
"specials.name.bone_toss","Парящие кости"
"specials.name.booming_mend","Гремящее лечение"
"specials.name.boon_of_gjallarhorn","Дар Гьяллархорна"
"specials.name.boopstrike","Пуньк в нос"
"specials.name.boreal_bash","Северная схватка"
"specials.name.boulder_smash","Сокрушающая глыба"
"specials.name.bound_by_tales","Связанные историями"
"specials.name.bounty_of_the_spring","Весенние дары"
"specials.name.bouquet_of_the_seas","Морской аромат"
"specials.name.brain_link","Связь разумов"
"specials.name.branded_by_fire","Метка огня"
"specials.name.break_free","Освобождение"
"specials.name.break_strike","Яростный удар"
"specials.name.breaker_blade","Клинок крушителя"
"specials.name.breaker_blade_pve","Клинок крушителя"
"specials.name.breath_of_darkness","Дыхание тьмы"
"specials.name.breath_of_life","Дыхание жизни"
"specials.name.breath_of_the_abyss","Дыхание бездны"
"specials.name.brides_kiss","Поцелуй невесты"
"specials.name.brilliant_brew","Замечательное зелье"
"specials.name.bringer_of_order","Несущая порядок"
"specials.name.brittling_burst","Ломкий взрыв"
"specials.name.brittling_force","Сокрушительная сила"
"specials.name.brittling_strike","Ломкий удар"
"specials.name.bruiser_bros","Братья вышибалы"
"specials.name.brutal_bull_rush","Бычий бег"
"specials.name.brutal_support","Жесткая поддержка"
"specials.name.buccaneers_blade","Клинок пиратов"
"specials.name.bugs_shell","Жучиный панцирь"
"specials.name.bulwark_charge","Укрывающий заряд"
"specials.name.burning_ashes","Пылающие угли"
"specials.name.burning_ashes2","Пылающие угли"
"specials.name.burning_chains","Горящие цепи"
"specials.name.burning_claws_dragon_pve","Горящие когти"
"specials.name.burning_javelin","Пылающее копье"
"specials.name.burning_pollen_dragon_pve","Огненные крылья"
"specials.name.burning_shields","Горящие щиты"
"specials.name.burning_spin","Горящее вращение"
"specials.name.burning_strike","Пылающий заряд"
"specials.name.burning_thread","Горящая нить"
"specials.name.burning_wok","Горящий вок"
"specials.name.but_a_scratch","Ни царапины"
"specials.name.butterfly_swarm","Рой бабочек"
"specials.name.call_of_the_elements","Зов стихий"
"specials.name.call_to_arms","Призыв к оружию"
"specials.name.calling_the_bluff","Раскрытие блефа"
"specials.name.calm_jab_dragon_pve","Успокоительный тычок"
"specials.name.calming_mist","Умиротворяющий туман"
"specials.name.camouflage_foliage","Камуфляжная листва"
"specials.name.candy_vines","Конфетные лозы"
"specials.name.cannon_blast","Пушечный удар"
"specials.name.cannonball_splash","Падение ядра"
"specials.name.capsicum_charge","Заряд перца"
"specials.name.captains_cutlass","Капитанская сабля"
"specials.name.captivating_illusions","Захватывающие иллюзии"
"specials.name.carve_a_hole","Прорезание дыр"
"specials.name.carve_the_bones","Вырезай на костях"
"specials.name.cascading_darkness","Падение темноты"
"specials.name.cascading_whirlwind","Передающийся вихрь"
"specials.name.cataclysmic_divination","Катастрофическое предсказание"
"specials.name.catnip_fury","Ярость кошачьей мяты"
"specials.name.cauterizing_flame","Клеймящее касание"
"specials.name.cauterizing_touch","Клеймящее касание"
"specials.name.cavalier_hat_of_dark_realm","Шляпа рыцаря темного мира"
"specials.name.celestial_anvil","Звездная наковальня"
"specials.name.ceremonial_dance","Церемониальный танец"
"specials.name.chain_blasm_strike","Цепной взрывной удар"
"specials.name.chain_lightning","Цепь молний"
"specials.name.chain_of_pain","Цепочка боли"
"specials.name.chain_strike","Цепной удар"
"specials.name.chains_of_light","Цепи света"
"specials.name.chakram_kick","Удар шакрама"
"specials.name.challenge_the_strongest","Вызов сильнейшему"
"specials.name.champion_maneuver","Геройский маневр"
"specials.name.championship_carrot","Чемпионская морковь"
"specials.name.change_stance","Удар наудачу"
"specials.name.channel_ki","Направление ци"
"specials.name.channeler_of_the_cats","Глашатай котов"
"specials.name.channeler_of_the_gods","Глашатай богов"
"specials.name.chaos_bolt_volley","Залпы хаотичных разрядов"
"specials.name.chaos_venom","Яд хаоса"
"specials.name.charged_fireball_dragon_pve","Мощный огненный шар"
"specials.name.charm_of_protection","Чары защиты"
"specials.name.charmed_dual_blade","Зачарованный двойной клинок"
"specials.name.charmers_blades","Клинки заклинателя"
"specials.name.cheerful_charm","Веселящие чары"
"specials.name.cherry_pudding_served","Вишневый пудинг подан!"
"specials.name.chieftains_vengeance","Месть вождя"
"specials.name.chilling_counterattack","Морозная контратака"
"specials.name.chilling_slash","Режущий удар"
"specials.name.chitin_cage","Хитиновая клетка"
"specials.name.chords_of_distortion","Аккорды искажения"
"specials.name.chords_of_havoc","Ноты опустошения"
"specials.name.chords_of_inferno","Адские аккорды"
"specials.name.claw_power","Ярость гоблина"
"specials.name.claw_swipe","Удар когтями"
"specials.name.claws_of_fury","Яростные когти"
"specials.name.claws_of_the_hunter","Когти охотника"
"specials.name.claws_of_the_lioness","Когти львицы"
"specials.name.claws_of_the_night","Когти ночи"
"specials.name.claws_of_the_night_ultimate_boss","Когти ночи"
"specials.name.cleansing_determination","Уверенное очищение"
"specials.name.cleansing_determination_pve","Уверенное очищение"
"specials.name.cleansing_strike","Очищающий удар"
"specials.name.cleave_and_reflect","Раскол и отражение"
"specials.name.cleave_counter","Скол и удар"
"specials.name.clever_stratagem","Хитрый маневр"
"specials.name.cloak_of_feathers","Плащ из перьев"
"specials.name.close_order_formation","Плотно сомкнутое построение"
"specials.name.cloth_of_constellations","Ткань созвездий"
"specials.name.cloud_axe","Облачный топор"
"specials.name.cloud_hammer","Облачный молот"
"specials.name.clowns_blessing","Благословление клоуна"
"specials.name.coiling_whip","Извивающийся кнут"
"specials.name.coins_of_pain","Монеты боли"
"specials.name.cold_blast","Буря"
"specials.name.cold_blast_single","Холодный взрыв"
"specials.name.cold_command","Хладнокровный приказ"
"specials.name.cold_fire","Холодное пламя"
"specials.name.colossal_bite","Исполинский укус"
"specials.name.colossal_carry","Неподъемная ноша"
"specials.name.colossal_chops","Великанские удары"
"specials.name.comet","Обжигающий луч"
"specials.name.command_pack","Управление стаей"
"specials.name.command_sand_golems","Управление песчаными големами"
"specials.name.command_to_advance","Приказ наступать"
"specials.name.command_to_advance_costume_fire_bat","Приказ наступать"
"specials.name.commanders_gauntlet","Перчатка командира"
"specials.name.commodores_malice","Безумие командира"
"specials.name.commodores_revenge","Месть коммодора"
"specials.name.compact_lance","Компактное копье"
"specials.name.concussive_charge","Сотрясающий удар"
"specials.name.confident_strategy","Уверенная тактика"
"specials.name.conjure_the_azure_spirit","Призыв лазурного духа"
"specials.name.connect_ki","Подключение ци"
"specials.name.connect_ki_pve","Подключение ци"
"specials.name.conquerors_command","Команда покорителя"
"specials.name.constellation_crush","Сокрушение созвездий"
"specials.name.corals_of_nourishment","Питательные кораллы"
"specials.name.core_beam","Мощный луч"
"specials.name.core_blast","Ядерный взрыв"
"specials.name.core_burst","Мощный взрыв"
"specials.name.corroding_cutlass","Разъедающая сабля"
"specials.name.corrosive_acid","Разъедающий яд"
"specials.name.corrosive_burn_claws_dragon_pve","Разъедающие жгучие когти"
"specials.name.corrosive_claws_dragon_pve","Разъедающие ядовитые когти"
"specials.name.corrosive_pollen","Разъедающая пыльца"
"specials.name.corrupting_idol","Идол зла"
"specials.name.cosmic_clock","Космические часы"
"specials.name.cosmic_devotion","Космическая преданность"
"specials.name.countering_hammock","Контр-гамак"
"specials.name.counterstance","Защитная стойка"
"specials.name.couriers_dash","Рывок курьера"
"specials.name.cover_slam","Укрывающий удар"
"specials.name.covert_stab","Беспощадный удар"
"specials.name.cracked_skull_strike","Раскалывающий череп удар"
"specials.name.crawling_vines","Ползущие лозы"
"specials.name.crazed_lunge","Безумный бросок"
"specials.name.crazed_stampede","Сумасшедшая давка"
"specials.name.creative_hands","Умелые руки"
"specials.name.creeping_venom","Ползучий яд"
"specials.name.creeping_vines","Ползучая лоза"
"specials.name.crescent_moon_strike","Удар полумесяца"
"specials.name.crescent_shield","Щит полумесяца"
"specials.name.crescent_spear","Копье полумесяца"
"specials.name.crimson_blade","Алый клинок"
"specials.name.crimson_calamity","Алая катастрофа"
"specials.name.crimson_calamity2","Алая катастрофа"
"specials.name.crippling_claws","Калечащие когти"
"specials.name.crippling_claws_pve","Калечащие когти"
"specials.name.crippling_grapple","Терзающий захват"
"specials.name.critical_cookout","Критическая готовка"
"specials.name.critical_tactics","Критическая тактика"
"specials.name.croc_bite","Укус крокодила"
"specials.name.crush_of_avarice","Сокрушение алчности"
"specials.name.crush_of_hel","Сокрушение Хел"
"specials.name.crush_of_malice","Удар безумия"
"specials.name.crushing_claws","Крушащие когти"
"specials.name.crushing_shot","Сокрушительный выстрел"
"specials.name.crust_of_divinity","Божественная корочка"
"specials.name.cry_for_absolution","Мольба о прощении"
"specials.name.crystal_barrage","Кристальная атака"
"specials.name.crystal_bombardment","Бомбардировка кристаллами"
"specials.name.crystal_embrace","Кристальное объятие"
"specials.name.crystalis","Морозный кристалл"
"specials.name.crystalline_strike","Кристалльный удар"
"specials.name.cub_leader_cut","Удар неопытного лидера"
"specials.name.cube_of_dark_realm","Куб царства тьмы"
"specials.name.cunning_knife","Коварный нож"
"specials.name.cup_of_mead","Кружка меда"
"specials.name.curse_of_sargasso","Проклятие Саргассо"
"specials.name.curse_of_the_cephaloid","Проклятие цефалоида"
"specials.name.curse_of_the_depths","Проклятие глубин"
"specials.name.curse_of_the_sea","Проклятие моря"
"specials.name.curse_of_the_specter","Проклятие призрака"
"specials.name.curse_of_the_specter_pve","Проклятие призрака"
"specials.name.cursed_fumes","Проклятый дым"
"specials.name.cursed_fumes2","Проклятый дым"
"specials.name.cursed_garden","Проклятый сад"
"specials.name.cursed_painting","Проклятая картина"
"specials.name.cursed_strike","Проклятый удар"
"specials.name.cursed_tail_whip","Проклятый удар хвостом"
"specials.name.cut_cure_and_craze","Порез, лечение, безумие"
"specials.name.cut_down_the_competition","Уничтожение конкурентов"
"specials.name.cuts_of_hulu","Порезы хулу"
"specials.name.dagger_of_shadows","Клинок теней"
"specials.name.dance_of_fire","Танец огня"
"specials.name.dance_of_flame","Танец пламени"
"specials.name.dance_of_glass","Танец стекла"
"specials.name.dance_of_ignition","Танец пламени"
"specials.name.dance_of_siegfried","Танец Зигфрида"
"specials.name.dance_of_spirits","Танец духов"
"specials.name.dance_of_the_dunes","Танец дюн"
"specials.name.dance_of_the_heron","Танец цапли"
"specials.name.dance_of_the_little_swan","Танец маленького лебедя"
"specials.name.dance_of_the_queen","Танец королевы"
"specials.name.dance_of_the_raven","Танец черного лебедя"
"specials.name.dance_of_the_slimy","Танец слизи"
"specials.name.dance_of_the_swan","Танец лебедя"
"specials.name.dance_of_the_yellow_swan","Танец светлого лебедя"
"specials.name.dance_of_toons","Танец мультяшек"
"specials.name.dancestance","Танцевальная поза"
"specials.name.dancing_dodge","Танец уклонения"
"specials.name.dancing_slash","Танец ран"
"specials.name.dantes_inferno","Ад Данте"
"specials.name.dark_barrage","Темный вал"
"specials.name.dark_bolt","Заряд тьмы"
"specials.name.dark_lord","Удар судьбы"
"specials.name.dark_mirror","Зеркало огня"
"specials.name.dark_orb","Шар Тьмы"
"specials.name.dark_shock","Темный шок"
"specials.name.darts_of_the_deep","Дротики Глубин"
"specials.name.dauntless_bladestorm","Неиссякаемый вихрь клинков"
"specials.name.dawn_strike","Удар рассвета"
"specials.name.dawnlight_rally","Рассветная гонка"
"specials.name.day_of_judgement","Судный день"
"specials.name.day_of_reckoning","День расплаты"
"specials.name.dazzling_gleam","Ослепительный блеск"
"specials.name.dazzling_grin","Ослепительная улыбка"
"specials.name.deadly_claw","Смертоносный коготь"
"specials.name.deadly_constriction","Смертельное удушье"
"specials.name.deadly_riposte","Смертельный выпад"
"specials.name.deadly_sting","Смертоносное жало"
"specials.name.deathly_glaive","Смертоносная глевия"
"specials.name.deathstrike","Смертельный удар"
"specials.name.deceiving_glow","Обманчивый блеск"
"specials.name.deceptive_smalltalk","Обманчивая беседа"
"specials.name.deep_sea_ritual","Ритуал глубин"
"specials.name.defensive_tactics","Оборонная тактика"
"specials.name.delay_the_inevitable","Отсрочка неизбежного"
"specials.name.delicious_demise","Сладкая смерть"
"specials.name.delicious_idol","Сладкий божок"
"specials.name.demolishing_crush","Поглощающий удар"
"specials.name.demoralizing_banter","Ослабляющая ссора"
"specials.name.depth_blast","Смертельный взрыв"
"specials.name.deranged_existence","Безумное существование"
"specials.name.desert_blessing","Благословение пустыни"
"specials.name.destructive_strike","Выпад с трезубцем"
"specials.name.deteriorating_morale","Падение боевого духа"
"specials.name.devastating_slash","Опустошительный удар"
"specials.name.devastating_thrust","Обессиливающий удар"
"specials.name.dewling_strike","Орошающий удар"
"specials.name.dewling_sweep","Орошающий взмах"
"specials.name.dewling_warcry","Орошающий боевой крик"
"specials.name.dig_a_hole","Углубление"
"specials.name.dire_ghost","Ужасный призрак"
"specials.name.directors_blessing","Благословение директора"
"specials.name.directors_blessing_pve","Благословение директора"
"specials.name.disabling_decree","Ослабляющий запрет"
"specials.name.disabling_study","Калечащая учеба"
"specials.name.disarming_gaze_dragon_pve","Обезоруживающий взор"
"specials.name.disheartening_riddle","Удручающая загадка"
"specials.name.dishonorable_ploy","Бесчестный прием"
"specials.name.disir_of_dreams","Дис мечты"
"specials.name.disir_of_dusk","Дисы сумерек"
"specials.name.dispelling_curse","Очистительное проклятие"
"specials.name.dispelling_judgement","Развеивающий приговор"
"specials.name.dispelling_potion","Рассеивающее зелье"
"specials.name.dispelling_strike","Рассеивающий удар"
"specials.name.dispelling_willpower","Очистительная воля"
"specials.name.dispelling_willpower_pve","Очистительная воля"
"specials.name.disquieting_tune","Тревожный мотив"
"specials.name.disrupting_charge","Рассеивающий выстрел"
"specials.name.disrupting_charge_costume_tiger_lord","Хаотический натиск"
"specials.name.divine_connection","Божественная связь"
"specials.name.divine_light1","Божественный свет"
"specials.name.divine_lunge","Божественный выпад"
"specials.name.divine_protection","Божественная защита"
"specials.name.divine_protection_deadly","Божественная защита"
"specials.name.divine_reflection","Божественное отражение"
"specials.name.divine_reversal","Божественное восстановление"
"specials.name.dizzying_strike","Ошеломляющий удар"
"specials.name.donut_to_the_rescue","Пончик спешит на помощь!"
"specials.name.doomstrike","Удар судьбы"
"specials.name.double_flail_mayhem","Буйство двойного цепа"
"specials.name.double_strike","Двойной удар"
"specials.name.doublebarreled_starstick","Двойная звездная палочка"
"specials.name.dozy_mead","Дремный мед"
"specials.name.dragon_blaze_of_fatigue","Пламень истощения"
"specials.name.dragon_blaze_of_mortality","Пламень смертности"
"specials.name.dragon_blaze_of_protection","Пламень защиты"
"specials.name.dragon_blaze_of_suppression","Пламя подавления"
"specials.name.dragon_blaze_of_the_hydra","Пламень гидры"
"specials.name.dragon_blaze_of_the_undying","Пламень непреклонности"
"specials.name.dragon_blaze_of_torment","Пламень пытки"
"specials.name.dragon_blazing_inferno","Пылающий ад"
"specials.name.dragon_blazing_storm","Пылающий шторм"
"specials.name.dragon_blinding_blaze","Слепящее пламя"
"specials.name.dragon_breath_of_bulwark","Вздох твердыни"
"specials.name.dragon_breath_of_compassion","Вздох сострадания"
"specials.name.dragon_breath_of_nourishment","Дыхание питания"
"specials.name.dragon_breath_of_retribution","Вздох мщения"
"specials.name.dragon_breath_of_revival","Вздох воскрешения"
"specials.name.dragon_cauterizing_blaze","Клеймящее пламя"
"specials.name.dragon_charring_blaze","Обжигающее пламя"
"specials.name.dragon_claws","Драконьи когти"
"specials.name.dragon_cleansing_flame","Очищающее пламя"
"specials.name.dragon_corrosive_blaze","Разъедающее пламя"
"specials.name.dragon_cracking_blaze","Трескучее пламя"
"specials.name.dragon_crashing_blaze","Крушащее пламя"
"specials.name.dragon_crippling_blaze","Калечащее пламя"
"specials.name.dragon_crushing_blaze","Сокрушающее пламя"
"specials.name.dragon_dampening_blaze","Тормозящее пламя"
"specials.name.dragon_dazing_blaze","Ослепляющее пламя"
"specials.name.dragon_delivery_service","Драконья служба доставки"
"specials.name.dragon_destabilizing_blaze","Дестабилизирующее пламя"
"specials.name.dragon_devastating_blaze","Опустошительное пламя"
"specials.name.dragon_disarming_blaze","Обезоруживающее пламя"
"specials.name.dragon_empowering_breath","Усиливающее дыхание"
"specials.name.dragon_esoteric_flame","Эзотерическое пламя"
"specials.name.dragon_fang","Клык дракона"
"specials.name.dragon_fiery_blaze","Огненный ад"
"specials.name.dragon_flames_of_acceleration","Вспышки роста"
"specials.name.dragon_fortifying_flame","Укрепляющее пламя"
"specials.name.dragon_inspirational_breath","Вдохновляющее дыхание"
"specials.name.dragon_mana_infused_breath","Выдох, полный маны"
"specials.name.dragon_mindless_blaze","Бездумное пламя"
"specials.name.dragon_novices_blaze","Пламя новичка"
"specials.name.dragon_pacifying_breath","Умиротворяющее дыхание"
"specials.name.dragon_protective_breath","Защитное дыхание"
"specials.name.dragon_resuscitating_breath","Животворное дыхание"
"specials.name.dragon_revitalizing_breath","Живительное дыхание"
"specials.name.dragon_sacred_flame","Священное пламя"
"specials.name.dragon_searing_blaze","Обжигающее пламя"
"specials.name.dragon_shielding_breath","Защищающее пламя"
"specials.name.dragon_spring_breath","Дыхание весны"
"specials.name.dragon_strengthening_flame","Придающее сил пламя"
"specials.name.dragon_summer_blaze","Пламя лета"
"specials.name.dragon_volcanic_blaze","Вулканический выдох"
"specials.name.dragon_weakening_blaze","Ослабляющее пламя"
"specials.name.dragon_wounding_blaze","Ранящее пламя"
"specials.name.dragon_wrecking_blaze","Разрушающее пламя"
"specials.name.drain_strike","Иссушающий удар"
