"heroes.name_fancy.astral_cosmicspeaker","星界精靈天文學家"
"heroes.name_fancy.beachparty_itham","巫師游泳學校講師"
"heroes.name_fancy.beachparty_mazoga","半獸人水槍手"
"heroes.name_fancy.beachparty_misty","浮潛地精"
"heroes.name_fancy.beachparty_mortimer","黑暗巫師衝浪者"
"heroes.name_fancy.beachparty_serena","海濱社交名流"
"heroes.name_fancy.beachparty_zenukwa","冰淇淋狂熱者"
"heroes.name_fancy.beowulf_aeschere","斯塞爾丁的智者"
"heroes.name_fancy.beowulf_beowulf","耶阿特之劍"
"heroes.name_fancy.beowulf_breca","密友"
"heroes.name_fancy.beowulf_ecgtheow","兇猛戰將"
"heroes.name_fancy.beowulf_freawaru","和平編織者"
"heroes.name_fancy.beowulf_grendel","破劍的地獄狂戰士"
"heroes.name_fancy.beowulf_grendels_mother","散播恐怖的邪物"
"heroes.name_fancy.beowulf_hrothgar","米德大廳的主人"
"heroes.name_fancy.beowulf_hygd","耶阿特女王"
"heroes.name_fancy.beowulf_modthryth","無情的神盾女侍"
"heroes.name_fancy.beowulf_nithgaest","貝武夫的禍根"
"heroes.name_fancy.beowulf_unferth","貝武夫之劍的背負者"
"heroes.name_fancy.beowulf_wealhtheow","優雅戒指，皇家之心"
"heroes.name_fancy.beowulf_weland","技藝精湛的鐵匠"
"heroes.name_fancy.beowulf_wiglaf","韋奧斯坦之子"
"heroes.name_fancy.blackguard_commander","悲傷公爵"
"heroes.name_fancy.blackguard_commander_costume_cute","悲傷公仔"
"heroes.name_fancy.blackguard_commander_costume_feather","悲傷公爵"
"heroes.name_fancy.blackguard_commander_costume_glass","哀傷彩繪玻璃"
"heroes.name_fancy.blackguard_commander_costume_metal","搖滾公爵"
"heroes.name_fancy.blackguard_female_archer","雄心箭手"
"heroes.name_fancy.blackguard_female_captain","不屈獄長"
"heroes.name_fancy.blackguard_female_captain_costume_cute","不屈公仔"
"heroes.name_fancy.blackguard_female_captain_costume_glass","不屈彩繪玻璃"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","不屈監視者"
"heroes.name_fancy.blackguard_knight","貴族騎兵"
"heroes.name_fancy.blackguard_knight_costume_cute","公仔騎兵"
"heroes.name_fancy.blackguard_knight_costume_elegant","精緻貴族"
"heroes.name_fancy.blackguard_knight_costume_glass","玻璃騎兵"
"heroes.name_fancy.blackguard_knight_costume_healer","貴族治療師"
"heroes.name_fancy.blackguard_scout","墨格溫逃亡者"
"heroes.name_fancy.blackguard_skulker","迷亂刺客"
"heroes.name_fancy.blackguard_skulker_costume_cute","迷亂公仔"
"heroes.name_fancy.blackguard_skulker_costume_doctor","迷亂外科醫師"
"heroes.name_fancy.blackguard_skulker_costume_glass","玻璃刺客"
"heroes.name_fancy.castle_bear_armel","北極大使"
"heroes.name_fancy.castle_bear_bearnadette","肖像畫家"
"heroes.name_fancy.castle_bear_humbert","高地保衛者"
"heroes.name_fancy.castle_bear_koda","梅林騎士"
"heroes.name_fancy.castle_bear_teddy","純潔之心"
"heroes.name_fancy.castle_bear_torben","高地之主"
"heroes.name_fancy.castle_bear_winnie","熊軍械師"
"heroes.name_fancy.castle_bear_yona","高地小丑"
"heroes.name_fancy.castle_raven_aderyn","城堡醫護兵"
"heroes.name_fancy.castle_raven_eloise","城堡魔法師"
"heroes.name_fancy.castle_raven_franz","城堡防衛者"
"heroes.name_fancy.castle_raven_lewena","城堡神射手"
"heroes.name_fancy.castle_raven_quintin","城堡追跡者"
"heroes.name_fancy.castle_raven_quintin_costume_ice","渡鴉寒冰獵人"
"heroes.name_fancy.castle_raven_rayne","城堡隊長"
"heroes.name_fancy.castle_raven_rayne_costume_energy","渡鴉上尉"
"heroes.name_fancy.castle_raven_wren","城堡密探"
"heroes.name_fancy.castle_stag_alvar","探路者"
"heroes.name_fancy.castle_stag_cecilia","暮光的祝福"
"heroes.name_fancy.castle_stag_daemon","枯萎復仇者"
"heroes.name_fancy.castle_stag_fawn","奉獻侍從"
"heroes.name_fancy.castle_stag_lysanor","藍寶石夢先知"
"heroes.name_fancy.castle_stag_raleigh","翡翠森林學者"
"heroes.name_fancy.castle_stag_siofra","守誓者"
"heroes.name_fancy.castle_stag_xiamara","翡翠森林守護者"
"heroes.name_fancy.castle_wolf_bertulf","城堡大廚"
"heroes.name_fancy.castle_wolf_esme","城堡大法師"
"heroes.name_fancy.castle_wolf_ferant","城堡獄長"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","狼族守護者"
"heroes.name_fancy.castle_wolf_ludwig","城堡衛士"
"heroes.name_fancy.castle_wolf_quenell","城堡勇士"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","狼族勇士"
"heroes.name_fancy.castle_wolf_wolfgang","城堡司令"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","狼族司令"
"heroes.name_fancy.champions_lazara","棒球冠軍"
"heroes.name_fancy.champions_mistra","擲鐵餅冠軍"
"heroes.name_fancy.champions_nogu","標槍投擲冠軍"
"heroes.name_fancy.champions_norman","馬上槍術冠軍"
"heroes.name_fancy.champions_ramona","衝撞大賽冠軍"
"heroes.name_fancy.champions_satori","相撲冠軍"
"heroes.name_fancy.christmas_albin","熱巧克力行家"
"heroes.name_fancy.christmas_augustus","長老地精"
"heroes.name_fancy.christmas_buster","不悅庭園地精"
"heroes.name_fancy.christmas_carol","聖誕老人小幫手"
"heroes.name_fancy.christmas_cookie","地精科學家"
"heroes.name_fancy.christmas_dizzy","地精藝人"
"heroes.name_fancy.christmas_elf","聖誕老人小幫手"
"heroes.name_fancy.christmas_frosty","北方哨兵"
"heroes.name_fancy.christmas_ginger","地精探險家"
"heroes.name_fancy.christmas_holly","主廚地精"
"heroes.name_fancy.christmas_jolly","地精樵夫"
"heroes.name_fancy.christmas_krampus","節日食屍鬼"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","節日整人專家"
"heroes.name_fancy.christmas_mr_pengi","聖誕老人護衛隊長"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","滑雪板隊隊長"
"heroes.name_fancy.christmas_mrs_claus","北方廚師"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","節日毛衣狂熱者"
"heroes.name_fancy.christmas_ottilia","地精裝飾家"
"heroes.name_fancy.christmas_peppermint","煉金地精"
"heroes.name_fancy.christmas_reindeer","聖誕老人的忠誠駿馬"
"heroes.name_fancy.christmas_santa","送禮物的人"
"heroes.name_fancy.christmas_santa_costume_metal","重搖滾聖誕老人"
"heroes.name_fancy.christmas_tinsel","修補地精"
"heroes.name_fancy.christmas_zappa","地精巫師"
"heroes.name_fancy.circus_bobo","最暖心的雪獸"
"heroes.name_fancy.circus_candy","興高采烈的嘻樂專家"
"heroes.name_fancy.circus_dandre","巧手雜耍人"
"heroes.name_fancy.circus_director_zuri","馬戲團主"
"heroes.name_fancy.circus_director_zuri_costume_clown","小丑大師"
"heroes.name_fancy.circus_eichbelborg","自誇的健美先生"
"heroes.name_fancy.circus_eiora_and_fluffy","默契雙人組"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","黑暗二人組"
"heroes.name_fancy.circus_emilio","偉大鳳凰駕馭家"
"heroes.name_fancy.circus_emilio_costume_frog","偉大青蛙駕馭家"
"heroes.name_fancy.circus_faline","驚人的雜技演員"
"heroes.name_fancy.circus_marcel","最調皮的默劇演員"
"heroes.name_fancy.circus_theobald","飛刀奇蹟熊"
"heroes.name_fancy.circus_whacker","古怪巨無霸"
"heroes.name_fancy.construct_arzen","邪惡的監督構造體"
"heroes.name_fancy.construct_blue_mage","星法師構造體"
"heroes.name_fancy.construct_bonechill","冰霜構造體"
"heroes.name_fancy.construct_brimstone","地獄構造體"
"heroes.name_fancy.construct_carta","製圖師機械"
"heroes.name_fancy.construct_dancrag","上古巨型構造體"
"heroes.name_fancy.construct_ferrus","海盜構造體"
"heroes.name_fancy.construct_frond","巫師構造體"
"heroes.name_fancy.construct_glacivolt","冰冷的監督構造體"
"heroes.name_fancy.construct_gwynn","能量流動構造體"
"heroes.name_fancy.construct_halwinter","重甲構造體"
"heroes.name_fancy.construct_haulstone","全攜帶構造體"
"heroes.name_fancy.construct_hornfel","牛頭人構造體"
"heroes.name_fancy.construct_hotspin","獨眼火巨人構造體"
"heroes.name_fancy.construct_ironheart","神聖守護者構造體"
"heroes.name_fancy.construct_ironvein","神聖侍從構造體"
"heroes.name_fancy.construct_japanese_doll","瓷娃娃構造體"
"heroes.name_fancy.construct_nautica","導航者構造體"
"heroes.name_fancy.construct_nocturne","虛空坦克構造體"
"heroes.name_fancy.construct_rhineglow","超級電容器機械"
"heroes.name_fancy.construct_rustbeak","貓頭鷹構造體"
"heroes.name_fancy.construct_scoria","不息機械"
"heroes.name_fancy.construct_shaal","牧師構造體"
"heroes.name_fancy.construct_shacklebolt","被囚禁的構造體"
"heroes.name_fancy.construct_sizzle3000","熱忱大廚構造體"
"heroes.name_fancy.construct_skarn","大冰霜構造體"
"heroes.name_fancy.construct_sylosis","武術家構造體"
"heroes.name_fancy.construct_tenebrae","暗黑王子構造體"
"heroes.name_fancy.construct_zavok","混沌法師構造體"
"heroes.name_fancy.cultist_female_poisoner","叛逆盜賊"
"heroes.name_fancy.cultist_inventor","瘋狂科學家"
"heroes.name_fancy.cultist_inventor_costume_cute","公仔科學家"
"heroes.name_fancy.cultist_inventor_costume_glass","玻璃科學家"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","愛心醫生"
"heroes.name_fancy.cultist_inventor_costume_steam","電子科學家"
"heroes.name_fancy.cultist_mage","恐懼魔法師"
"heroes.name_fancy.cultist_mage_costume_cute","公仔魔法師"
"heroes.name_fancy.cultist_mage_costume_glass","玻璃魔法師"
"heroes.name_fancy.cultist_mage_costume_voodoo","不死魔法師"
"heroes.name_fancy.cultist_sorceress","迪森西亞執行者"
"heroes.name_fancy.cultist_sorceress_costume_cute","處刑者公仔"
"heroes.name_fancy.cultist_sorceress_costume_glass","迪森西亞彩繪玻璃"
"heroes.name_fancy.cultist_sorceress_costume_shaman","迪森西亞魔物"
"heroes.name_fancy.cultist_sorceress_costume_snake","迪森西亞蛇"
"heroes.name_fancy.cultist_thief","野心神偷"
"heroes.name_fancy.dark_god_aeron","堅定法官"
"heroes.name_fancy.dark_god_aeron_costume_periwig","假髮法官"
"heroes.name_fancy.dark_god_akilius","邪惡剝奪者"
"heroes.name_fancy.dark_god_anoushka","隱居女預言家"
"heroes.name_fancy.dark_god_arfanias","暗影刺客"
"heroes.name_fancy.dark_god_chakkoszrot","蜥蜴人高等祭司"
"heroes.name_fancy.dark_god_clarissa","倉促連結者"
"heroes.name_fancy.dark_god_grimble","騎山羊的地精"
"heroes.name_fancy.dark_god_hel","暗黑神仙"
"heroes.name_fancy.dark_god_hel_costume_omen","暗黑徵兆"
"heroes.name_fancy.dark_god_kunchen","神秘浪客"
"heroes.name_fancy.dark_god_malicna","邪惡講師"
"heroes.name_fancy.dark_god_morax","地獄禍根"
"heroes.name_fancy.dark_god_september","幻影刺客"
"heroes.name_fancy.dark_god_september_costume_engineer","幻影工程師"
"heroes.name_fancy.dark_god_seshat","狂熱獵手"
"heroes.name_fancy.dark_god_seshat_costume_revenant","高貴弓箭手"
"heroes.name_fancy.dark_god_sir_casmir","浪客守護者"
"heroes.name_fancy.dark_god_turgruk","邪惡追跡者"
"heroes.name_fancy.dark_god_uthragan","劇毒邪物"
"heroes.name_fancy.dark_god_viscaro","腐化德魯伊"
"heroes.name_fancy.dark_god_zed","帝國長槍兵"
"heroes.name_fancy.dark_god_zulag","勇者"
"heroes.name_fancy.dwarven_guard","堅毅捍衛者"
"heroes.name_fancy.dwarven_guard_costume_cute","公仔衛士"
"heroes.name_fancy.dwarven_guard_costume_glass","玻璃防禦者"
"heroes.name_fancy.dwarven_guard_costume_ram","重量級防禦者"
"heroes.name_fancy.dwarven_guard_costume_tavern","酒館守衛"
"heroes.name_fancy.dwarven_scout","老練鬥士"
"heroes.name_fancy.dwarven_smasher","熱血戰士"
"heroes.name_fancy.dwarven_smasher_costume_cute","熱血公仔"
"heroes.name_fancy.dwarven_smasher_costume_glass","熱血彩繪玻璃"
"heroes.name_fancy.dwarven_smasher_costume_smith","憤怒者"
"heroes.name_fancy.dwarwen_brewmaster","釀酒大師"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","釀造者公仔"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","彩繪玻璃釀造者"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","大師剁碎者"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","木雕大師"
"heroes.name_fancy.easter_archie","羊駝吟遊詩人"
"heroes.name_fancy.easter_archie_costume_gallant","英勇羊駝吟遊詩人"
"heroes.name_fancy.easter_chick_jr","斯普林維爾侍從"
"heroes.name_fancy.easter_jasper","花匠公牛"
"heroes.name_fancy.easter_jasper_costume_fisherman","公牛漁夫"
"heroes.name_fancy.easter_killhare","斯普林維爾野蠻保護者"
"heroes.name_fancy.easter_killhare_costume_farmer","終極農夫"
"heroes.name_fancy.easter_lady_woolerton","斯普林維爾修補者"
"heroes.name_fancy.easter_miss_ethel","斯普林維爾防衛者"
"heroes.name_fancy.easter_sadie","調皮綠頭鴨"
"heroes.name_fancy.easter_sir_roostley","斯普林維爾勇猛騎士"
"heroes.name_fancy.easter_timothy","勇敢小豬"
"heroes.name_fancy.easter_viscount_cluckwood","斯普林維爾玄學家"
"heroes.name_fancy.elemental_aconia","賽博盜賊"
"heroes.name_fancy.elemental_aconia_costume_courier","賽博信差"
"heroes.name_fancy.elemental_alfie","元素弄臣"
"heroes.name_fancy.elemental_anzia","銀河救世主"
"heroes.name_fancy.elemental_anzia_costume_jailer","銀河獄卒"
"heroes.name_fancy.elemental_ash","兇猛賞金獵人"
"heroes.name_fancy.elemental_craum","元素薩滿"
"heroes.name_fancy.elemental_desmond","刀鋒鍊金術士"
"heroes.name_fancy.elemental_doxan","流亡電漿刀客"
"heroes.name_fancy.elemental_doxan_costume_hacker","流亡電漿駭客"
"heroes.name_fancy.elemental_farrah","超音速刀劍大師"
"heroes.name_fancy.elemental_gastille","多維度危害"
"heroes.name_fancy.elemental_griffex","現實修改者"
"heroes.name_fancy.elemental_griffex_costume_camera","暗箱修改者"
"heroes.name_fancy.elemental_grilka","好客軍需官"
"heroes.name_fancy.elemental_ignazio","火焰導體"
"heroes.name_fancy.elemental_ignazio_costume_medic","火焰外科醫師"
"heroes.name_fancy.elemental_ironmaw","不屈半獸人軍閥"
"heroes.name_fancy.elemental_jequn","宇宙恩尼格瑪"
"heroes.name_fancy.elemental_jequn_costume_gilded","鍍金恩尼格瑪"
"heroes.name_fancy.elemental_jolt","電子導航者"
"heroes.name_fancy.elemental_lexi","元素能量工匠"
"heroes.name_fancy.elemental_linus","無憂的囚犯"
"heroes.name_fancy.elemental_niki","暗黑海的鐮刀大師"
"heroes.name_fancy.elemental_nova","火靈收藏家"
"heroes.name_fancy.elemental_nylora","冷血刺客"
"heroes.name_fancy.elemental_quinn","宇宙大廚"
"heroes.name_fancy.elemental_roz","天生神射手"
"heroes.name_fancy.elemental_roz_costume_disco","迪斯可神射手"
"heroes.name_fancy.elemental_vander","電子人隊長"
"heroes.name_fancy.elemental_xandrella","元素造物大師"
"heroes.name_fancy.elemental_xandrella_costume_idol","元素造物神像"
"heroes.name_fancy.elemental_xavier","雙刀專家"
"heroes.name_fancy.elemental_zandria","時空捍衛者"
"heroes.name_fancy.elemental_zandria_costume_planet","銀河捍衛者"
"heroes.name_fancy.elemental_zaria","三眼靈媒"
"heroes.name_fancy.elemental_zengar","普遍野獸"
"heroes.name_fancy.elemental_zengar_costume_farmer","培育野獸"
"heroes.name_fancy.elemental_zione","構造體化運送專家"
"heroes.name_fancy.elemental_zuni","懸浮滑板巫師"
"heroes.name_fancy.elven_archer","貴族之心"
"heroes.name_fancy.elven_archer_costume_cute","貴族公仔"
"heroes.name_fancy.elven_archer_costume_glass","彩繪玻璃貴族"
"heroes.name_fancy.elven_archer_costume_moon","貴族守護者"
"heroes.name_fancy.elven_archer_costume_raven","高貴渡鴉"
"heroes.name_fancy.elven_captain","巫師老兵"
"heroes.name_fancy.elven_captain_costume_cavalier","巫師騎兵"
"heroes.name_fancy.elven_captain_costume_cute","巫師公仔"
"heroes.name_fancy.elven_captain_costume_glass","巫師彩繪玻璃"
"heroes.name_fancy.elven_captain_costume_mask","巫師報復者"
"heroes.name_fancy.exalted_female_statue","岩石長者"
"heroes.name_fancy.exalted_female_statue_costume_cute","石頭公仔"
"heroes.name_fancy.exalted_female_statue_costume_glass","石頭彩繪玻璃"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","太陽長者"
"heroes.name_fancy.exalted_female_statue_costume_thorns","遠古荊刺"
"heroes.name_fancy.exalted_warrior","冰雪長者"
"heroes.name_fancy.exalted_warrior_costume_cute","冰雪公仔"
"heroes.name_fancy.exalted_warrior_costume_glass","冰雪彩繪玻璃"
"heroes.name_fancy.exalted_warrior_costume_ice","巨冰"
"heroes.name_fancy.exalted_warrior_costume_underworld","遠古地獄"
"heroes.name_fancy.fables_boss_wolf","肅煞森林統治者"
"heroes.name_fancy.fables_cinderella","肅煞森林女傭"
"heroes.name_fancy.fables_frog_prince","王座繼承人"
"heroes.name_fancy.fables_gnomer","肅煞森林哨兵"
"heroes.name_fancy.fables_gretel","肅煞森林女巫殺手"
"heroes.name_fancy.fables_hansel","肅煞森林巫師獵人"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","肅煞森林吸血鬼獵人"
"heroes.name_fancy.fables_pixie","肅煞森林妖精"
"heroes.name_fancy.fables_puss_in_boots","肅煞森林貓咪"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","蒙面高速路貓"
"heroes.name_fancy.fables_red_hood","肅煞森林保護者"
"heroes.name_fancy.fables_rumpelstiltskin","肅煞森林小丑"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","永恆戲法師"
"heroes.name_fancy.fables_snow_white","肅煞森林公主"
"heroes.name_fancy.fables_snow_white_costume_slayer","白色殺手"
"heroes.name_fancy.faun_araminta","恐怖羊人戰士"
"heroes.name_fancy.faun_ascian","全知羊人預知者"
"heroes.name_fancy.faun_bramble","溫柔羊人園丁"
"heroes.name_fancy.faun_gideon","勇敢羊人司令"
"heroes.name_fancy.faun_isidore","充滿魅力的羊人勇士"
"heroes.name_fancy.faun_jolyon","深思熟慮的羊人修補匠"
"heroes.name_fancy.faun_maud","野心勃勃的羊人鍊金術士"
"heroes.name_fancy.faun_myrtle","不勝其煩的羊人草藥師"
"heroes.name_fancy.faun_peregrine","魯莽羊人密探"
"heroes.name_fancy.faun_philomena","迷人的羊人吟遊詩人"
"heroes.name_fancy.faun_saskia","快步羊人舞者"
"heroes.name_fancy.faun_tamlin","詭異羊人吹笛者"
"heroes.name_fancy.faun_verity","神秘羊人商人"
"heroes.name_fancy.faun_yolanda","腥紅羊人女預言家"
"heroes.name_fancy.faun_ysabel","無畏羊人角鬥士"
"heroes.name_fancy.fire_god_anzogh","怨怒薩滿"
"heroes.name_fancy.fire_god_ares","聯盟戰之神"
"heroes.name_fancy.fire_god_ares_costume_keymaster","戰爭鑰匙大師"
"heroes.name_fancy.fire_god_doom","血染德魯伊"
"heroes.name_fancy.fire_god_doom_costume_avenger","燃燒復仇者"
"heroes.name_fancy.fire_god_eliane","資深紅法師"
"heroes.name_fancy.fire_god_jean_francois","火槍手法師"
"heroes.name_fancy.fire_god_maple","紅褐林精靈"
"heroes.name_fancy.fire_god_nadnog","火焰治療師"
"heroes.name_fancy.fire_god_natalya","火之女巫"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","火之女裁縫"
"heroes.name_fancy.fire_god_neema","烈火巫師"
"heroes.name_fancy.fire_god_noor","麻雀語者"
"heroes.name_fancy.fire_god_reuben","結義的玄學家"
"heroes.name_fancy.fire_god_roughian_and_nurgib","密不可分戰隊"
"heroes.name_fancy.fire_god_russell","暴怒烈焰術士"
"heroes.name_fancy.fire_god_skargremar","先驅後衛"
"heroes.name_fancy.fire_god_tahir","流浪獵人"
"heroes.name_fancy.fire_god_yang_mai","烈日之拳"
"heroes.name_fancy.fire_god_zagrog","孤賊"
"heroes.name_fancy.fire_god_zarga","迅刃"
"heroes.name_fancy.fire_god_zidane","迷人的水兵"
"heroes.name_fancy.fire_god_zimkitha","失散女兒"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","失蹤已久的冒險家"
"heroes.name_fancy.forest_archer","優秀箭手"
"heroes.name_fancy.forest_archer_costume_cute","箭手公仔"
"heroes.name_fancy.forest_archer_costume_glass","玻璃箭手"
"heroes.name_fancy.forest_archer_costume_warrior","靈巧弓手"
"heroes.name_fancy.forest_female_druid","史前叢林德魯伊"
"heroes.name_fancy.forest_female_druid_costume_cute","史前叢林公仔"
"heroes.name_fancy.forest_female_druid_costume_glass","史前叢林彩繪玻璃"
"heroes.name_fancy.forest_female_druid_costume_native","康考迪亞薩滿"
"heroes.name_fancy.forest_female_elf","月光護盾大師"
"heroes.name_fancy.forest_female_elf_costume_cute","護盾大師公仔"
"heroes.name_fancy.forest_female_elf_costume_fairy","月光巫師"
"heroes.name_fancy.forest_female_elf_costume_glass","玻璃護盾大師"
"heroes.name_fancy.forest_female_elf_costume_mage","月光女祭司"
"heroes.name_fancy.forest_female_illusionist","植物語者"
"heroes.name_fancy.forest_female_spirit","沼澤英靈"
"heroes.name_fancy.forest_female_spirit_costume_autumn","樹林英靈"
"heroes.name_fancy.forest_female_spirit_costume_cute","靈魂公仔"
"heroes.name_fancy.forest_female_spirit_costume_glass","玻璃英靈"
"heroes.name_fancy.forest_female_warrior","鄉村姑娘"
"heroes.name_fancy.forest_friar","朱庇特兄弟"
"heroes.name_fancy.forest_friar_costume_cute","快活公仔"
"heroes.name_fancy.forest_friar_costume_explorer","朱庇特探險家"
"heroes.name_fancy.forest_friar_costume_glass","朱庇特彩繪玻璃"
"heroes.name_fancy.forest_god_elinor","寶藏獵人"
"heroes.name_fancy.forest_god_elradir","皎月叢林的野巫師"
"heroes.name_fancy.forest_god_evelyn","勇敢繼承者"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","勇敢女獵人"
"heroes.name_fancy.forest_god_grace","樹林鹿人"
"heroes.name_fancy.forest_god_gregorion","熟練箭手"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","煉金術隱士"
"heroes.name_fancy.forest_god_kingston","貴族刺客"
"heroes.name_fancy.forest_god_oberon","喜樂戰士"
"heroes.name_fancy.forest_god_oberon_costume_everoak","永恆橡樹騎士"
"heroes.name_fancy.forest_god_telluria","森林之神"
"heroes.name_fancy.forest_god_zeline","自然神仙"
"heroes.name_fancy.forest_god_zeline_costume_avian","鳥神仙"
"heroes.name_fancy.forest_god_zocc","鑰匙大師"
"heroes.name_fancy.forest_mage","森林智者"
"heroes.name_fancy.forest_mage_costume_cute","公仔巫師"
"heroes.name_fancy.forest_mage_costume_glass","森林彩繪玻璃"
"heroes.name_fancy.forest_mage_costume_party","派對巫師"
"heroes.name_fancy.forest_mage_costume_white","法力巫師"
"heroes.name_fancy.forest_male_elf","月光之矛大師"
"heroes.name_fancy.forest_male_elf_costume_cute","卡通長矛大師"
"heroes.name_fancy.forest_male_elf_costume_dark","月光征服者"
