"herocard.passive_skill.description.addmana.all.allies","全部盟友獲得少量法力。"
"herocard.passive_skill.description.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","此角色的特殊技能擊中當前生命值較高的角色時，獲得{PASSIVESKILL1HEALTHBOOST}%生命值加成。
'此角色被當前生命值較高的角色的特殊技能擊中時，獲得{PASSIVESKILL2MANA}%法力。
這些效果每回合可發動一次。"
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","此角色使用特殊技能造成暴擊時，會使所有盟友獲得{HEALTHBOOST}%生命值加成。"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","當敵人施放特殊技能時，此角色會有{CHANCE}%機率提升自身生命值{HEALTHBOOST}點。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","此角色施放特殊技能時，有{CHANCE}%機率送出{POWER}%法力給所有盟友。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","此角色施放特殊技能時，有{CHANCE}%機率送出{POWER}%法力給不屬於冰雪元素的所有盟友。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","此角色施展特殊技能時，會驅散所有敵人身上最新的狀態效果增益。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","此角色施展特殊技能時，會淨化所有盟友身上最新的狀態異常。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","此角色施放特殊技能時，有{CHANCE}%的機率可以對所有敵人造成{POWER}%傷害。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","此角色施放特殊技能時，有{CHANCE}%機率對不屬於暗黑元素的所有敵人造成{POWER}%傷害。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","此角色施放特殊技能時，有{CHANCE}%的機率對不屬於烈火元素的所有敵人造成{POWER}%傷害。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","此角色施放特殊技能時，有{CHANCE}%機率讓所有盟友恢復{POWER}%生命值。特殊技能完全充能時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","此角色施放特殊技能時，有{CHANCE}%的機率為不屬於自然元素的所有盟友恢復{POWER}%生命值。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","此角色施放特殊技能時，有{CHANCE}%機率為不屬於烈火元素的所有盟友恢復{POWER}%生命值。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","此角色施放特殊技能時，有{CHANCE}%機率為不屬於神聖元素的所有盟友恢復{POWER}%生命值。特殊技能充滿時，機率則變為{CHANCEFULLYCHARGED}%。"
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","此角色施展特殊技能時，會使所有盟友獲得{POWER}%生命值加成。"
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","若法力速度為平均或更快的敵人施放特殊技能，則所有敵人受到{DAMAGE}點傷害。此效果每回合僅限啟用一次。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","每當敵人受到嘲諷狀態效果時，此角色的法力增加{POWER}%。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","當敵人獲得影響防禦的狀態效果增益時，此角色獲得{POWER}%法力。此效果每回合僅能啟動一次。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","此角色獲得增益或正面疊加時可獲得{POWER}%法力。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","此角色在被施加狀態異常或負面疊加時，可獲得{POWER}%法力。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","此角色獲得增益或正面疊加時，會恢復{POWER}%的生命值。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","此角色在被施加狀態異常或負面疊加時，可恢復{POWER}%生命值。"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","此角色在被施加狀態異常或負面效果疊加時，可恢復{POWER}生命值。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","此角色獲得增益或正面疊加時，有{CHANCE}%機率獲得{POWER}%法力。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","此角色獲得增益或正面疊加時，有{CHANCE}%的機率恢復{POWER}%生命值。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","此角色獲得增益或正面疊加時，有{CHANCE}%機率恢復{POWER}%生命值。"
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","每{TURNS}回合，以{POWER}%生命值來復活附近落敗盟友。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","每回合開始時，敵人隊伍擁有的每一個生效狀態效果增益都能讓自身獲得少量法力(最多{MAXSTATUSEFFECTCOUNT}個增益)。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","每回合開始時，每個受到劇毒效果的敵人，都會為此角色與附近盟友提供{INCREMENTPERSTATUSEFFECT1}%的加成生命值。加成生命值能夠超過最大生命值。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","對任意盟友召喚小兵時，此角色會獲得{POWER}%法力。此效果每回合僅可啟動一次。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","當一名小兵召喚至任意盟友時，此角色獲得{HEALTH}%生命和{MANA}%法力。此效果每回合僅限啟動一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","對任意敵人召喚惡魔時，此角色會獲得{POWER}%法力。此效果每回合僅可啟動一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","惡魔被召喚至任意敵人時，此角色對所有敵人造成{DAMAGE}%傷害。此效果每回合僅限啟動一次。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","對任意敵人召喚惡魔時，此角色會獲得{POWER}點生命值加成。此效果每回合僅可啟動一次。"
"herocard.passive_skill.description.extraactionsafterspecial","此角色施放特殊技能時，有{CHANCE}%機率施放額外行動。"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","所有敵方小兵擁有{MINIONMODIFIER}%精準度。
所有敵方超級小兵擁有{MEGAMINIONMODIFIER}%精準度。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","敵人超級小兵擁有{HEALTHMODIFIER}%生命值。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","敵人小兵擁有{HEALTHMODIFIER}%生命值。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","敵人超級小兵無法攻擊或使用能力。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","敵人小兵無法攻擊或使用能力。"
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","每當敵人受到冰霜傷害時，這名角色會獲得{POWER}%法力。"
"herocard.passive_skill.description.growth","此英雄的基礎攻擊力與基礎防禦力每回合增加{STATINCREASE}點，持續{MAXACTIVATIONCOUNT}個回合。"
"herocard.passive_skill.description.guaranteedeffectonspecial","此角色施放特殊技能時，為該施放賦予額外效果的任意被動技能必定發動。"
"herocard.passive_skill.description.heal.all.allies","使所有盟友恢復{HEALTH}%生命。"
"herocard.passive_skill.description.healmodifier","獲得任何治療都會增加{HEALMULTIPLIER}%。"
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","所有敵人都獲得{HEALMULTIPLIER}%治療。"
"herocard.passive_skill.description.healmodifier.decrease","獲得任何治療都會減少{HEALMULTIPLIER}%。"
"herocard.passive_skill.description.healonheal.can_stack.heal","此角色每次回復生命時，也會獲得{POWER}%生命值。"
"herocard.passive_skill.description.healonownfamiliardeath.minion","此角色擁有的小兵被擊殺時，會恢復{HEALTH}的生命值。"
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","當擁有的小兵被摧毀時，此角色恢復{HEALTH}加成生命值"
"herocard.passive_skill.description.healthboost.all.allies","為所有盟友提供{HEALTHBOOST}%點加成生命值。加成生命值能夠超過最大生命值。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","在每場戰鬥開始時，每有一名非自然系元素的敵人，此角色的攻擊力會增加{ATTACK}%。在有數波攻勢的戰鬥中，此效果會在每波攻勢開始時更新。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","每有一名存活的非自然系元素的敵人，此角色的攻擊力會增加{ATTACK}%。此效果會在每波攻勢開始時更新。（目前：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","在每場戰鬥開始時，每有一名非烈火系元素的敵人，此角色的攻擊力會增加{ATTACK}%。在有數波攻勢的戰鬥中，此效果會在每波攻勢開始時更新。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","每有一名存活的非烈火系元素的敵人，此角色的攻擊力會增加{ATTACK}%。此效果會在每波攻勢開始時更新。（目前：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","對小兵造成額外{DAMAGEMULTIPLIER}%傷害。"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","此角色對小兵和超級小兵造成{DAMAGEMULTIPLIER}%傷害。"
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","若目標帶有嘲諷，此角色特殊技能命中時有額外{POWERADDITION}%威力。"
"herocard.passive_skill.description.increasespecialdamage","此角色在前{MAXACTIVATIONCOUNT}次施展可造成傷害的特殊技能時，其戰力會額外增加{POWERADDITION}%。"
"herocard.passive_skill.description.increasespecialdamage.usable_once","此角色第一次施展造成傷害的特殊技能時，其戰力會額外增加{POWERADDITION}%。"
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","此角色每次施展造成傷害的特殊技能時，其戰力會額外增加{POWERADDITION}%。"
"herocard.passive_skill.description.insanitydamagereduction","每獲得{DISPLAYSCALE}點瘋狂，此角色承受的所有傷害都會減少{DAMAGEREDUCTION}%，最多減少{MAXDAMAGEREDUCTION}%。"
"herocard.passive_skill.description.iterateeffectonspecial","此角色施放特殊技能時，為該施放賦予額外效果的任意被動技能有{APPLYCOUNT}次機會發動。"
"herocard.passive_skill.description.league.featured_family","此英雄為精選家族的一員！"
"herocard.passive_skill.description.league.non_featured_family","此英雄並非精選家族的一員！"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","對抗精選家族英雄時擁有{POWERMULTIPLIER}%精準度。"
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","影響精選家族成員的治療擁有{POWERMULTIPLIER}%效果。"
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","非精選家族英雄可對其造成{POWERMULTIPLIER}%傷害。"
"herocard.passive_skill.description.manadebuffprotection","所有影響法力產出的狀態異常和負面效果疊加將被{MANAREGEN}%法力產出狀態效果替代，持續{TURNS}回合。不適用阻止法力產出或偷法力的狀態異常。"
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","降低 {MODIFIER}%特殊技能所增加的法力量。該效果適用於戰鬥的所有敵人。"
"herocard.passive_skill.description.managenerationmodifier.none","{MODIFIER}%法力產出。"
"herocard.passive_skill.description.manaonownfamiliardeath.minion","此角色擁有的小兵被擊殺時，會獲得少量法力。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","此角色天賦異稟，能夠記住任何被敵方特殊技能召喚出來的小兵或惡魔。最近一次召喚的小兵或惡魔會持續被記憶住，直到特殊技能被使用為止。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","此角色天賦異稟，能夠記住任何被敵方特殊技能召喚出來的小兵或惡魔。最近一次召喚的{0}個小兵或惡魔會持續被記憶住，直到特殊技能被使用為止。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","此角色天賦異稟，能夠記住任何被敵方特殊技能召喚出來的小兵或惡魔。最近一次召喚的{0}個小兵或惡魔會持續被記憶住，直到特殊技能被使用為止。(第三型態)"
"herocard.passive_skill.description.memorizestatuseffects","此角色具備天生能力，能夠記住狀態異常。此角色會持續記住敵方向其施放的最新狀態異常，直至新的特殊技能施放為止。僅能記住有持續時間限制的狀態異常。"
"herocard.passive_skill.description.memorizestatuseffects#2","此角色天賦異稟，能夠記住狀態異常。該角色會持續記住敵方向其施放的最新{0}個狀態異常，直至有新的特殊技能施放。僅能記住有持續時間的狀態異常。"
"herocard.passive_skill.description.memorizestatuseffects#3","此角色天賦異稟，能夠記住狀態異常。該角色會持續記住敵方向其施放的最新{0}個狀態異常，直至有新的特殊技能施放。僅能記住有持續時間的狀態異常。(第三型態)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","此模仿怪在完成關卡時有機會給出額外戰利品：

高筒靴
精緻手套
指南針
大馬士革刀
策略書卷*

粗繩
戰鬥手冊
鏈甲衫
保暖披風
望遠鏡"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","此模仿怪在完成關卡時有機率給出額外戰利品：

高筒靴
精緻手套
指南針
大馬士革刀
策略書卷*

粗繩
匕首
劍鞘
堅固護盾
神秘補藥"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","此模仿怪在完成關卡時有機會給出額外戰利品：

高筒靴
精緻手套
 指南
 大馬士革刀
策略書卷

粗繩
匕首
劍鞘
陷阱工具
皇室戰袍"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","此模仿怪在完成關卡時有機會給出額外戰利品：

高筒靴
精緻手套
 指南
 大馬士革刀
策略書卷

奧術手稿
鏈甲衫
袖劍
神妙戒指"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","此模仿怪在完成關卡時有機會給出額外戰利品：

高筒靴
精緻手套
 指南
 大馬士革刀
策略書卷

奧術手稿
鏈甲衫
魔法球
毒鏢"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","完成關卡時，此模仿怪有機會提供額外戰利品：

普通冰雪訓練師英雄
罕見冰雪訓練師英雄
稀有冰雪訓練師英雄
 
普通冰雪英雄
罕見冰雪英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","完成關卡時，此模仿怪有機會提供額外戰利品：

普通自然訓練師英雄
罕見自然訓練師英雄
稀有自然訓練師英雄
 
普通自然英雄
罕見自然英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","完成關卡時，此模仿怪有機會提供額外戰利品：

普通暗黑訓練師英雄
罕見暗黑訓練師英雄
稀有暗黑訓練師英雄
 
普通暗黑英雄
罕見暗黑英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","完成關卡時，此模仿怪有機會提供額外戰利品：

普通烈火訓練師英雄
罕見烈火訓練師英雄
稀有烈火訓練師英雄
 
普通烈火英雄
罕見烈火英雄"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","完成關卡時，此模仿怪有機會提供額外戰利品：

普通神聖訓練師英雄
罕見神聖訓練師英雄
稀有神聖訓練師英雄
 
普通神聖英雄
罕見神聖英雄"
"herocard.passive_skill.description.nevermissspecial","此角色的特殊技能必定命中目標。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","當此角色施放其特殊技能時，會有{CHANCE}%機率隨機從有增益的敵人身上偷取最新的可驅散增益。若無敵人有增益，則對所有敵人造成{DAMAGE}%傷害。"
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","當此角色施放特殊技能時，會將其最新的可淨化狀態異常從自身轉移至目標。如果特殊技能無法鎖定敵人，則會隨機選擇一個敵人。如果此角色沒有可淨化的狀態異常，則會恢復{HEALTH}%生命。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","此英雄會從較強元素部隊受到較少的元素傷害。

已受到元素傷害：-{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","從較強元素的部隊減少承受{MODIFIER}%的元素傷害。"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","從較強元素的火球承受額外{MODIFIER}%的元素傷害。"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","有額外{CHANCE}%機率反射狀態異常回至攻擊者。"
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","每{TURNS}回合移除所有盟友的全部枯萎效果。"
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","每{TURNS}回合移除所有敵人的全部成長效果。"
"herocard.passive_skill.description.repaircorechargeeffectonspecial.healthboost.all.allies.always","此角色的構造體核心為修復核心。

每次啟動修復核心時，會施放此角色的特殊技能：

修復核心暴增時，會為所有盟友提供{CHARGEDPOWER1}%生命值加成。
 治療量依核心中的暴增量而定。核心啟動時會消耗所有暴增。"
"herocard.passive_skill.description.repeatspecial","有{REPEATCHANCE}%機率施展此英雄的特殊技能{REPEATS}次。"
"herocard.passive_skill.description.resist.accuracymodifiers","此角色對影響精準度的狀態異常具有天生抗性。不適用來自盟友的原本狀態效果。"
"herocard.passive_skill.description.resist.allattackmodifiersincludingwither.alldebuffs","該角色對影響攻擊的狀態異常、疊加和枯萎效果具有天生抗性。"
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","此角色對狀態異常和負面效果疊加具有天生抗性。"
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常效果與增益驅散。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常、法力減損、增益驅散與瘋狂。"
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常、法力減損與增益驅散。"
"herocard.passive_skill.description.resist.alldebuffs.with_chance","有{CHANCE}%額外機率可抵禦所有狀態異常。"
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","此角色對影響防禦的狀態異常具有天生抗性。同樣適用影響元素防禦的狀態異常。"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.alldebuffs","該角色對影響防禦的狀態異常、疊加和枯萎效果具有天生抗性。"
