"heroes.name.astral_cosmicspeaker","宇宙音響"
"heroes.name.beachparty_davey_wavey","戴利威利"
"heroes.name.beachparty_dillo","狄洛"
"heroes.name.beachparty_dolrak","多歐瑞克"
"heroes.name.beachparty_flip","弗利普"
"heroes.name.beachparty_itham","伊特海姆"
"heroes.name.beachparty_mazoga","馬咒嘎"
"heroes.name.beachparty_misty","蜜絲蒂"
"heroes.name.beachparty_mortimer","摩爾提梅爾"
"heroes.name.beachparty_serena","瑟琳娜"
"heroes.name.beachparty_zenukwa","扎努克瓦"
"heroes.name.beowulf_aeschere","埃舍爾"
"heroes.name.beowulf_beowulf","貝武夫"
"heroes.name.beowulf_breca","布瑞卡"
"heroes.name.beowulf_ecgtheow","艾吉斯奧"
"heroes.name.beowulf_freawaru","菲瓦露"
"heroes.name.beowulf_grendel","格倫戴爾"
"heroes.name.beowulf_grendels_mother","格倫戴爾的母親"
"heroes.name.beowulf_hrothgar","赫羅斯加爾"
"heroes.name.beowulf_hygd","荷耶"
"heroes.name.beowulf_modthryth","摩德莉絲"
"heroes.name.beowulf_nithgaest","尼斯蓋希特"
"heroes.name.beowulf_unferth","恩費爾特"
"heroes.name.beowulf_wealhtheow","威西亞"
"heroes.name.beowulf_weland","維藍德"
"heroes.name.beowulf_wiglaf","威格拉夫"
"heroes.name.blackguard_commander","迪波特斯"
"heroes.name.blackguard_female_archer","夜影"
"heroes.name.blackguard_female_captain","普利斯卡"
"heroes.name.blackguard_knight","里加"
"heroes.name.blackguard_scout","朱利葉斯"
"heroes.name.blackguard_skulker","雷恩菲爾德"
"heroes.name.castle_bear_armel","阿梅爾"
"heroes.name.castle_bear_bearnadette","博爾納德"
"heroes.name.castle_bear_humbert","亨伯特"
"heroes.name.castle_bear_koda","科達"
"heroes.name.castle_bear_teddy","泰迪"
"heroes.name.castle_bear_torben","托爾本"
"heroes.name.castle_bear_winnie","溫妮"
"heroes.name.castle_bear_yona","約拿"
"heroes.name.castle_raven_aderyn","阿德琳"
"heroes.name.castle_raven_eloise","伊洛伊絲"
"heroes.name.castle_raven_franz","法蘭茲"
"heroes.name.castle_raven_lewena","雷玟娜"
"heroes.name.castle_raven_quintin","昆汀"
"heroes.name.castle_raven_rayne","芮恩"
"heroes.name.castle_raven_wren","雷恩"
"heroes.name.castle_stag_alvar","阿爾瓦"
"heroes.name.castle_stag_cecilia","西西莉亞"
"heroes.name.castle_stag_daemon","惡魔"
"heroes.name.castle_stag_fawn","小鹿"
"heroes.name.castle_stag_lysanor","萊薩諾"
"heroes.name.castle_stag_raleigh","羅利"
"heroes.name.castle_stag_siofra","西奧夫拉"
"heroes.name.castle_stag_xiamara","西亞馬拉"
"heroes.name.castle_wolf_bertulf","貝爾托夫"
"heroes.name.castle_wolf_esme","艾絲梅"
"heroes.name.castle_wolf_ferant","費蘭特"
"heroes.name.castle_wolf_ludwig","路德維希"
"heroes.name.castle_wolf_quenell","昆尼爾"
"heroes.name.castle_wolf_wolfgang","沃夫崗"
"heroes.name.champions_lazara","菈札拉"
"heroes.name.champions_mistra","密絲托菈"
"heroes.name.champions_nogu","諾古"
"heroes.name.champions_norman","諾曼"
"heroes.name.champions_ramona","羅瑪納"
"heroes.name.champions_satori","悟"
"heroes.name.christmas_albin","艾爾賓"
"heroes.name.christmas_augustus","奧古斯都"
"heroes.name.christmas_buster","剋星"
"heroes.name.christmas_carol","卡蘿"
"heroes.name.christmas_cookie","庫奇"
"heroes.name.christmas_dizzy","帝吉"
"heroes.name.christmas_elf","巴迪"
"heroes.name.christmas_frosty","佛斯迪"
"heroes.name.christmas_ginger","金吉兒"
"heroes.name.christmas_holly","霍莉"
"heroes.name.christmas_jolly","喬里"
"heroes.name.christmas_krampus","坎卜斯"
"heroes.name.christmas_mr_pengi","企鵝先生"
"heroes.name.christmas_mrs_claus","北方之母"
"heroes.name.christmas_ottilia","奧提莉亞"
"heroes.name.christmas_peppermint","薄荷"
"heroes.name.christmas_reindeer","魯道夫"
"heroes.name.christmas_santa","聖誕老人"
"heroes.name.christmas_tinsel","彩絲"
"heroes.name.christmas_zappa","薩帕"
"heroes.name.circus_bobo","波波"
"heroes.name.circus_candy","糖糖"
"heroes.name.circus_dandre","大德"
"heroes.name.circus_director_zuri","團長路力"
"heroes.name.circus_eichbelborg","易百伯"
"heroes.name.circus_eiora_and_fluffy","艾拉和菲菲"
"heroes.name.circus_emilio","愛米洛"
"heroes.name.circus_faline","法林"
"heroes.name.circus_marcel","馬歇爾"
"heroes.name.circus_theobald","提多博"
"heroes.name.circus_whacker","瓦克"
"heroes.name.construct_arzen","亞真"
"heroes.name.construct_blue_mage","果依拉奇"
"heroes.name.construct_bonechill","澈骨寒地"
"heroes.name.construct_brimstone","硫磺"
"heroes.name.construct_carta","卡塔"
"heroes.name.construct_dancrag","丹克雷"
"heroes.name.construct_ferrus","費洛斯"
"heroes.name.construct_frond","福蘭德"
"heroes.name.construct_glacivolt","葛拉斯沃"
"heroes.name.construct_gwynn","關恩"
"heroes.name.construct_halwinter","哈文特"
"heroes.name.construct_haulstone","駝石人"
"heroes.name.construct_hornfel","牛角非爾"
"heroes.name.construct_hotspin","哈茲賓"
"heroes.name.construct_ironheart","鐵心"
"heroes.name.construct_ironvein","鐵脈"
"heroes.name.construct_japanese_doll","花魁"
"heroes.name.construct_nautica","諾提卡"
"heroes.name.construct_nocturne","斯卡司"
"heroes.name.construct_rhineglow","萊茵葛羅"
"heroes.name.construct_rustbeak","鏽喙"
"heroes.name.construct_scoria","絲蔻利亞"
"heroes.name.construct_shaal","薩爾"
"heroes.name.construct_shacklebolt","薛克柏特"
"heroes.name.construct_sizzle3000","斯斯3000"
"heroes.name.construct_skarn","斯卡溫"
"heroes.name.construct_sylosis","賽洛西斯"
"heroes.name.construct_tenebrae","天能布雷兒"
"heroes.name.construct_zavok","柴沃克"
"heroes.name.cultist_female_poisoner","蕾拉"
"heroes.name.cultist_inventor","昆塔斯"
"heroes.name.cultist_mage","巴特薩"
"heroes.name.cultist_sorceress","薩塔娜"
"heroes.name.cultist_thief","弗萊徹"
"heroes.name.dark_god_aeron","艾龍"
"heroes.name.dark_god_akilius","亞基利厄斯"
"heroes.name.dark_god_anoushka","阿洛斯卡"
"heroes.name.dark_god_arfanias","阿爾菲尼亞斯"
"heroes.name.dark_god_chakkoszrot","恰克佐洛特"
"heroes.name.dark_god_clarissa","克拉里薩"
"heroes.name.dark_god_grimble","葛林伯"
"heroes.name.dark_god_hel","赫爾"
"heroes.name.dark_god_kunchen","坤奇恩"
"heroes.name.dark_god_malicna","馬利卡納"
"heroes.name.dark_god_morax","摩拉克斯"
"heroes.name.dark_god_september","基奧娜"
"heroes.name.dark_god_seshat","賽沙特"
"heroes.name.dark_god_sir_casmir","卡斯米爾爵士"
"heroes.name.dark_god_turgruk","圖古克"
"heroes.name.dark_god_uthragan","烏爾拉岡"
"heroes.name.dark_god_viscaro","威斯卡洛"
"heroes.name.dark_god_zed","扎耶德"
"heroes.name.dark_god_zulag","祖拉格"
"heroes.name.draugr","德拉古爾"
"heroes.name.dwarven_guard","博立爾"
"heroes.name.dwarven_scout","托里爾"
"heroes.name.dwarven_smasher","卡里爾"
"heroes.name.dwarwen_brewmaster","基里爾"
"heroes.name.easter_archie","阿奇"
"heroes.name.easter_chick_jr","小奇克"
"heroes.name.easter_jasper","賈斯珀"
"heroes.name.easter_killhare","克爾哈爾"
"heroes.name.easter_lady_woolerton","伍勒頓女士"
"heroes.name.easter_miss_ethel","伊索小姐"
"heroes.name.easter_sadie","薩蒂"
"heroes.name.easter_sir_roostley","盧斯特力爵士"
"heroes.name.easter_timothy","提摩西"
"heroes.name.easter_viscount_cluckwood","克拉伍德子爵"
"heroes.name.elemental_aconia","安卡尼亞"
"heroes.name.elemental_alfie","艾爾非"
"heroes.name.elemental_anzia","安吉雅"
"heroes.name.elemental_ash","艾許"
"heroes.name.elemental_craum","克羅姆"
"heroes.name.elemental_desmond","戴斯蒙"
"heroes.name.elemental_doxan","達森"
"heroes.name.elemental_farrah","法拉"
"heroes.name.elemental_gastille","加斯帝勒"
"heroes.name.elemental_griffex","格非斯"
"heroes.name.elemental_grilka","格里爾卡"
"heroes.name.elemental_ignazio","伊格納吉歐"
"heroes.name.elemental_ironmaw","鐵嘴"
"heroes.name.elemental_jequn","傑昆"
"heroes.name.elemental_jolt","裘特"
"heroes.name.elemental_lexi","蕾希"
"heroes.name.elemental_linus","利尼斯"
"heroes.name.elemental_niki","妮基"
"heroes.name.elemental_nova","諾娃"
"heroes.name.elemental_nylora","尼洛拉"
"heroes.name.elemental_quinn","奎因"
"heroes.name.elemental_roz","蘿茲"
"heroes.name.elemental_vander","范德"
"heroes.name.elemental_xandrella","姍卓菈"
"heroes.name.elemental_xavier","艾薩維爾斯"
"heroes.name.elemental_zandria","蘭卓莉雅"
"heroes.name.elemental_zaria","薩瑞雅"
"heroes.name.elemental_zengar","連加"
"heroes.name.elemental_zione","利歐涅"
"heroes.name.elemental_zuni","魯尼"
"heroes.name.elven_archer","麗阿娜"
"heroes.name.elven_captain","凱德蒙"
"heroes.name.exalted_female_statue","賈斯提斯"
"heroes.name.exalted_warrior","馬格尼"
"heroes.name.fables_boss_wolf","狼老大"
"heroes.name.fables_cinderella","灰姑娘"
"heroes.name.fables_frog_prince","青蛙王子"
"heroes.name.fables_gnomer","地精"
"heroes.name.fables_gretel","嘉莉桃"
"heroes.name.fables_hansel","漢索"
"heroes.name.fables_pixie","皮克西"
"heroes.name.fables_puss_in_boots","靴子貓咪"
"heroes.name.fables_rapunzel","樂佩"
"heroes.name.fables_red_hood","小紅帽"
"heroes.name.fables_rumpelstiltskin","侏儒怪"
"heroes.name.fables_snow_white","白雪公主"
"heroes.name.faun_araminta","阿拉明塔"
"heroes.name.faun_ascian","艾希恩"
"heroes.name.faun_bramble","博安寶"
"heroes.name.faun_gideon","吉迪恩"
"heroes.name.faun_isidore","伊西多爾"
"heroes.name.faun_jolyon","喬里昂"
"heroes.name.faun_maud","茉得"
"heroes.name.faun_myrtle","蜜絲多"
"heroes.name.faun_peregrine","遊隼"
"heroes.name.faun_philomena","菲洛梅娜"
"heroes.name.faun_saskia","薩斯基亞"
"heroes.name.faun_tamlin","塔姆林"
"heroes.name.faun_verity","維瑞提"
"heroes.name.faun_yolanda","尤蘭妲"
"heroes.name.faun_ysabel","伊莎貝爾"
"heroes.name.fire_god_anzogh","安佐"
"heroes.name.fire_god_ares","阿瑞斯"
"heroes.name.fire_god_doom","造墓人"
"heroes.name.fire_god_eliane","依蓮"
"heroes.name.fire_god_jean_francois","尚-方思瓦"
"heroes.name.fire_god_maple","梅玻"
"heroes.name.fire_god_nadnog","格拉祖"
"heroes.name.fire_god_natalya","娜塔莉亞"
"heroes.name.fire_god_neema","尼瑪"
"heroes.name.fire_god_noor","努爾"
"heroes.name.fire_god_reuben","魯本"
"heroes.name.fire_god_roughian_and_nurgib","若香與娜吉"
"heroes.name.fire_god_russell","羅素"
"heroes.name.fire_god_skargremar","斯卡格瑪爾"
"heroes.name.fire_god_tahir","塔希爾"
"heroes.name.fire_god_yang_mai","楊美"
"heroes.name.fire_god_zagrog","札格羅格"
"heroes.name.fire_god_zarga","札加"
"heroes.name.fire_god_zidane","席丹"
"heroes.name.fire_god_zimkitha","西姆吉塔"
"heroes.name.forest_archer","博爾登"
"heroes.name.forest_female_druid","布里恩妮"
"heroes.name.forest_female_elf","卡迪雷恩"
"heroes.name.forest_female_illusionist","珍娜"
"heroes.name.forest_female_spirit","貝麗絲"
"heroes.name.forest_female_warrior","奧伊芙"
"heroes.name.forest_friar","塔克修士"
"heroes.name.forest_god_elinor","瑪格麗特"
"heroes.name.forest_god_elradir","伊羅德"
"heroes.name.forest_god_evelyn","伊芙琳"
"heroes.name.forest_god_grace","葛蕾絲"
"heroes.name.forest_god_gregorion","格雷戈裡恩"
"heroes.name.forest_god_kingston","金士頓"
"heroes.name.forest_god_oberon","阿爾貝裡希"
"heroes.name.forest_god_telluria","特魯利亞"
"heroes.name.forest_god_zeline","西林"
"heroes.name.forest_god_zocc","佐克"
"heroes.name.forest_mage","米蘭朵"
"heroes.name.forest_male_elf","埃爾卡能"
"heroes.name.forest_thug","佈洛根"
"heroes.name.forest_titan","霍格火"
"heroes.name.forest_woodsman","德里克"
"heroes.name.forest_woodsman_warrior","小約翰"
"heroes.name.fox_ashen","艾炫"
"heroes.name.fox_ember","安玻"
"heroes.name.fox_foxglove","毛地黃"
"heroes.name.fox_foxley","法克斯利"
"heroes.name.fox_halcyon","翠鳥"
"heroes.name.fox_nettletail","蕁麻尾"
"heroes.name.fox_nibbles","咬咬"
"heroes.name.fox_reynard","雷納德"
"heroes.name.fox_riverfang","河牙"
"heroes.name.fox_rust","拉斯特"
"heroes.name.fox_sable","薩波"
"heroes.name.fox_shadowfang","影牙"
"heroes.name.fox_silverpaw","銀爪"
"heroes.name.fox_spiff","史比夫"
"heroes.name.fox_swiftpaw","迅爪"
"heroes.name.fox_whitefang","白牙"
"heroes.name.gargoyle_arco","阿爾科"
"heroes.name.gargoyle_bellerive","貝爾瑞福"
"heroes.name.gargoyle_betty","貝蒂"
"heroes.name.gargoyle_budatin","布達丁"
"heroes.name.gargoyle_el_duque","艾爾杜克"
"heroes.name.gargoyle_gaillard","蓋拉德"
"heroes.name.gargoyle_garten","格丁"
"heroes.name.gargoyle_goseck","寇薩克"
"heroes.name.gargoyle_grumbl","格魯布爾"
"heroes.name.gargoyle_guffa","格法"
"heroes.name.gargoyle_hilda","希爾達"
"heroes.name.gargoyle_hohenwerf","侯漢沃夫"
"heroes.name.gargoyle_kalo","卡羅"
"heroes.name.gargoyle_kemeny","凱梅尼"
"heroes.name.gargoyle_matrera","瑪特拉"
"heroes.name.gargoyle_mena","梅納"
"heroes.name.gargoyle_penolite","佩扭莉特"
"heroes.name.gargoyle_pophit","帕非特"
"heroes.name.gargoyle_soroca","索羅卡"
"heroes.name.gargoyle_uwe","烏威"
"heroes.name.gargoyle_vincent","文森"
"heroes.name.gargoyle_vonreine","馮萊納"
"heroes.name.garrison_archibald","亞齊柏"
"heroes.name.garrison_beatrice","貝翠絲"
"heroes.name.garrison_caelen","凱倫"
"heroes.name.garrison_ciara","席亞拉"
"heroes.name.garrison_dima","迪馬"
"heroes.name.garrison_fergus","弗格斯"
"heroes.name.garrison_flamehide","焰皮"
"heroes.name.garrison_frank_fangs_brimwell","法蘭克「獠牙」布林威爾"
"heroes.name.garrison_frostsnout","法斯勒特"
"heroes.name.garrison_godfrey","戈弗雷"
"heroes.name.garrison_greg","葛雷"
"heroes.name.garrison_iarlaith","拉萊斯"
"heroes.name.garrison_iocantha","約坎塔"
"heroes.name.garrison_kolya","科利亞"
"heroes.name.garrison_maisie","梅希"
"heroes.name.garrison_pip","皮普"
"heroes.name.garrison_rosalind","羅莎琳德"
"heroes.name.garrison_shimmerscale","微光鱗片"
"heroes.name.garrison_theodosius","狄奧多西斯"
"heroes.name.garrison_vanya","范尼亞"
"heroes.name.garrison_violet_potts","紫羅蘭帕茲"
"heroes.name.garrison_william","威廉"
"heroes.name.goblin_acidfire","酸火"
"heroes.name.goblin_archer","小刺針"
"heroes.name.goblin_boom_and_fang","布布與牙牙"
"heroes.name.goblin_boots","靴子"
"heroes.name.goblin_darkfeather","暗羽"
"heroes.name.goblin_deadboot","死亡之靴"
"heroes.name.goblin_fighter","卡沃"
"heroes.name.goblin_fizzcoil","菲茲奎爾"
"heroes.name.goblin_goldie","金兒"
"heroes.name.goblin_grimsteel","格里姆斯蒂爾"
"heroes.name.goblin_kettle","水壺"
"heroes.name.goblin_leafwizzle","葉撢"
"heroes.name.goblin_madhammer","瘋狂鐵鎚"
"heroes.name.goblin_mage","柱子骷髏"
"heroes.name.goblin_pepperflame","胡椒火焰"
"heroes.name.goblin_rocket","火箭"
"heroes.name.goblin_scrollbeast","捲軸怪"
"heroes.name.goblin_smarttongue","巧舌"
"heroes.name.guardian_bat","蝙蝠守護者"
"heroes.name.guardian_cat_warrior","黑豹守護者"
"heroes.name.guardian_chameleon","變色龍守護者"
"heroes.name.guardian_elephant","大象守護者"
"heroes.name.guardian_falcon_priest","飛鷹守護者"
"heroes.name.guardian_gazelle","瞪羚守護者"
"heroes.name.guardian_gorilla_chieftain","金剛守護者"
"heroes.name.guardian_hippo","河馬守護者"
"heroes.name.guardian_jackal_assassin","豺狼守護者"
"heroes.name.guardian_lemur","守護者狐猴"
"heroes.name.guardian_owl_gentleman","貓頭鷹守護者"
"heroes.name.guardian_zebra","斑馬守護者"
"heroes.name.guestip1_hero1","John Cena"
"heroes.name.guestip1_hero10","Charlotte Flair"
"heroes.name.guestip1_hero2","CM Punk"
"heroes.name.guestip1_hero3","Shawn Michaels"
"heroes.name.guestip1_hero4","Triple H"
"heroes.name.guestip1_hero5","Bianca Belair"
"heroes.name.guestip1_hero6","Roman Reigns"
"heroes.name.guestip1_hero7","Cody Rhodes"
"heroes.name.guestip1_hero8","Rhea Ripley"
"heroes.name.guestip1_hero9","Seth ""Freakin"" Rollins"
"heroes.name.halloween_alucard","阿魯卡德"
"heroes.name.halloween_amber","安貝兒"
"heroes.name.halloween_ana_belle","安娜貝爾"
"heroes.name.halloween_chester","查斯特"
"heroes.name.halloween_edwin","埃德溫"
"heroes.name.halloween_francine","方欣"
"heroes.name.halloween_frank","法蘭克"
"heroes.name.halloween_goopy","古皮"
"heroes.name.halloween_jack","傑克"
"heroes.name.halloween_lucinda","露西妲"
"heroes.name.halloween_matilda","梅提妲"
"heroes.name.halloween_miriam_and_midnight","米瑞安和密奈特"
"heroes.name.halloween_vanda","萬達"
"heroes.name.halloween_wayne","韋恩"
"heroes.name.hidden_dark_god_myztero","米茲特羅"
"heroes.name.holy_god_aurox","歐拉克"
"heroes.name.holy_god_aviana","亞維俄納"
"heroes.name.holy_god_bai_yeong","白英"
"heroes.name.holy_god_celidana","希利丹納"
"heroes.name.holy_god_delilah","達利拉"
"heroes.name.holy_god_devana","迪瓦娜"
"heroes.name.holy_god_drake_lee","德雷克方"
"heroes.name.holy_god_faeona","菲歐娜"
"heroes.name.holy_god_gilligan","吉利根"
"heroes.name.holy_god_hanitra","漢尼塔拉"
"heroes.name.holy_god_ithar","伊撒爾"
"heroes.name.holy_god_kara","卡菈"
"heroes.name.holy_god_malosi","馬洛西"
"heroes.name.holy_god_may","梅兒"
"heroes.name.holy_god_musashi","武藏"
"heroes.name.holy_god_neith","涅伊特"
"heroes.name.holy_god_onatel","奧納特而"
"heroes.name.holy_god_ranvir","蘭威爾"
"heroes.name.holy_god_uraeus","烏賴烏斯"
"heroes.name.holy_god_zora","佐拉"
"heroes.name.ice_god_alexandrine","亞力山吉恩"
"heroes.name.ice_god_areax","阿瑞克斯"
"heroes.name.ice_god_athena","雅典娜"
"heroes.name.ice_god_balur","柏羅"
"heroes.name.ice_god_callum","格拉迪厄斯"
"heroes.name.ice_god_claeg","克雷格"
"heroes.name.ice_god_eskimo","阿拉希"
"heroes.name.ice_god_frida","弗里達"
"heroes.name.ice_god_frosth","佛羅斯"
"heroes.name.ice_god_glenda","格倫達"
"heroes.name.ice_god_iris","艾莉絲"
"heroes.name.ice_god_klaern","卡爾姆"
"heroes.name.ice_god_mene","米奈"
"heroes.name.ice_god_miki","米琪"
"heroes.name.ice_god_nerasis","奈拉西斯"
"heroes.name.ice_god_october","艾吉爾"
"heroes.name.ice_god_perseus","柏休斯"
"heroes.name.ice_god_raffaele","拉斐爾"
"heroes.name.ice_god_sini","悉尼"
"heroes.name.ice_god_suzuna","蘇祖娜"
"heroes.name.ice_god_vela","薇拉"
"heroes.name.journey_change","嫦娥"
"heroes.name.journey_erlang_shen","二郎神"
"heroes.name.journey_general_yin","寅將軍"
"heroes.name.journey_heifeng_guai","黑風怪"
"heroes.name.journey_nineheaded_beast","九頭獸"
"heroes.name.journey_queen_guowang","國王皇后"
"heroes.name.journey_sha_wujing","沙悟淨"
"heroes.name.journey_sun_wukong","孫悟空"
"heroes.name.journey_tang_sanzang","唐三藏"
"heroes.name.journey_xie_zi_jing","蠍子精"
"heroes.name.journey_xiong_shanjun","熊山君"
"heroes.name.journey_xiwangmu","西王母"
"heroes.name.kalevala_aino","艾諾"
"heroes.name.kalevala_iku_turso","伊庫托索"
"heroes.name.kalevala_ilmarinen","伊瑪利南"
"heroes.name.kalevala_joukahainen","尤卡海寧"
"heroes.name.kalevala_kullervo","庫列佛"
"heroes.name.kalevala_lemminkainen","勒明蓋寧"
"heroes.name.kalevala_louhi","婁希"
"heroes.name.kalevala_mielikki","梅莉凱"
"heroes.name.kalevala_mother_lemminkainen","勒明蓋寧之母"
"heroes.name.kalevala_otso","歐特索"
"heroes.name.kalevala_para","帕拉"
"heroes.name.kalevala_suomuhauki","索穆豪基"
"heroes.name.kalevala_ukkonen","烏克尼"
"heroes.name.kalevala_vainamoinen","維納莫寧"
"heroes.name.kingdom_cao_cao","曹操"
"heroes.name.kingdom_diaochan","貂蟬"
"heroes.name.kingdom_guan_yu","關羽"
"heroes.name.kingdom_jing","靖"
"heroes.name.kingdom_li","李"
"heroes.name.kingdom_liu_bei","劉備"
"heroes.name.kingdom_lu_bu","呂布"
"heroes.name.kingdom_sun_quan","孫權"
"heroes.name.kingdom_sun_shangxiang","孫尚香"
"heroes.name.kingdom_wang_yuanji","王元姬"
"heroes.name.kingdom_xiahou_dun","夏侯惇"
"heroes.name.kingdom_yao","姚"
"heroes.name.kingdom_zhang_fei","張飛"
"heroes.name.kingdom_zhou_yu","周瑜"
"heroes.name.kingdom_zhuge_liang","諸葛亮"
"heroes.name.knights_bauchan","波希恩"
"heroes.name.knights_black_knight","黑騎士"
"heroes.name.knights_gawain","高文"
"heroes.name.knights_green_knight","翠綠騎士"
"heroes.name.knights_guinevere","吉娜薇"
"heroes.name.knights_king_arthur","亞瑟王"
"heroes.name.knights_lady_of_the_lake","聖湖女神"
"heroes.name.knights_merlin","梅林"
"heroes.name.knights_mordred","莫迪瑞德"
"heroes.name.knights_morgan_le_fay","摩根女爵"
"heroes.name.knights_sir_lancelot","蘭斯洛特爵士"
"heroes.name.knights_treevil","邪惡樹精"
"heroes.name.lionman_barbarian","阿茲拉"
"heroes.name.lizardman_trapper","喀什雷克"
"heroes.name.lizardman_warrior","伊師塔克"
"heroes.name.lunar_new_year_baishu","白鼠"
"heroes.name.lunar_new_year_gongniu","公牛"
"heroes.name.lunar_new_year_laohu","老虎"
"heroes.name.lunar_new_year_qinglong","青龍"
"heroes.name.lunar_new_year_xiaoqing","小青"
"heroes.name.lunar_new_year_xiaotu","小兔"
"heroes.name.magic_agrafena","阿格拉腓納"
"heroes.name.magic_anastasia","安娜塔西亞"
"heroes.name.magic_anton","安東"
"heroes.name.magic_becky","蓓琪"
"heroes.name.magic_camilla","卡米拉"
"heroes.name.magic_carpet_agadh","艾加"
"heroes.name.magic_carpet_bart","巴特"
"heroes.name.magic_carpet_bertha","貝爾沙"
"heroes.name.magic_carpet_elyssa","伊萊莎"
"heroes.name.magic_carpet_lando","蘭多"
"heroes.name.magic_carpet_lilli","莉莉"
"heroes.name.magic_carpet_manpip","曼皮普"
"heroes.name.magic_carpet_naeem","那伊姆"
"heroes.name.magic_carpet_ragrim","拉格里姆"
"heroes.name.magic_carpet_zazha","薩迦"
"heroes.name.magic_cristobal","克里斯托巴"
"heroes.name.magic_dolgoon","多爾跟"
"heroes.name.magic_jett","捷特"
"heroes.name.magic_kornel","柯梅爾"
"heroes.name.magic_lucy","露西"
"heroes.name.magic_milena","米蓮娜"
"heroes.name.magic_motega","墨特加"
"heroes.name.magic_nadezhda","納德茲達"
"heroes.name.magic_ray","雷"
"heroes.name.magic_roxia","拉西雅"
"heroes.name.magic_sergei","瑟蓋"
"heroes.name.magic_telonius","泰洛尼爾斯"
"heroes.name.magic_ulius","烏利厄斯"
"heroes.name.magic_vaishali","梵莎麗"
"heroes.name.magic_willow","葳若"
"heroes.name.magitech_sniper","多米西亞"
"heroes.name.mahayoddha_bhima","比瑪"
"heroes.name.mahayoddha_chitrangada","奇特拉加達"
"heroes.name.masquerade_alessia","阿列西雅"
"heroes.name.masquerade_aradia","雅拉迪亞"
"heroes.name.masquerade_carmenta","卡麥塔德"
"heroes.name.masquerade_cel","賽爾"
"heroes.name.masquerade_februus","非波斯"
"heroes.name.masquerade_fortuna","佛圖納"
"heroes.name.masquerade_fosco","法斯寇"
"heroes.name.masquerade_jana","加那"
"heroes.name.masquerade_jove","賈夫"
"heroes.name.masquerade_umbria","安布雷亞"
"heroes.name.mighty_pet_barkley","巴克利"
